Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,123.95,124.8,121.55,123.85,122.8,251196.0,308.66
2012-11-23,123.45,124.5,122.05,123.0,123.35,182011.0,224.53
2012-11-26,123.9,125.95,123.1,124.8,125.35,292680.0,365.46
2012-11-27,126.4,130.6,125.1,129.9,129.75,1987923.0,2572.2
2012-11-29,130.05,132.2,124.55,125.75,125.45,1359991.0,1735.37
2012-11-30,125.5,130.7,125.25,130.5,130.15,1251861.0,1610.72
2012-12-03,130.35,133.25,129.0,133.25,132.25,1160794.0,1530.44
2012-12-04,132.65,137.9,130.6,134.0,134.4,3545718.0,4753.64
2012-12-05,134.75,136.3,131.25,133.7,133.7,1003342.0,1339.39
2012-12-06,133.7,136.5,130.7,135.45,135.05,3147331.0,4237.42
2012-12-07,135.65,138.8,135.35,137.2,137.6,1424101.0,1957.27
2012-12-10,137.95,138.75,135.6,136.95,137.05,612960.0,840.1
2012-12-11,137.15,138.6,131.75,135.2,134.75,790611.0,1065.05
2012-12-12,135.0,136.6,133.0,134.55,135.65,543139.0,734.38
2012-12-13,136.0,136.0,130.05,130.5,130.7,680712.0,907.37
2012-12-14,130.05,136.45,130.05,136.3,135.65,878418.0,1180.16
2012-12-17,136.05,144.15,135.55,143.5,143.25,2010480.0,2831.99
2012-12-18,144.6,146.25,142.1,142.7,142.65,1908629.0,2742.56
2012-12-19,144.05,146.4,142.25,145.0,145.25,1845672.0,2679.08
2012-12-20,145.25,146.4,139.05,139.25,140.0,2098610.0,2962.81
2012-12-21,139.45,142.1,133.65,136.8,135.65,1487914.0,2049.22
2012-12-24,137.0,137.4,133.45,135.35,135.35,625551.0,846.63
2012-12-26,136.0,137.5,134.4,136.1,136.4,526630.0,717.67
2012-12-27,137.45,138.25,132.45,133.7,133.8,1895037.0,2562.18
2012-12-28,133.5,134.95,132.05,132.55,132.85,773240.0,1030.24
2012-12-31,132.85,135.95,132.4,134.8,135.0,636052.0,855.71
2013-01-01,136.25,138.15,135.3,137.6,137.8,353823.0,484.77
2013-01-02,138.8,140.2,137.3,139.25,138.45,1158271.0,1606.86
2013-01-03,139.45,140.0,137.15,138.25,138.3,996003.0,1378.47
2013-01-04,138.3,138.3,134.5,137.05,137.5,1236742.0,1686.18
2013-01-07,137.0,141.25,137.0,140.2,140.05,1974675.0,2760.37
2013-01-08,140.6,140.65,135.3,137.05,137.45,750310.0,1030.83
2013-01-09,137.0,138.9,134.45,134.55,135.15,804170.0,1097.25
2013-01-10,136.1,136.65,134.2,136.0,135.8,649023.0,880.43
2013-01-11,135.8,136.4,131.1,131.1,131.7,627649.0,836.28
2013-01-14,131.7,136.75,131.1,136.15,136.3,645456.0,868.33
2013-01-15,135.1,137.4,133.7,137.05,136.9,611458.0,829.07
2013-01-16,137.35,139.0,134.75,135.3,135.6,1823638.0,2508.08
2013-01-17,135.95,136.8,133.65,134.5,134.6,448421.0,605.11
2013-01-18,134.6,135.8,131.75,132.2,132.25,551806.0,734.68
2013-01-21,131.95,137.0,131.55,136.5,135.75,1013495.0,1359.11
2013-01-22,135.75,138.2,134.35,136.0,135.45,1864356.0,2540.66
2013-01-23,135.9,136.15,133.15,133.9,133.65,633457.0,849.34
2013-01-24,137.9,137.9,128.6,129.25,129.95,948386.0,1241.82
2013-01-25,129.95,130.9,126.05,130.0,130.3,1711468.0,2211.04
2013-01-28,131.6,137.8,127.3,137.45,136.75,6676462.0,8929.03
2013-01-29,137.0,156.25,137.0,146.3,145.8,19207648.0,28391.0
2013-01-30,147.55,148.8,140.2,142.8,142.65,10316243.0,14837.3
2013-01-31,143.35,155.0,141.65,153.0,150.55,8895649.0,13196.48
2013-02-01,151.7,156.65,149.25,149.95,149.95,3716667.0,5657.28
2013-02-04,151.5,154.9,148.55,150.0,149.9,2234003.0,3380.44
2013-02-05,149.8,153.4,146.45,149.75,150.25,2115293.0,3164.68
2013-02-06,151.95,162.65,150.2,154.95,154.95,5541384.0,8642.26
2013-02-07,153.5,158.35,149.2,156.9,155.85,4047635.0,6256.75
2013-02-08,156.2,157.45,151.2,151.85,151.85,1791582.0,2752.34
2013-02-11,153.3,156.5,152.0,154.0,153.5,2315423.0,3570.01
2013-02-12,154.15,156.5,152.4,153.9,153.7,2292412.0,3532.57
2013-02-13,154.5,158.7,153.75,155.0,154.9,1577507.0,2457.15
2013-02-14,154.9,155.7,145.55,148.65,148.4,3032088.0,4536.13
2013-02-15,146.15,151.7,144.6,149.7,149.95,1572387.0,2312.96
2013-02-18,151.25,152.3,147.85,149.05,149.05,888936.0,1335.48
2013-02-19,150.1,153.85,149.55,152.3,152.55,1183511.0,1798.33
2013-02-20,153.05,153.7,149.45,150.45,150.45,1086942.0,1642.68
2013-02-21,150.3,154.45,143.65,146.05,145.6,3125690.0,4638.96
2013-02-22,146.35,150.75,143.15,150.0,149.7,1120221.0,1656.09
2013-02-25,149.7,152.5,145.85,147.7,148.1,921416.0,1375.52
2013-02-26,147.0,148.0,138.05,141.8,141.45,1881561.0,2668.3
2013-02-27,143.25,144.5,137.0,143.75,143.3,2210177.0,3127.29
2013-02-28,144.85,145.8,131.9,142.5,138.65,4173623.0,5787.72
2013-03-01,139.55,141.8,137.8,140.5,140.1,3196913.0,4480.58
2013-03-04,140.8,140.8,134.8,136.7,136.15,900454.0,1239.48
2013-03-05,137.35,148.25,136.7,146.0,145.95,1772006.0,2540.5
2013-03-06,147.0,147.5,143.2,144.5,144.3,1195204.0,1733.16
2013-03-07,144.0,146.4,143.3,145.7,145.9,1019838.0,1484.17
2013-03-08,146.45,147.55,145.05,146.0,145.95,737539.0,1077.96
2013-03-11,146.7,146.75,141.1,141.6,142.0,885327.0,1262.86
2013-03-12,130.6,142.7,130.6,139.5,138.9,918664.0,1282.09
2013-03-13,137.85,139.9,134.8,135.15,135.4,814241.0,1110.99
2013-03-14,135.45,141.35,133.0,140.95,139.95,1204991.0,1651.64
2013-03-15,140.25,143.0,137.8,139.0,138.8,651943.0,914.01
2013-03-18,138.6,140.35,134.2,138.95,139.05,1089644.0,1492.74
2013-03-19,139.0,139.75,134.35,135.5,136.0,970366.0,1324.39
2013-03-20,135.0,137.85,132.0,132.45,132.35,690865.0,928.91
2013-03-21,126.0,134.5,121.65,129.2,127.3,1349239.0,1753.55
2013-03-22,127.15,127.7,119.1,124.05,124.1,2379340.0,2927.49
2013-03-25,124.6,129.7,124.6,128.65,128.05,1137186.0,1452.15
2013-03-26,126.05,133.75,125.75,131.75,131.4,1527015.0,2006.63
2013-03-28,131.8,141.6,129.75,137.6,138.7,1939645.0,2671.85
2013-04-01,140.8,144.2,137.35,143.25,142.45,890295.0,1262.56
2013-04-02,142.95,148.5,142.65,147.75,147.15,1468440.0,2159.96
2013-04-03,147.85,149.8,144.5,145.0,146.05,1553513.0,2295.47
2013-04-04,144.5,144.6,139.6,140.75,140.75,1364325.0,1935.31
2013-04-05,141.0,148.65,140.95,144.5,144.75,1133976.0,1652.08
2013-04-08,145.2,146.9,143.1,144.5,144.05,588531.0,854.74
2013-04-09,144.85,147.65,144.1,145.5,145.3,511288.0,746.21
2013-04-10,146.0,152.5,142.2,151.2,151.3,2267790.0,3335.42
2013-04-11,152.15,154.4,148.55,149.85,149.3,1334386.0,2011.99
2013-04-12,149.0,153.5,146.75,148.3,148.5,832927.0,1243.99
2013-04-15,147.3,148.4,142.9,145.0,145.4,988564.0,1438.54
2013-04-16,145.0,147.3,143.55,146.45,146.2,789507.0,1149.06
2013-04-17,147.1,147.5,140.4,141.5,141.0,1224412.0,1754.41
2013-04-18,141.75,146.5,140.8,145.8,145.25,1433603.0,2069.77
2013-04-22,144.0,152.8,140.7,151.6,150.35,1690739.0,2482.53
2013-04-23,150.0,151.0,145.5,147.95,147.3,1160058.0,1711.95
2013-04-25,146.5,148.1,141.75,144.4,145.5,2246425.0,3242.05
2013-04-26,144.0,146.2,143.25,144.5,144.85,877991.0,1272.76
2013-04-29,143.0,147.5,143.0,145.0,145.4,415488.0,603.05
2013-04-30,146.0,146.7,143.15,144.85,145.0,892336.0,1290.14
2013-05-02,145.0,149.0,144.15,146.4,146.3,1253183.0,1833.49
2013-05-03,150.0,158.8,148.1,155.45,155.55,3167410.0,4845.81
2013-05-06,156.35,156.65,151.25,153.0,152.45,1465010.0,2251.57
2013-05-07,152.55,153.3,147.3,150.75,150.35,1713111.0,2574.9
2013-05-08,151.0,155.35,150.0,154.5,154.4,1288174.0,1973.05
2013-05-09,154.55,154.75,150.35,152.0,151.55,1362727.0,2069.27
2013-05-10,152.0,152.5,150.0,151.0,150.95,1444269.0,2181.35
2013-05-11,151.7,151.85,150.3,151.4,151.1,29097.0,43.9
2013-05-13,149.3,153.85,149.3,150.35,150.35,878208.0,1331.24
2013-05-14,150.4,151.7,148.8,150.5,149.95,440169.0,661.49
2013-05-15,150.7,153.5,149.7,153.1,152.5,1562040.0,2372.62
2013-05-16,157.0,167.35,154.4,162.15,162.0,8280624.0,13398.46
2013-05-17,163.05,169.0,163.05,168.9,168.25,9076436.0,15032.53
2013-05-20,169.7,175.0,166.9,168.0,167.6,7727111.0,13116.86
2013-05-21,167.6,168.0,160.0,160.5,160.65,3803039.0,6188.05
2013-05-22,160.8,161.8,153.25,154.4,154.65,2243155.0,3492.37
2013-05-23,154.0,158.95,150.55,151.6,152.45,2104757.0,3246.56
2013-05-24,153.25,158.2,150.3,157.9,156.65,1502462.0,2326.87
2013-05-27,157.7,160.15,153.0,157.8,158.0,3890085.0,6164.38
2013-05-28,158.65,159.75,156.1,157.5,157.85,2825798.0,4474.01
2013-05-29,157.0,157.95,151.1,153.2,153.5,1839294.0,2817.68
2013-05-30,152.0,156.2,151.6,154.7,154.65,2440279.0,3766.28
