Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-08-16,588.0,594.9,551.0,558.0,557.85,860905.0,4860.75
2007-08-17,546.05,581.0,534.0,577.0,575.15,1338154.0,7494.97
2007-08-20,585.0,609.0,577.0,603.5,604.65,878025.0,5210.58
2007-08-21,613.9,613.9,587.0,587.0,590.9,441898.0,2647.03
2007-08-22,592.0,599.7,561.15,584.0,582.55,551499.0,3189.04
2007-08-23,602.0,614.0,565.75,579.9,582.5,629828.0,3679.99
2007-08-24,577.0,597.0,565.1,572.2,570.95,745735.0,4266.24
2007-08-27,586.0,586.0,575.15,579.05,577.45,578904.0,3351.82
2007-08-28,583.8,607.5,577.2,597.1,599.9,1378607.0,8231.71
2007-08-29,594.0,624.0,582.0,618.05,612.5,2583362.0,15836.8
2007-08-30,620.0,634.7,612.0,627.0,629.65,4213178.0,26008.97
2007-08-31,633.0,643.0,631.3,635.0,635.0,699623.0,4464.99
2007-09-03,635.0,640.9,625.0,635.15,637.35,777049.0,4931.37
2007-09-04,640.0,671.0,639.9,652.95,658.85,1101122.0,7236.42
2007-09-05,659.9,675.4,659.9,663.95,666.65,765902.0,5129.56
2007-09-06,652.3,669.7,652.3,659.9,659.75,578519.0,3823.9
2007-09-07,661.25,664.9,650.0,650.55,651.2,324459.0,2132.42
2007-09-10,621.0,657.0,612.65,647.4,649.6,351471.0,2281.01
2007-09-11,654.7,658.9,645.0,648.0,646.95,222745.0,1446.69
2007-09-12,658.4,658.4,645.1,648.9,646.6,349171.0,2265.64
2007-09-13,648.0,666.6,648.0,656.55,659.5,505701.0,3336.24
2007-09-14,660.0,672.0,642.2,649.5,650.0,698468.0,4620.69
2007-09-17,646.0,661.5,641.0,654.65,658.65,459555.0,3000.55
2007-09-18,656.0,669.4,652.9,660.0,660.3,614081.0,4049.42
2007-09-19,680.0,697.0,670.0,683.0,684.2,1012879.0,6919.97
2007-09-20,692.0,712.0,681.5,706.1,706.15,1214695.0,8436.74
2007-09-21,707.0,714.0,703.0,709.3,709.7,486857.0,3449.52
2007-09-24,712.0,743.0,710.05,729.25,732.1,542983.0,3956.8
2007-09-25,730.0,740.7,728.1,735.2,739.55,644897.0,4742.4
2007-09-26,740.0,760.05,740.0,759.85,755.75,934521.0,7045.76
2007-09-27,770.0,776.0,759.8,770.0,768.7,982665.0,7551.85
2007-09-28,771.0,775.0,752.65,764.0,764.6,975475.0,7449.39
2007-10-01,766.9,772.5,744.0,748.0,751.5,643127.0,4846.17
2007-10-03,753.0,766.0,729.9,755.9,757.6,1013348.0,7655.85
2007-10-04,759.7,764.9,725.0,750.25,754.8,771698.0,5735.21
2007-10-05,753.55,762.0,731.0,731.0,738.9,325965.0,2444.25
2007-10-08,740.0,747.7,689.0,722.05,715.65,364012.0,2590.35
2007-10-09,705.0,734.7,699.1,731.5,729.55,375349.0,2692.1
2007-10-10,739.95,766.0,736.25,761.5,762.2,666478.0,5035.79
2007-10-11,768.0,770.0,748.0,760.0,759.75,507316.0,3864.94
2007-10-12,760.0,767.75,740.0,743.0,744.05,232221.0,1743.96
2007-10-15,753.0,831.0,752.0,815.0,820.0,1316528.0,10492.45
2007-10-16,834.7,903.0,823.1,889.0,886.7,1528678.0,13200.52
2007-10-17,801.0,880.0,709.4,875.1,872.15,1408050.0,11778.89
2007-10-18,898.7,898.7,845.0,860.0,857.1,1122762.0,9819.84
2007-10-19,869.0,869.0,815.0,835.0,829.85,717417.0,5960.9
2007-10-22,812.0,849.4,790.0,835.0,819.0,683447.0,5541.31
2007-10-23,821.1,898.0,821.1,866.2,868.85,723976.0,6285.2
2007-10-24,869.8,893.9,848.5,865.0,866.4,558274.0,4849.23
2007-10-25,860.0,884.95,840.05,870.0,873.85,614841.0,5285.51
2007-10-26,872.0,945.0,853.0,925.0,926.1,576833.0,5201.08
2007-10-29,928.0,956.9,910.05,915.0,929.05,655318.0,6159.08
2007-10-30,932.0,944.7,900.0,903.3,908.35,705040.0,6518.91
2007-10-31,908.1,925.0,904.05,923.0,917.35,261176.0,2388.78
2007-11-01,925.0,944.0,888.0,913.0,917.85,489757.0,4494.67
2007-11-02,901.0,940.0,880.2,938.0,932.15,232995.0,2143.77
2007-11-05,934.0,1010.0,911.15,984.9,973.0,1124891.0,10989.63
2007-11-06,985.0,1003.5,926.3,952.6,946.4,541088.0,5276.15
2007-11-07,958.5,998.0,921.0,934.85,932.45,464193.0,4408.03
2007-11-08,944.0,944.0,890.65,920.0,921.05,435268.0,3974.96
2007-11-09,929.7,945.0,903.1,917.0,914.2,29478.0,271.39
2007-11-12,910.0,915.25,870.35,878.5,887.4,717311.0,6392.36
2007-11-13,890.6,960.0,881.25,955.25,945.5,529265.0,4926.56
2007-11-14,965.5,998.95,961.25,986.05,990.65,607929.0,5972.16
2007-11-15,990.5,999.8,956.15,957.1,963.5,281834.0,2751.39
