Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2008-05-26,898.0,898.0,551.35,600.25,604.75,3972485.0,24812.45
2008-05-27,624.7,639.0,580.3,595.5,593.15,1751063.0,10619.01
2008-05-28,561.65,621.9,561.65,605.1,608.15,1652355.0,10058.77
2008-05-29,619.4,619.4,576.0,600.0,599.45,669269.0,4022.17
2008-05-30,605.4,607.0,538.0,576.25,571.7,1262117.0,7137.94
2008-06-02,605.5,615.0,570.7,573.0,580.8,206640.0,1236.33
2008-06-03,596.0,602.0,555.15,577.0,579.7,157283.0,905.68
2008-06-04,597.85,597.85,547.5,550.0,552.1,326450.0,1839.99
2008-06-05,553.0,588.8,532.4,548.0,562.4,238915.0,1339.6
2008-06-06,567.0,574.7,544.4,572.0,568.8,73920.0,417.19
2008-06-09,575.0,575.0,524.0,552.0,548.8,321199.0,1753.18
2008-06-10,575.5,575.5,547.0,550.0,550.4,58118.0,320.57
2008-06-11,560.0,560.0,528.0,528.2,530.5,87793.0,470.65
2008-06-12,511.0,527.0,510.7,520.0,519.45,50729.0,263.21
2008-06-13,514.25,525.0,501.2,508.0,505.9,123934.0,630.29
2008-06-16,510.0,518.0,489.45,491.8,494.65,61592.0,310.08
2008-06-17,490.45,510.0,482.6,505.0,506.7,71476.0,357.68
2008-06-18,510.1,531.0,500.0,514.95,516.45,105505.0,542.73
2008-06-19,500.2,527.0,500.2,507.65,512.55,140483.0,726.22
2008-06-20,507.0,519.0,493.6,515.0,512.1,76656.0,388.25
2008-06-23,500.0,514.9,499.0,499.0,502.3,89888.0,452.9
2008-06-24,495.0,506.0,471.15,485.0,479.0,174131.0,864.22
2008-06-25,450.0,502.0,450.0,493.15,497.3,72533.0,355.24
2008-06-26,519.9,519.9,469.05,491.3,488.95,185234.0,889.29
2008-06-27,465.9,476.85,435.0,440.1,453.95,260609.0,1180.48
2008-06-30,454.0,459.95,445.35,451.0,450.35,115006.0,520.58
2008-07-01,450.0,457.0,433.0,449.0,447.1,170197.0,759.36
2008-07-02,430.15,457.95,430.15,448.0,453.5,245296.0,1102.15
2008-07-03,445.0,448.0,390.15,410.0,408.6,308168.0,1319.25
2008-07-04,403.5,433.0,401.0,420.0,421.0,62087.0,261.12
2008-07-07,425.0,441.0,425.0,437.0,435.5,130708.0,567.88
2008-07-08,418.1,439.9,414.0,439.8,434.5,262122.0,1112.91
2008-07-09,446.0,456.9,440.0,452.0,451.75,104747.0,473.04
