Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,415.8,429.4,409.05,422.0,424.55,530419.0,2249.74
2005-10-07,424.15,426.0,413.05,413.55,416.2,409124.0,1721.02
2005-10-10,417.0,418.95,408.0,408.8,409.05,117110.0,483.43
2005-10-11,413.0,416.0,404.55,412.0,412.2,90318.0,371.63
2005-10-13,412.5,412.5,400.1,408.1,408.4,60286.0,246.26
2005-10-14,411.8,411.8,396.05,400.0,398.45,273435.0,1093.88
2005-10-17,397.0,403.6,397.0,399.95,400.85,183754.0,736.59
2005-10-18,402.95,407.0,393.1,401.25,403.55,494780.0,1985.32
2005-10-19,398.4,403.9,375.0,391.05,392.6,569580.0,2264.03
2005-10-20,400.0,400.0,388.0,397.0,394.45,289754.0,1137.9
2005-10-21,397.0,401.95,393.25,394.3,395.7,418869.0,1661.64
2005-10-24,398.6,408.75,392.05,406.95,405.75,345862.0,1388.63
2005-10-25,408.75,414.95,401.4,403.5,404.05,111172.0,454.42
2005-10-26,405.0,405.05,397.5,402.7,402.1,419286.0,1680.35
2005-10-27,400.0,403.0,380.1,384.1,385.1,848048.0,3333.02
2005-10-28,385.5,389.9,366.1,371.0,379.65,896289.0,3387.15
2005-10-31,377.0,377.0,363.0,364.0,367.6,629075.0,2313.55
2005-11-01,368.25,374.95,368.25,374.0,373.25,52545.0,195.61
2005-11-02,376.0,381.0,372.05,378.95,378.25,512900.0,1928.68
2005-11-07,377.0,391.4,376.05,390.5,388.7,523545.0,2019.92
2005-11-08,391.4,404.4,390.0,396.0,395.2,823842.0,3269.87
2005-11-09,397.0,403.75,395.0,399.0,399.25,388340.0,1550.04
2005-11-10,400.5,419.8,400.5,417.15,416.9,502888.0,2069.22
2005-11-11,419.8,438.4,419.8,435.85,435.05,703513.0,3036.53
2005-11-14,436.0,447.0,429.05,436.5,435.45,404734.0,1768.91
2005-11-16,437.0,446.9,432.0,440.25,440.25,239603.0,1055.02
2005-11-17,438.0,445.9,438.0,438.95,439.7,317207.0,1397.18
2005-11-18,441.0,447.1,434.15,434.15,437.55,583402.0,2565.83
2005-11-21,439.7,442.0,435.05,435.5,437.4,455793.0,1998.58
2005-11-22,435.05,435.05,422.0,425.25,428.4,170077.0,732.39
2005-11-23,429.0,429.0,414.1,425.0,422.6,356337.0,1501.81
2005-11-24,427.9,431.5,422.2,424.25,424.9,246925.0,1056.05
2005-11-25,422.0,430.0,422.0,430.0,428.0,73481.0,314.1
2005-11-26,428.2,434.5,426.0,432.0,432.4,60356.0,260.49
2005-11-28,433.75,444.0,432.25,432.25,435.15,465740.0,2039.39
2005-11-29,435.15,442.9,433.5,433.5,435.55,314064.0,1378.21
2005-11-30,436.8,455.0,436.5,438.5,439.0,663622.0,2967.95
2005-12-01,440.0,444.5,434.1,444.0,443.5,224150.0,987.25
2005-12-02,444.0,448.0,437.25,438.0,439.2,306477.0,1357.55
2005-12-05,438.8,440.0,419.05,420.0,420.4,253575.0,1079.8
2005-12-06,420.4,420.4,407.0,409.7,409.55,423332.0,1747.3
2005-12-07,410.8,413.95,402.55,404.1,404.6,597104.0,2434.42
2005-12-08,408.9,416.0,401.3,414.55,414.15,650430.0,2671.82
2005-12-09,410.0,415.0,406.05,409.0,408.9,242524.0,994.26
2005-12-12,407.0,416.0,406.0,410.0,407.85,564010.0,2323.17
2005-12-13,407.4,412.95,405.05,411.15,410.1,454053.0,1859.6
2005-12-14,412.95,420.0,412.1,414.9,413.8,426949.0,1774.76
2005-12-15,417.0,419.85,407.25,407.5,408.9,171663.0,708.62
2005-12-16,409.0,420.5,409.0,419.0,418.7,451972.0,1874.63
2005-12-19,415.0,429.0,415.0,420.7,420.75,334244.0,1417.35
2005-12-20,422.0,426.5,418.0,420.85,419.5,207398.0,875.43
2005-12-21,424.05,426.0,419.1,421.1,421.6,354272.0,1496.13
2005-12-22,422.0,428.45,414.05,427.0,426.05,513133.0,2173.14
2005-12-23,428.45,437.9,420.6,421.0,421.2,250217.0,1060.31
2005-12-26,437.9,437.9,408.5,415.0,414.85,112873.0,466.31
2005-12-27,414.85,427.9,411.0,426.0,426.15,203901.0,858.63
2005-12-28,426.15,441.0,425.15,437.6,437.7,582410.0,2541.94
2005-12-29,430.0,442.0,425.0,440.0,438.65,594416.0,2580.5
2005-12-30,435.0,440.0,430.0,432.05,435.15,106065.0,461.01
2006-01-02,435.15,443.0,426.1,443.0,439.35,144555.0,628.27
2006-01-03,440.0,443.45,436.5,439.3,440.05,173705.0,765.38
2006-01-04,440.15,455.0,440.0,453.5,452.2,770912.0,3448.58
