Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,395.5,395.5,384.15,386.7,387.25,2337369.0,9112.87
2012-11-23,387.0,387.4,378.6,381.7,381.7,974479.0,3718.8
2012-11-26,380.25,384.8,378.5,381.8,381.6,764393.0,2924.09
2012-11-27,383.0,393.5,381.55,389.9,390.8,2350611.0,9157.69
2012-11-29,394.0,407.5,391.65,406.5,404.55,5320498.0,21403.9
2012-11-30,409.9,416.9,406.3,415.0,414.65,2875574.0,11829.92
2012-12-03,416.9,416.9,409.1,413.5,413.55,1311415.0,5415.92
2012-12-04,411.8,420.6,410.1,411.4,411.35,1667172.0,6903.87
2012-12-05,415.0,416.0,411.15,415.0,414.55,1245858.0,5158.59
2012-12-06,416.5,416.9,407.2,412.0,411.75,1409286.0,5782.82
2012-12-07,413.25,414.95,406.25,410.5,410.7,1278702.0,5250.86
2012-12-10,409.0,419.0,409.0,416.7,417.35,1913185.0,7952.27
2012-12-11,419.95,423.0,411.2,416.45,416.3,2524271.0,10542.17
2012-12-12,419.8,419.8,410.55,415.5,415.25,1429028.0,5924.97
2012-12-13,416.25,418.2,404.95,407.3,406.9,947387.0,3891.5
2012-12-14,407.25,410.5,402.05,402.9,403.0,1224616.0,4953.3
2012-12-17,405.95,410.95,403.0,410.6,409.25,877337.0,3569.83
2012-12-18,411.0,417.0,410.1,412.3,412.3,1254873.0,5188.2
2012-12-19,414.7,420.75,413.4,420.0,419.85,1840280.0,7693.5
2012-12-20,420.0,429.5,418.75,423.6,424.85,2775721.0,11811.71
2012-12-21,424.7,430.1,418.1,418.45,419.75,1318439.0,5602.12
2012-12-24,421.0,424.2,415.25,418.9,418.75,972238.0,4086.76
2012-12-26,419.65,423.9,419.5,420.1,420.25,708327.0,2985.16
2012-12-27,422.7,424.4,413.65,416.7,415.1,1538127.0,6418.48
2012-12-28,418.0,421.85,415.45,416.4,416.4,702962.0,2936.23
2012-12-31,417.2,419.1,413.3,414.35,414.25,654260.0,2712.34
2013-01-01,416.0,420.8,415.5,417.0,417.45,727832.0,3041.18
2013-01-02,419.8,425.0,417.0,420.5,420.45,2136297.0,9004.18
2013-01-03,421.1,422.3,416.05,417.35,417.85,1107370.0,4634.02
2013-01-04,420.0,421.5,415.25,416.0,416.15,1589431.0,6628.19
2013-01-07,419.9,429.7,417.6,424.7,424.35,2172227.0,9218.84
2013-01-08,426.8,431.9,423.85,430.95,429.5,3215124.0,13788.93
2013-01-09,432.9,435.0,426.25,428.95,428.4,2631466.0,11362.41
2013-01-10,430.1,431.8,424.0,424.8,425.45,1595163.0,6816.16
2013-01-11,427.05,428.45,420.0,420.9,421.5,839019.0,3554.48
2013-01-14,422.0,422.0,414.6,416.5,416.3,1573682.0,6553.99
