Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,356.0,356.9,351.0,356.0,355.8,803077.0,2844.91
2012-11-23,355.7,359.0,354.45,357.0,358.05,999152.0,3566.07
2012-11-26,357.0,361.9,356.65,360.0,360.45,1152147.0,4152.39
2012-11-27,362.0,367.0,360.5,360.9,363.3,1148482.0,4171.07
2012-11-29,364.9,373.5,363.35,368.1,369.9,2727957.0,10058.78
2012-11-30,373.0,373.45,359.15,366.85,366.55,1913806.0,6997.78
2012-12-03,366.3,374.85,362.9,366.0,366.15,2009230.0,7369.07
2012-12-04,367.0,369.35,361.6,364.4,364.45,2002423.0,7301.43
2012-12-05,365.5,367.75,361.15,361.2,361.7,957128.0,3476.51
2012-12-06,362.5,368.4,358.2,364.8,362.4,4403668.0,15882.61
2012-12-07,364.9,372.0,360.8,361.2,362.95,3397863.0,12476.81
2012-12-10,363.9,367.8,362.0,362.45,362.75,894152.0,3254.18
2012-12-11,363.5,365.9,355.1,358.0,357.2,934577.0,3361.94
2012-12-12,358.9,360.3,355.2,356.2,356.4,1333281.0,4767.47
2012-12-13,356.5,357.6,351.3,352.2,353.65,1239115.0,4394.26
2012-12-14,353.0,356.4,351.25,354.2,354.1,1882922.0,6653.29
2012-12-17,353.1,355.0,349.75,351.95,351.8,2604658.0,9166.17
2012-12-18,353.0,355.45,348.7,351.75,352.15,3208233.0,11291.33
2012-12-19,352.55,359.05,352.55,357.25,357.15,2694436.0,9611.93
2012-12-20,357.45,360.45,353.2,355.0,356.5,2359658.0,8421.7
2012-12-21,354.5,354.5,350.0,353.0,352.6,2572795.0,9055.02
2012-12-24,352.65,355.4,351.15,354.0,354.35,445971.0,1576.69
2012-12-26,354.35,355.85,352.25,355.0,355.1,825470.0,2925.32
2012-12-27,355.1,355.65,351.1,353.6,353.05,2472434.0,8725.9
2012-12-28,354.8,355.5,350.55,354.0,353.4,1362203.0,4803.67
2012-12-31,353.1,355.5,352.0,355.0,354.8,781161.0,2768.94
2013-01-01,356.05,360.65,355.8,360.2,359.95,931122.0,3347.96
2013-01-02,361.1,362.95,357.6,359.0,358.7,2259736.0,8109.63
2013-01-03,359.1,362.5,358.1,360.0,360.45,2027014.0,7307.17
2013-01-04,361.75,364.7,357.8,363.5,363.8,1535946.0,5567.82
2013-01-07,364.2,365.0,358.55,360.05,360.2,1000153.0,3605.84
2013-01-08,360.7,362.0,357.0,360.0,360.25,886068.0,3182.49
2013-01-09,360.5,370.95,359.6,365.65,363.7,3174415.0,11615.93
2013-01-10,366.2,372.4,363.8,365.0,365.65,1889875.0,6969.69
2013-01-11,366.0,369.75,359.0,360.0,360.65,1310539.0,4766.07
2013-01-14,361.0,362.2,357.3,361.5,359.15,1242363.0,4456.52
2013-01-15,359.9,360.55,353.7,354.8,355.05,1104566.0,3937.64
2013-01-16,354.0,358.8,351.45,353.9,352.6,1893031.0,6715.83
2013-01-17,353.5,355.65,350.3,352.7,352.55,1437686.0,5079.07
2013-01-18,353.15,358.75,353.15,354.5,354.8,1430944.0,5103.93
2013-01-21,353.5,355.35,350.15,352.1,351.6,1395513.0,4917.49
2013-01-22,349.5,354.3,348.5,350.7,350.45,2106194.0,7414.44
2013-01-23,353.8,353.8,349.9,351.7,350.5,1525211.0,5360.06
2013-01-24,349.0,355.7,342.5,345.15,343.65,2244498.0,7794.56
2013-01-25,345.0,345.0,338.15,341.25,341.05,2178501.0,7434.46
2013-01-28,341.6,342.9,337.0,342.0,342.25,1729721.0,5881.5
2013-01-29,340.5,348.25,340.25,348.05,347.65,2242187.0,7731.04
2013-01-30,347.5,352.8,346.85,351.55,350.25,2914324.0,10202.03
2013-01-31,350.0,354.9,347.3,353.0,353.35,2978332.0,10490.47
2013-02-01,352.25,359.1,349.3,356.5,356.7,1952958.0,6942.19
2013-02-04,357.1,357.35,348.5,350.55,350.55,2098181.0,7397.88
2013-02-05,347.2,353.0,345.25,351.9,349.4,1840821.0,6419.68
2013-02-06,352.7,355.0,340.6,343.4,342.35,1067866.0,3705.11
2013-02-07,342.4,345.9,339.2,345.0,343.8,982217.0,3363.62
2013-02-08,342.1,345.0,333.0,340.2,338.75,2935771.0,9891.83
2013-02-11,341.0,341.7,335.65,340.4,338.45,2575836.0,8690.0
2013-02-12,340.35,347.2,337.5,345.0,345.1,2557673.0,8748.27
2013-02-13,345.1,348.7,341.0,348.55,347.65,1750962.0,6070.56
2013-02-14,353.2,353.55,346.35,351.25,350.9,3190078.0,11193.23
2013-02-15,351.0,351.9,345.2,350.1,349.85,2005414.0,6979.87
2013-02-18,348.1,350.1,341.5,344.0,343.1,1564363.0,5372.65
2013-02-19,342.1,343.1,336.45,338.4,338.8,1147864.0,3887.51
2013-02-20,341.0,343.5,339.5,343.1,342.6,1864313.0,6371.91
2013-02-21,340.95,342.1,337.05,340.0,340.3,2103633.0,7127.1
2013-02-22,339.3,340.0,330.1,331.15,331.7,2323286.0,7772.88
2013-02-25,333.0,333.95,324.6,324.9,325.8,2234113.0,7314.5
2013-02-26,325.25,325.75,313.25,315.3,314.6,1783812.0,5672.88
2013-02-27,318.65,318.65,310.75,311.75,311.5,3096188.0,9735.65
2013-02-28,313.0,323.0,305.1,313.0,309.8,6550159.0,20739.5
2013-03-01,310.4,319.3,310.4,313.5,314.0,1982201.0,6236.51
2013-03-04,314.0,317.35,307.65,314.95,316.1,2460519.0,7681.05
2013-03-05,315.2,318.9,313.2,318.0,318.15,1121331.0,3555.88
2013-03-06,319.0,322.8,316.05,316.2,317.0,1387621.0,4431.13
2013-03-07,316.2,317.5,312.0,312.8,313.0,1508269.0,4736.06
2013-03-08,313.5,322.0,312.8,321.0,321.35,3730472.0,11839.27
2013-03-11,320.55,327.5,319.65,320.45,320.4,1694709.0,5490.01
2013-03-12,321.45,323.65,315.5,317.5,319.15,1065793.0,3402.41
2013-03-13,317.05,323.5,315.75,319.0,319.05,1431325.0,4573.92
2013-03-14,318.05,320.85,316.7,318.0,319.2,1589111.0,5075.38
2013-03-15,322.1,322.9,316.1,320.25,320.0,1966212.0,6278.14
2013-03-18,309.0,309.25,299.95,301.7,302.3,4966365.0,15047.07
2013-03-19,301.25,301.7,291.0,297.0,297.85,4898937.0,14494.22
2013-03-20,297.2,299.7,295.15,298.8,297.9,2619937.0,7793.13
2013-03-21,297.25,300.4,295.95,299.5,298.15,2180014.0,6509.98
2013-03-22,298.1,303.75,293.85,295.3,296.7,1569103.0,4680.91
2013-03-25,298.35,300.5,294.0,297.0,297.4,1815688.0,5399.3
2013-03-26,295.5,305.0,295.5,302.4,301.35,2049384.0,6194.59
