Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,889.0,932.5,889.0,923.2,921.35,215796.0,1978.26
2005-10-07,920.1,946.2,912.05,945.0,939.6,435049.0,4061.06
2005-10-10,941.0,975.0,941.0,970.0,965.05,352696.0,3382.16
2005-10-11,965.0,965.0,931.0,932.0,937.6,246739.0,2325.55
2005-10-13,930.0,930.0,873.25,901.95,899.95,311346.0,2811.93
2005-10-14,905.0,917.85,886.0,890.0,895.9,260780.0,2363.53
2005-10-17,899.0,913.9,873.05,875.2,876.0,156485.0,1381.58
2005-10-18,876.0,890.0,847.0,848.85,855.05,187145.0,1628.0
2005-10-19,850.0,855.0,806.0,824.0,816.65,296765.0,2445.54
2005-10-20,830.0,842.05,818.0,825.15,827.15,118352.0,981.36
2005-10-21,820.0,844.8,802.0,840.0,839.55,149230.0,1228.52
2005-10-24,820.0,845.0,802.0,803.35,807.85,80764.0,661.03
2005-10-25,808.0,851.5,801.0,844.0,843.55,304584.0,2551.57
2005-10-26,848.0,865.0,819.0,822.95,822.5,398400.0,3361.32
2005-10-27,828.9,830.0,788.0,790.0,802.2,401478.0,3256.44
2005-10-28,819.0,849.45,781.05,796.0,792.45,158253.0,1249.83
2005-10-31,805.0,833.3,805.0,808.0,807.9,275770.0,2257.06
2005-11-01,818.9,831.5,812.5,824.8,823.3,42291.0,348.44
2005-11-02,823.5,857.0,823.5,846.0,846.5,296122.0,2496.18
2005-11-07,840.0,893.8,840.0,893.7,889.4,410427.0,3607.53
2005-11-08,895.0,905.5,880.0,880.6,888.4,324241.0,2907.46
2005-11-09,900.0,939.0,888.4,935.0,929.3,621817.0,5679.19
2005-11-10,932.0,945.0,910.0,914.0,914.6,253272.0,2341.17
2005-11-11,919.9,948.5,912.1,937.0,938.85,677010.0,6238.04
2005-11-14,943.0,949.95,930.0,936.15,940.05,187829.0,1767.77
2005-11-16,941.0,947.95,940.0,947.1,945.0,139054.0,1312.2
2005-11-17,946.0,959.0,937.1,940.0,940.75,151278.0,1430.42
2005-11-18,949.0,958.0,915.1,917.0,924.9,165798.0,1546.64
2005-11-21,950.0,956.0,924.0,928.0,929.5,270512.0,2513.22
2005-11-22,925.0,934.0,900.0,922.0,919.95,71174.0,658.04
2005-11-23,920.0,936.75,920.0,928.0,929.35,141535.0,1315.87
2005-11-24,934.9,939.9,915.15,930.5,925.45,146065.0,1352.53
2005-11-25,928.0,936.0,922.1,923.55,925.35,86411.0,801.64
2005-11-26,935.5,945.0,927.0,930.0,932.7,89441.0,837.82
2005-11-28,936.0,962.5,930.0,958.0,952.35,251345.0,2378.27
2005-11-29,955.8,967.45,919.5,936.0,935.05,470389.0,4466.73
2005-11-30,936.0,949.9,907.05,910.0,913.85,184263.0,1718.2
2005-12-01,918.0,934.0,910.0,927.0,929.85,127297.0,1173.57
2005-12-02,935.0,944.8,915.05,917.0,918.4,61693.0,571.46
2005-12-05,930.0,938.7,900.0,904.95,907.5,155521.0,1436.13
2005-12-06,915.0,919.0,902.0,910.5,907.7,92005.0,837.99
2005-12-07,915.0,936.7,912.0,930.0,930.5,165203.0,1527.94
2005-12-08,935.0,942.0,916.05,922.05,928.15,169937.0,1575.87
2005-12-09,930.0,930.0,920.05,920.05,926.3,263211.0,2434.77
2005-12-12,922.5,940.0,922.5,926.0,929.15,102399.0,952.35
2005-12-13,934.0,935.0,920.0,927.0,924.9,145821.0,1348.13
2005-12-14,930.0,958.4,925.0,947.0,946.85,626572.0,5905.98
2005-12-15,948.0,953.5,929.2,931.5,930.65,125416.0,1176.24
2005-12-16,931.1,938.8,916.0,932.35,935.1,154634.0,1443.25
2005-12-19,926.0,955.0,926.0,945.0,945.05,220652.0,2088.49
2005-12-20,947.9,989.0,946.55,979.5,982.1,405036.0,3923.14
2005-12-21,960.05,993.75,960.05,987.0,985.4,350908.0,3434.37
2005-12-22,972.0,999.9,970.0,996.1,991.75,174075.0,1711.49
2005-12-23,989.8,990.0,962.0,962.05,966.1,98809.0,966.26
2005-12-26,966.0,974.4,948.0,952.0,952.4,51349.0,490.34
2005-12-27,954.0,965.9,950.1,961.0,960.7,106292.0,1019.86
2005-12-28,961.0,974.7,955.0,967.65,967.3,140332.0,1353.34
2005-12-29,964.0,969.1,940.0,949.6,951.5,390472.0,3742.6
2005-12-30,955.0,989.0,952.0,985.0,978.15,314470.0,3065.11
2006-01-02,972.0,980.0,959.95,962.0,963.0,97187.0,940.46
2006-01-03,972.0,999.9,967.0,993.0,993.95,378979.0,3728.06
2006-01-04,941.55,1029.0,941.55,1019.0,1020.45,394634.0,3996.07
2006-01-05,1001.0,1035.0,1001.0,1024.0,1029.3,256666.0,2627.54
2006-01-06,1027.0,1039.9,1001.15,1027.5,1023.8,248932.0,2541.44
2006-01-09,1023.0,1070.0,1023.0,1057.1,1061.25,312590.0,3273.04
2006-01-10,1070.0,1074.75,1030.15,1038.0,1034.95,91638.0,957.48
2006-01-12,1021.65,1047.95,1021.65,1026.55,1028.45,151993.0,1571.12
