Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,2345.05,2399.0,2345.05,2380.0,2372.05,10240.0,243.53
2012-11-23,2375.0,2477.0,2365.0,2424.0,2427.0,18235.0,444.68
2012-11-26,2449.95,2600.0,2449.95,2594.0,2582.6,48100.0,1228.11
2012-11-27,2598.0,2659.0,2551.55,2613.0,2612.6,28119.0,736.56
2012-11-29,2612.6,2775.0,2465.75,2699.0,2704.8,82502.0,2252.32
2012-11-30,2704.75,2760.0,2650.0,2750.0,2738.25,83594.0,2262.13
2012-12-03,2738.0,2828.0,2735.0,2819.5,2808.6,20448.0,571.11
2012-12-04,2818.0,2875.0,2800.0,2864.0,2861.85,112546.0,3199.75
2012-12-05,2860.0,2860.0,2751.0,2761.8,2768.45,17802.0,498.3
2012-12-06,2796.0,2796.0,2735.0,2770.5,2777.45,54453.0,1503.53
2012-12-07,2769.5,2834.0,2670.55,2710.0,2690.15,9762.0,267.61
2012-12-10,2749.0,2795.0,2636.3,2675.0,2670.05,10677.0,285.23
2012-12-11,2675.05,2717.85,2651.75,2700.0,2682.8,4711.0,126.46
2012-12-12,2720.0,2749.0,2685.0,2720.05,2707.0,10318.0,279.93
2012-12-13,2712.15,2745.0,2652.85,2700.0,2695.65,11435.0,310.02
2012-12-14,2681.0,2731.8,2670.0,2715.0,2706.7,8543.0,230.82
2012-12-17,2787.85,2787.85,2700.05,2710.0,2708.55,4015.0,109.32
2012-12-18,2710.2,2734.0,2670.0,2689.6,2694.7,2808.0,75.76
2012-12-19,2700.0,2734.45,2691.1,2720.0,2716.95,4947.0,134.41
2012-12-20,2727.0,2744.1,2710.0,2726.25,2723.4,5208.0,141.86
2012-12-21,2711.55,2735.0,2670.05,2671.0,2687.7,5085.0,137.34
2012-12-24,2687.7,2700.05,2651.55,2700.0,2683.4,4610.0,123.26
2012-12-26,2675.0,2962.95,2671.0,2890.0,2814.15,31160.0,871.43
2012-12-27,2823.7,2920.0,2735.0,2741.5,2752.85,31325.0,886.37
2012-12-28,2778.95,2824.7,2750.0,2792.15,2802.55,9434.0,262.97
2012-12-31,2820.0,2930.0,2780.0,2900.0,2906.6,25113.0,724.46
2013-01-01,2906.6,2950.0,2860.1,2911.0,2923.05,12251.0,356.4
2013-01-02,2920.0,2920.0,2841.2,2841.2,2855.35,13047.0,374.76
2013-01-03,2898.7,2910.0,2850.0,2860.0,2860.25,4819.0,138.68
2013-01-04,2993.95,2993.95,2802.0,2810.0,2822.7,8686.0,246.24
2013-01-07,2899.75,2899.75,2820.05,2841.0,2843.45,9687.0,275.59
2013-01-08,2778.0,2874.95,2778.0,2789.6,2794.75,5814.0,163.18
2013-01-09,2814.0,2835.0,2747.0,2775.0,2767.3,7239.0,202.69
2013-01-10,2819.95,2855.0,2753.05,2790.0,2806.1,13802.0,388.26
2013-01-11,2790.2,2848.0,2782.55,2800.0,2810.8,10583.0,298.14
2013-01-14,2869.7,2894.0,2741.0,2775.0,2764.5,5855.0,162.7
2013-01-15,2789.2,2819.95,2765.5,2783.0,2774.35,9575.0,267.11
2013-01-16,2798.5,2798.8,2765.0,2770.0,2774.2,7726.0,214.99
2013-01-17,2794.9,2794.95,2710.0,2725.0,2730.65,10045.0,276.33
2013-01-18,2735.6,2786.95,2681.15,2700.0,2712.25,5673.0,154.45
2013-01-21,2762.0,2762.0,2685.0,2689.05,2693.05,3662.0,98.83
2013-01-22,2695.05,2705.0,2675.0,2699.0,2697.25,13530.0,364.82
2013-01-23,2685.05,2713.85,2650.0,2665.65,2671.25,44685.0,1200.93
2013-01-24,2693.85,2775.0,2630.15,2692.0,2699.55,14660.0,395.26
2013-01-25,2717.95,2717.95,2638.15,2638.15,2653.85,11312.0,300.83
2013-01-28,2699.85,2699.85,2625.0,2626.3,2640.1,12138.0,322.67
2013-01-29,2668.65,2740.0,2610.0,2718.0,2730.95,23591.0,631.12
2013-01-30,2731.0,2789.0,2686.0,2780.0,2762.6,25251.0,697.16
2013-01-31,2775.0,2845.0,2755.0,2802.0,2820.35,14240.0,400.87
2013-02-01,2857.95,2865.0,2783.8,2838.0,2841.2,13324.0,379.11
2013-02-04,2783.9,2907.95,2751.15,2880.0,2878.85,15482.0,445.28
2013-02-05,2878.85,2910.0,2865.05,2875.0,2876.7,34877.0,1007.3
2013-02-06,2897.9,2897.9,2755.0,2760.0,2773.7,7442.0,208.51
2013-02-07,2820.05,2840.0,2768.0,2775.25,2786.05,7596.0,212.64
2013-02-08,2780.0,2810.0,2715.0,2810.0,2740.15,13122.0,359.77
2013-02-11,2751.1,2789.0,2680.0,2731.05,2741.25,2195.0,60.36
2013-02-12,2769.0,2769.0,2631.0,2673.05,2671.35,23111.0,616.72
2013-02-13,2751.0,2751.0,2590.0,2620.0,2624.7,24352.0,642.41
2013-02-14,2624.7,2719.1,2624.6,2715.0,2687.0,98341.0,2640.04
2013-02-15,2693.9,2695.0,2652.3,2655.25,2659.3,2143.0,57.15
2013-02-18,2659.35,2696.15,2651.4,2687.0,2689.55,114002.0,3051.62
2013-02-19,2699.8,2891.0,2698.2,2838.0,2839.65,70301.0,1999.83
2013-02-20,2830.15,2864.0,2781.05,2810.0,2813.9,21152.0,595.33
2013-02-21,2761.05,2814.6,2761.05,2798.0,2791.6,6994.0,195.09
2013-02-22,2849.75,2849.9,2780.0,2782.0,2795.9,9375.0,263.07
2013-02-25,2801.45,2815.0,2750.1,2797.7,2782.05,30243.0,845.77
2013-02-26,2869.8,2869.8,2750.0,2755.0,2769.45,17765.0,490.58
2013-02-27,2755.0,2784.55,2752.0,2771.0,2776.95,9101.0,252.1
2013-02-28,2780.0,2818.6,2740.0,2755.5,2770.65,27945.0,780.56
2013-03-01,2829.0,2840.0,2743.0,2769.0,2772.8,11599.0,326.0
2013-03-04,2772.0,2828.0,2762.05,2770.0,2780.8,6488.0,181.27
