Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,347.0,350.8,344.35,347.05,347.35,629056.0,2187.67
2012-11-23,347.5,348.7,339.0,339.85,339.9,788945.0,2690.22
2012-11-26,342.7,342.7,335.5,337.5,337.0,554098.0,1872.39
2012-11-27,337.4,342.5,336.8,339.9,339.65,941917.0,3199.27
2012-11-29,339.5,346.0,339.5,343.35,344.45,1255778.0,4316.45
2012-11-30,342.25,355.95,341.25,352.0,353.35,1306020.0,4546.73
2012-12-03,353.0,356.95,347.45,348.1,348.55,990261.0,3479.91
2012-12-04,348.1,354.45,348.1,352.5,352.3,505097.0,1774.62
2012-12-05,353.5,355.0,352.25,353.05,353.8,931842.0,3296.09
2012-12-06,352.75,354.9,348.55,353.9,353.8,362267.0,1276.44
2012-12-07,353.15,354.0,351.5,353.0,352.85,691395.0,2440.24
2012-12-10,353.0,358.25,352.0,353.55,354.35,749635.0,2662.0
2012-12-11,354.25,356.85,351.1,354.9,354.95,485484.0,1721.79
2012-12-12,354.35,355.0,345.45,348.3,347.8,787485.0,2744.49
2012-12-13,347.8,354.4,344.8,348.0,347.6,619020.0,2162.19
2012-12-14,347.25,350.2,345.3,346.8,346.45,528498.0,1837.57
2012-12-17,343.25,347.6,342.75,343.6,344.15,512636.0,1765.35
2012-12-18,345.1,349.8,344.0,347.9,346.95,1071649.0,3710.87
2012-12-19,348.1,351.8,346.8,350.0,349.9,677602.0,2371.8
2012-12-20,351.8,352.8,347.75,352.1,351.75,423235.0,1485.3
2012-12-21,351.65,351.65,344.05,349.0,349.2,428546.0,1493.39
2012-12-24,352.0,353.75,347.8,353.0,352.15,420662.0,1475.83
2012-12-26,352.15,356.35,350.0,353.35,353.9,964630.0,3417.75
2012-12-27,355.3,356.5,345.0,347.0,347.55,1587363.0,5552.83
2012-12-28,348.1,353.0,347.35,351.7,351.3,471465.0,1649.07
2012-12-31,351.1,358.35,350.5,355.5,356.75,828912.0,2937.5
2013-01-01,359.0,360.35,356.4,357.45,357.4,361225.0,1293.74
2013-01-02,358.7,365.75,358.1,365.25,364.75,1667508.0,6059.45
2013-01-03,367.6,367.7,360.25,363.4,363.35,998463.0,3636.57
2013-01-04,362.4,374.45,357.25,369.95,371.15,1861656.0,6830.11
2013-01-07,375.4,375.4,365.25,366.0,366.35,1224647.0,4520.78
2013-01-08,366.1,367.35,360.9,364.8,364.55,789130.0,2870.96
2013-01-09,365.0,372.8,363.65,370.6,370.6,1238728.0,4583.95
2013-01-10,372.2,377.2,365.8,366.0,367.45,1763120.0,6562.92
2013-01-11,368.9,371.0,361.55,364.5,364.45,1220955.0,4443.65
2013-01-14,367.55,373.0,364.2,372.5,370.9,325066.0,1194.6
2013-01-15,368.6,375.0,366.05,372.0,372.25,1175109.0,4379.19
2013-01-16,374.75,376.95,370.0,371.2,372.9,1410166.0,5277.12
2013-01-17,371.05,381.0,365.15,376.0,376.4,1827923.0,6873.38
2013-01-18,377.25,395.85,377.25,386.05,383.65,3720252.0,14347.77
2013-01-21,384.55,390.1,384.55,389.0,388.0,1691662.0,6563.9
2013-01-22,388.0,388.0,368.2,369.3,369.95,1111415.0,4145.75
2013-01-23,370.8,373.55,364.0,366.0,365.95,882237.0,3246.42
2013-01-24,367.15,369.55,346.75,349.0,349.5,2341795.0,8275.64
2013-01-25,351.9,356.55,347.6,353.3,353.55,788683.0,2775.21
2013-01-28,353.85,365.0,352.5,358.0,358.1,1242085.0,4453.84
2013-01-29,356.25,359.5,350.0,350.25,350.55,595994.0,2113.29
2013-01-30,352.1,353.8,338.2,339.0,339.15,2553978.0,8741.41
2013-01-31,339.0,345.5,335.3,345.1,342.25,3236619.0,11018.94
2013-02-01,343.3,348.0,341.0,342.25,343.2,1853243.0,6373.38
2013-02-04,345.0,346.7,338.6,340.0,339.8,653955.0,2241.8
2013-02-05,339.8,346.45,339.8,344.95,344.9,1558848.0,5376.74
2013-02-06,347.0,347.0,340.8,342.5,343.8,1617805.0,5568.1
2013-02-07,342.15,343.75,334.15,335.1,335.45,1111467.0,3764.54
2013-02-08,335.45,337.7,333.1,334.9,335.6,534154.0,1794.0
2013-02-11,336.85,339.5,334.4,335.0,335.25,1039073.0,3492.06
2013-02-12,335.3,336.55,332.0,333.15,333.4,690408.0,2303.83
2013-02-13,333.5,334.85,325.0,325.45,328.05,918158.0,3037.01
2013-02-14,326.7,337.0,326.0,335.0,334.65,1039729.0,3453.95
2013-02-15,337.0,341.5,333.15,339.4,338.75,1140377.0,3833.0
2013-02-18,336.7,341.9,334.8,339.0,340.15,1763575.0,5988.83
2013-02-19,341.0,341.0,331.55,335.0,334.45,657430.0,2198.43
2013-02-20,337.7,339.2,333.0,337.95,338.0,990787.0,3331.51
2013-02-21,336.75,339.2,335.0,338.0,338.15,1109537.0,3747.9
2013-02-22,338.45,344.7,338.05,341.0,341.0,1217268.0,4157.57
2013-02-25,343.0,344.55,338.0,344.0,343.2,980129.0,3349.37
2013-02-26,343.4,344.0,337.2,341.05,339.75,834116.0,2827.78
2013-02-27,340.2,341.65,329.8,333.55,333.55,1113253.0,3710.77
2013-02-28,334.95,337.7,328.3,333.0,332.55,2431378.0,8074.11
2013-03-01,333.75,334.25,327.75,332.0,332.05,1313994.0,4354.98
2013-03-04,331.0,333.9,325.0,330.35,330.05,989749.0,3259.75
2013-03-05,331.95,340.6,328.0,337.05,337.0,1051399.0,3506.78
2013-03-06,337.25,339.8,330.2,334.5,334.0,1004564.0,3355.79
2013-03-07,331.3,332.95,329.55,332.35,331.5,1183480.0,3917.83
2013-03-08,333.5,342.5,332.4,342.0,341.6,1318271.0,4463.95
2013-03-11,342.5,351.0,341.4,345.0,345.9,1412694.0,4879.1
2013-03-12,347.2,349.25,344.1,345.0,346.35,774934.0,2684.87
2013-03-13,344.5,344.95,337.15,340.3,339.6,951984.0,3235.41
2013-03-14,338.0,341.5,329.2,332.7,332.55,1113236.0,3702.55
2013-03-15,333.0,335.9,321.9,322.65,323.3,1491063.0,4876.9
2013-03-18,321.1,322.0,312.95,314.0,313.7,1211201.0,3825.84
2013-03-19,314.9,324.8,314.2,322.0,323.45,2325564.0,7442.38
2013-03-20,320.3,324.0,316.45,318.0,318.65,856451.0,2742.16
2013-03-21,318.5,324.85,317.0,317.0,318.85,859986.0,2762.07
2013-03-22,318.85,321.45,318.2,319.4,319.1,1173641.0,3752.54
2013-03-25,321.25,328.0,312.0,313.0,313.8,652043.0,2084.9
2013-03-26,314.4,315.0,300.25,304.75,303.75,1733342.0,5263.46
2013-03-28,305.0,322.0,304.7,316.0,318.25,2926828.0,9183.13
2013-04-01,319.6,324.65,318.15,319.95,321.35,770340.0,2471.15
2013-04-02,322.7,324.0,318.65,319.65,321.75,707500.0,2279.23
2013-04-03,321.5,322.95,313.0,314.25,314.25,1000910.0,3179.92
2013-04-04,311.55,320.5,311.15,312.0,312.1,693486.0,2188.68
2013-04-05,311.5,321.65,311.5,316.5,316.45,707882.0,2253.21
2013-04-08,316.0,321.8,315.65,319.75,320.4,322201.0,1027.84
2013-04-09,321.1,322.8,312.0,312.05,313.8,602171.0,1909.33
2013-04-10,315.7,316.5,312.2,315.45,315.55,567302.0,1783.92
2013-04-11,316.55,317.85,310.2,314.75,315.3,698161.0,2186.08
2013-04-12,315.7,317.95,312.0,317.0,316.0,256055.0,806.2
2013-04-15,315.25,322.0,315.25,316.65,317.6,416313.0,1325.83
2013-04-16,318.25,322.0,317.2,321.5,320.95,721463.0,2303.76
2013-04-17,322.35,327.7,320.5,322.8,322.3,739794.0,2404.0
2013-04-18,322.8,336.0,322.8,332.0,333.05,484957.0,1593.79
2013-04-22,333.25,336.55,331.15,332.6,335.45,620390.0,2072.28
2013-04-23,338.0,338.0,328.1,329.95,330.05,577732.0,1921.57
2013-04-25,329.05,349.9,329.05,341.0,344.4,1461362.0,4987.53
2013-04-26,342.1,353.0,342.0,350.5,351.05,1707162.0,5976.01
2013-04-29,353.7,355.5,348.5,350.0,350.9,739660.0,2598.71
2013-04-30,350.05,355.0,347.7,350.25,351.15,1523642.0,5344.18
2013-05-02,351.15,352.65,343.7,348.0,346.8,467664.0,1621.8
2013-05-03,346.6,346.7,334.0,336.95,335.15,745792.0,2541.8
2013-05-06,337.0,341.4,336.05,341.4,339.85,548390.0,1860.67
2013-05-07,341.2,344.5,339.2,343.3,342.7,1044895.0,3566.0
2013-05-08,340.65,348.35,340.65,341.6,342.5,633183.0,2177.69
2013-05-09,342.5,344.9,337.85,340.5,339.8,796475.0,2707.07
2013-05-10,339.1,344.4,338.55,343.4,342.3,701250.0,2392.31
2013-05-11,341.05,342.9,338.8,341.3,341.1,35955.0,122.48
2013-05-13,344.15,344.65,329.9,331.95,331.95,1315585.0,4408.66
2013-05-14,332.55,341.0,331.15,337.45,337.55,860914.0,2909.96
2013-05-15,338.0,343.0,338.0,340.0,339.9,1494806.0,5093.23
2013-05-16,336.0,346.45,336.0,338.4,338.2,846451.0,2885.1
2013-05-17,338.0,340.05,333.05,340.0,336.9,1069305.0,3589.64
2013-05-20,341.25,342.35,335.5,337.5,336.55,335810.0,1138.98
2013-05-21,338.75,340.85,333.3,338.0,336.45,764553.0,2576.69
2013-05-22,338.0,338.5,329.35,330.0,329.85,1112059.0,3693.16
2013-05-23,326.0,335.4,323.0,323.0,324.3,984517.0,3234.57
2013-05-24,323.05,326.55,318.7,321.65,321.95,657949.0,2119.8
2013-05-27,321.0,326.0,318.85,324.6,324.5,612507.0,1970.72
2013-05-28,328.0,334.9,325.1,326.5,326.65,1498852.0,4944.49
2013-05-29,330.8,330.8,320.6,320.7,321.6,782281.0,2529.01
2013-05-30,320.9,322.65,317.65,321.0,320.45,1372016.0,4392.84
2013-05-31,321.0,326.9,303.3,305.8,306.05,4973243.0,15468.89
2013-06-03,305.35,313.5,303.9,311.75,311.45,886632.0,2748.28
2013-06-04,310.75,313.6,309.65,311.7,311.15,536615.0,1671.93
2013-06-05,311.8,317.85,311.4,313.9,314.95,894432.0,2821.8
2013-06-06,312.0,313.5,306.05,310.45,310.45,874747.0,2709.02
2013-06-07,308.55,313.3,306.55,307.1,307.05,954256.0,2956.89
2013-06-10,307.2,309.75,302.8,305.0,303.75,593229.0,1812.07
2013-06-11,303.0,308.5,301.05,305.6,305.95,861274.0,2634.92
2013-06-12,307.0,309.25,304.0,305.0,304.95,1513300.0,4645.4
2013-06-13,303.8,305.25,292.4,293.0,296.55,1110604.0,3340.47
2013-06-14,298.0,304.9,298.0,302.0,302.65,719567.0,2176.59
2013-06-17,303.1,305.0,297.0,298.55,299.7,1414796.0,4242.53
2013-06-18,298.15,300.0,293.5,294.3,294.35,688568.0,2034.62
2013-06-19,293.6,298.8,293.55,297.95,297.85,1088186.0,3238.53
2013-06-20,294.1,294.5,290.0,292.0,291.4,1212876.0,3536.09
2013-06-21,290.5,295.5,286.15,291.3,289.65,1624687.0,4764.79
2013-06-24,288.0,289.0,276.15,285.0,285.25,970334.0,2746.08
2013-06-25,286.2,290.0,282.9,286.05,286.1,723047.0,2070.41
2013-06-26,287.6,299.25,283.7,293.5,296.45,928890.0,2730.49
2013-06-27,298.0,305.95,296.35,299.65,299.05,1543266.0,4646.67
2013-06-28,295.0,317.5,286.25,317.0,313.3,2516745.0,7697.07
2013-07-01,313.0,329.0,310.55,324.55,324.9,1439990.0,4574.17
2013-07-02,323.0,334.5,319.1,332.4,332.55,2747189.0,9067.44
2013-07-03,329.5,336.8,323.0,327.7,329.25,2288461.0,7589.77
2013-07-04,327.0,335.9,323.05,333.0,333.75,1258970.0,4153.54
2013-07-05,334.4,334.4,326.0,326.0,326.95,1629382.0,5359.07
2013-07-08,324.85,326.45,315.5,318.5,317.95,1032473.0,3307.24
2013-07-09,321.0,321.75,316.0,317.05,317.35,609589.0,1937.99
2013-07-10,314.25,318.0,313.5,316.3,314.65,819097.0,2580.5
2013-07-11,318.45,323.7,317.2,320.0,320.5,1265895.0,4055.25
2013-07-12,321.5,324.5,317.6,322.0,322.7,1150309.0,3689.13
2013-07-15,321.05,324.75,320.15,323.0,323.05,376488.0,1213.78
2013-07-16,317.3,327.0,316.7,324.85,323.95,1155136.0,3733.93
2013-07-17,321.5,331.5,319.3,322.0,321.7,1550579.0,5002.05
2013-07-18,320.65,326.95,318.55,323.9,324.5,2212642.0,7181.98
2013-07-19,325.0,334.9,321.6,333.35,332.7,820705.0,2671.16
2013-07-22,332.0,332.0,326.25,330.0,330.05,365090.0,1201.36
2013-07-23,331.6,336.5,328.55,331.8,332.25,607113.0,2021.81
