Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,3190.0,3253.8,3170.0,3252.0,3241.95,27860.0,895.75
2012-11-23,3240.0,3246.9,3172.0,3173.0,3181.2,30619.0,979.78
2012-11-26,3170.0,3223.8,3170.0,3196.1,3200.15,51741.0,1657.76
2012-11-27,3200.15,3240.0,3199.65,3215.0,3209.05,47057.0,1513.14
2012-11-29,3212.25,3324.0,3212.25,3286.5,3307.5,114931.0,3762.71
2012-11-30,3310.0,3389.0,3285.8,3389.0,3360.4,71398.0,2384.45
2012-12-03,3360.0,3405.0,3311.0,3325.8,3322.6,50355.0,1683.78
2012-12-04,3340.0,3356.75,3275.0,3278.0,3278.85,63111.0,2080.83
2012-12-05,3290.0,3321.4,3280.0,3284.0,3293.35,62923.0,2075.95
2012-12-06,3290.0,3298.0,3225.0,3295.0,3292.05,108697.0,3533.44
2012-12-07,3300.0,3300.05,3241.0,3255.0,3248.25,70398.0,2290.28
2012-12-10,3260.0,3260.4,3181.0,3206.35,3201.6,122200.0,3916.24
2012-12-11,3210.0,3244.0,3185.3,3210.0,3209.25,61479.0,1976.56
2012-12-12,3211.15,3237.85,3135.1,3138.0,3152.7,107987.0,3432.36
2012-12-13,3138.1,3166.55,3120.1,3134.0,3136.55,80474.0,2528.51
2012-12-14,3140.25,3157.95,3126.0,3155.5,3141.4,80610.0,2529.91
2012-12-17,3149.6,3193.0,3137.2,3193.0,3183.45,42262.0,1339.08
2012-12-18,3185.25,3239.95,3181.15,3232.15,3230.5,59073.0,1897.73
2012-12-19,3244.9,3245.4,3211.25,3232.0,3233.45,38230.0,1235.64
2012-12-20,3233.5,3248.15,3201.0,3223.5,3228.25,53030.0,1709.95
2012-12-21,3215.0,3247.75,3181.9,3210.5,3211.05,79967.0,2572.85
2012-12-24,3212.0,3233.9,3157.8,3161.0,3171.8,123287.0,3927.94
2012-12-26,3177.0,3187.0,3162.05,3163.0,3170.2,51317.0,1628.82
2012-12-27,3175.0,3194.9,3135.25,3144.95,3141.75,51776.0,1631.88
2012-12-28,3154.0,3175.7,3131.3,3137.9,3141.8,58836.0,1859.52
2012-12-31,3144.9,3174.4,3140.3,3171.0,3169.5,106151.0,3361.12
2013-01-01,3173.5,3200.75,3173.5,3200.0,3199.45,79069.0,2529.07
2013-01-02,3210.0,3229.05,3186.0,3199.75,3192.45,59385.0,1908.24
2013-01-03,3200.1,3224.0,3170.0,3172.0,3176.9,45809.0,1459.42
2013-01-04,3174.9,3214.65,3150.0,3168.0,3189.5,56362.0,1788.7
2013-01-07,3200.0,3206.8,3177.0,3180.0,3184.65,98635.0,3140.57
2013-01-08,3184.7,3190.0,3151.7,3180.0,3182.4,35598.0,1131.52
2013-01-09,3182.25,3191.1,3140.1,3162.15,3159.65,75992.0,2411.57
2013-01-10,3174.0,3183.75,3100.0,3118.0,3127.0,103445.0,3234.1
2013-01-11,3128.9,3128.9,3011.0,3040.0,3036.4,96072.0,2944.59
2013-01-14,3040.0,3067.0,3001.1,3060.2,3061.65,46246.0,1402.42
2013-01-15,3060.0,3098.0,3001.05,3090.0,3084.8,131071.0,4022.41
2013-01-16,3089.0,3115.0,3051.05,3051.05,3061.75,37299.0,1148.52
2013-01-17,3047.0,3090.9,3005.0,3067.0,3079.1,43290.0,1321.71
2013-01-18,3080.0,3112.0,3040.05,3048.2,3052.0,52594.0,1615.46
2013-01-21,3044.25,3069.0,3011.5,3024.0,3029.7,80665.0,2439.76
2013-01-22,3017.5,3054.0,3014.95,3028.0,3021.75,31820.0,965.5
2013-01-23,3029.0,3050.0,3020.0,3040.0,3039.5,30045.0,913.38
2013-01-24,3040.0,3048.4,2961.15,2967.05,2977.95,65537.0,1963.76
2013-01-25,2961.0,3027.9,2950.0,3004.05,3017.75,37932.0,1134.56
