Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,1025.0,1029.9,991.55,1001.9,1000.9,707525.0,7098.56
2005-10-07,999.0,1010.0,981.1,995.0,994.55,1017046.0,10170.67
2005-10-10,1003.0,1009.8,980.0,988.1,983.8,121610.0,1205.56
2005-10-11,986.0,998.0,965.15,994.1,991.9,217977.0,2141.95
2005-10-13,986.15,1020.0,970.0,980.0,981.6,1109607.0,10948.51
2005-10-14,1019.45,1019.45,978.0,990.0,985.85,326539.0,3227.79
2005-10-17,980.1,990.0,969.95,978.0,979.4,206441.0,2022.88
2005-10-18,983.0,990.0,975.0,980.0,983.25,537577.0,5291.62
2005-10-19,974.9,984.95,961.15,971.0,973.9,251470.0,2444.31
2005-10-20,989.95,989.95,939.1,955.0,950.85,264826.0,2520.64
2005-10-21,950.0,954.0,911.0,918.5,923.7,758337.0,7034.5
2005-10-24,920.1,927.0,910.75,914.9,912.9,446165.0,4077.7
2005-10-25,913.0,925.0,901.0,910.0,910.6,801768.0,7297.03
2005-10-26,910.5,936.75,910.5,932.0,926.8,300449.0,2782.51
2005-10-27,920.05,964.0,919.0,929.0,944.35,390795.0,3652.74
2005-10-28,935.0,943.0,920.0,937.0,938.95,631191.0,5896.48
2005-10-31,941.9,977.95,938.0,962.0,967.9,460649.0,4448.45
2005-11-01,967.9,979.8,942.0,970.0,969.65,199007.0,1926.36
2005-11-02,970.05,1010.0,967.55,1008.0,1000.3,522736.0,5208.67
2005-11-07,1000.0,1033.65,991.0,1001.0,1004.45,475895.0,4832.42
2005-11-08,1008.0,1049.9,1000.0,1040.0,1040.75,552307.0,5737.57
2005-11-09,1042.0,1080.0,1035.2,1050.0,1048.9,420052.0,4425.98
2005-11-10,1040.0,1048.9,1013.1,1028.0,1027.05,184154.0,1890.47
2005-11-11,1026.0,1056.0,1023.0,1049.9,1049.85,534847.0,5612.02
2005-11-14,1049.85,1090.0,1049.85,1077.0,1077.5,580326.0,6250.98
2005-11-16,1077.5,1083.0,1064.0,1067.0,1067.9,217460.0,2329.09
2005-11-17,1069.0,1071.5,1040.0,1045.0,1046.1,332848.0,3495.82
2005-11-18,1048.0,1064.0,1035.2,1038.0,1042.95,309414.0,3251.9
2005-11-21,1040.0,1075.0,1040.0,1062.0,1069.85,1474075.0,15735.66
2005-11-22,1066.8,1066.8,1041.15,1044.0,1048.15,207545.0,2183.85
2005-11-23,1048.15,1056.0,1040.0,1051.0,1052.9,271040.0,2848.08
2005-11-24,1069.8,1095.0,1058.0,1088.5,1085.85,598536.0,6479.82
2005-11-25,1041.55,1120.0,1041.55,1118.95,1116.25,613861.0,6808.99
2005-11-26,1120.0,1124.85,1111.0,1118.5,1118.6,34527.0,386.07
2005-11-28,1120.0,1146.9,1119.0,1140.0,1138.9,533719.0,6067.6
2005-11-29,1140.1,1148.0,1053.5,1142.0,1138.1,1111367.0,12609.33
2005-11-30,1145.0,1159.95,1115.65,1140.0,1127.95,954708.0,10936.77
2005-12-01,1126.0,1150.0,1126.0,1150.0,1143.65,866940.0,9898.84
2005-12-02,1145.0,1167.5,1142.1,1145.0,1145.2,454754.0,5239.95
2005-12-05,1145.2,1156.95,1105.2,1110.0,1112.85,391031.0,4377.92
2005-12-06,1114.0,1150.0,1096.25,1127.9,1126.15,188116.0,2110.55
2005-12-07,1120.0,1126.9,1113.1,1121.0,1120.8,343206.0,3845.34
2005-12-08,1121.0,1140.0,1093.0,1101.0,1102.8,398437.0,4387.29
2005-12-09,1107.0,1121.95,1106.0,1114.25,1111.0,264312.0,2936.27
2005-12-12,1122.0,1141.0,1117.5,1125.0,1127.9,296811.0,3356.4
2005-12-13,1138.9,1176.0,1111.0,1168.95,1171.35,775085.0,8989.08
2005-12-14,1182.0,1200.0,1150.35,1194.8,1191.6,644765.0,7604.21
2005-12-15,1192.0,1204.7,1172.1,1189.45,1195.4,601323.0,7155.23
2005-12-16,1188.0,1257.75,1175.25,1214.0,1232.15,1157206.0,14097.84
2005-12-19,1220.0,1262.0,1171.0,1243.85,1241.3,624935.0,7806.28
2005-12-20,1243.0,1250.95,1236.4,1241.3,1241.5,861589.0,10704.29
2005-12-21,1250.0,1278.0,1242.3,1265.0,1268.5,863032.0,10917.48
2005-12-22,1268.0,1309.95,1250.15,1290.0,1290.35,1444765.0,18652.2
2005-12-23,1290.0,1290.0,1192.5,1206.0,1203.3,882645.0,10811.05
2005-12-26,1245.0,1250.0,1160.0,1173.9,1174.5,413322.0,4872.34
2005-12-27,1174.5,1189.0,1160.0,1170.0,1169.05,563439.0,6594.56
