Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,694.8,694.85,670.0,682.95,682.05,431651.0,2962.49
2005-10-07,679.0,683.4,665.0,682.0,678.55,365661.0,2467.32
2005-10-10,692.5,692.5,680.0,689.0,688.25,210483.0,1444.64
2005-10-11,697.9,697.9,671.35,691.0,689.8,234701.0,1612.23
2005-10-13,681.5,687.9,675.05,677.5,677.9,300071.0,2049.05
2005-10-14,672.0,672.0,655.0,655.05,659.4,395009.0,2613.63
2005-10-17,665.0,665.0,641.0,654.5,654.4,465241.0,3043.78
2005-10-18,659.0,669.75,655.0,655.0,657.75,459665.0,3047.26
2005-10-19,643.5,660.0,632.0,650.0,647.65,290631.0,1884.72
2005-10-20,651.0,653.0,640.1,646.55,643.9,359116.0,2316.01
2005-10-21,660.0,660.0,642.0,644.0,647.65,356760.0,2311.54
2005-10-24,652.7,652.7,628.25,635.15,635.5,269989.0,1727.47
2005-10-25,644.5,644.5,622.25,632.0,630.65,531576.0,3385.76
2005-10-26,640.0,640.0,627.0,629.8,630.1,382281.0,2413.72
2005-10-27,631.0,632.9,620.2,625.8,624.6,734225.0,4599.72
2005-10-28,622.0,622.0,603.0,604.3,610.95,398580.0,2438.37
2005-10-31,612.3,626.0,604.0,612.0,606.65,437405.0,2685.08
2005-11-01,624.0,634.8,620.1,634.0,629.45,51973.0,325.72
2005-11-02,615.5,649.8,615.5,619.0,620.7,571075.0,3546.2
2005-11-07,625.0,635.0,616.1,629.0,625.25,4984646.0,31370.86
2005-11-08,634.95,641.0,628.3,636.1,638.0,659793.0,4190.2
2005-11-09,643.0,647.95,623.95,633.0,631.9,831328.0,5263.55
2005-11-10,631.0,635.0,624.05,629.5,630.85,670294.0,4217.79
2005-11-11,630.85,640.0,627.25,636.0,635.2,781262.0,4956.65
2005-11-14,647.0,682.0,642.0,673.25,675.75,919579.0,6100.5
2005-11-16,675.0,700.0,672.05,689.15,689.95,578880.0,3985.26
2005-11-17,695.0,700.05,690.25,700.0,698.85,408481.0,2844.56
2005-11-18,700.0,707.0,696.1,698.0,699.35,177636.0,1246.27
2005-11-21,699.35,699.35,676.0,681.95,679.65,392630.0,2686.33
2005-11-22,683.0,691.9,674.15,679.6,677.5,420691.0,2873.69
2005-11-23,679.0,695.0,676.0,689.7,689.5,237735.0,1632.56
2005-11-24,704.0,704.0,686.0,693.45,691.1,398574.0,2754.59
2005-11-25,693.0,698.8,691.25,698.0,697.65,279498.0,1941.81
2005-11-26,700.0,704.5,690.0,691.55,691.55,90034.0,625.59
2005-11-28,699.0,704.0,692.0,692.1,695.7,238612.0,1661.84
2005-11-29,696.8,696.8,680.25,687.8,684.9,214953.0,1474.12
2005-11-30,686.0,702.0,681.05,686.8,686.9,385314.0,2664.46
2005-12-01,687.1,700.1,676.5,698.25,696.75,236651.0,1632.08
2005-12-02,700.0,713.9,695.0,695.0,698.7,336589.0,2375.2
