Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,322.0,331.75,318.05,325.5,328.15,1337129.0,4373.39
2005-10-07,327.8,335.9,320.5,321.1,323.3,812621.0,2675.88
2005-10-10,324.0,325.9,315.5,317.0,316.4,282850.0,905.88
2005-10-11,318.0,324.45,316.3,323.9,321.95,559492.0,1798.08
2005-10-13,324.45,325.0,312.5,313.25,314.15,244046.0,774.35
2005-10-14,325.0,325.0,309.0,311.15,311.55,283624.0,886.5
2005-10-17,314.9,316.0,307.55,310.5,310.85,114718.0,356.33
2005-10-18,310.0,312.5,301.1,306.65,305.75,295667.0,903.61
2005-10-19,310.1,315.5,300.05,301.55,301.85,646158.0,1982.34
2005-10-20,302.0,309.8,296.5,301.0,300.55,221533.0,672.15
2005-10-21,301.0,310.4,301.0,308.1,308.4,456561.0,1398.51
2005-10-24,310.4,317.0,308.6,312.15,312.25,424196.0,1330.41
2005-10-25,312.0,316.95,312.0,315.5,315.25,658257.0,2071.19
2005-10-26,315.0,317.0,312.05,313.6,314.75,333979.0,1051.28
2005-10-27,315.0,316.0,307.0,313.6,309.65,527840.0,1641.36
2005-10-28,310.0,311.0,300.0,305.0,301.9,518716.0,1571.85
2005-10-31,300.0,304.0,295.05,296.0,297.35,320197.0,958.76
2005-11-01,300.0,323.0,300.0,307.0,307.5,240273.0,746.95
2005-11-02,307.0,311.0,296.0,298.2,299.2,1077520.0,3237.2
2005-11-07,300.05,304.0,298.25,300.15,299.85,661435.0,1990.0
2005-11-08,301.0,317.8,301.0,314.1,313.4,1150592.0,3561.68
2005-11-09,314.0,318.7,302.6,306.05,305.95,1168122.0,3625.98
2005-11-10,307.0,321.4,307.0,320.0,318.9,2459971.0,7751.5
2005-11-11,321.4,332.0,321.4,328.5,329.55,1808111.0,5933.86
2005-11-14,329.45,349.0,327.5,332.5,331.25,1161947.0,3859.69
2005-11-16,332.4,337.0,328.65,330.35,330.65,344599.0,1147.85
2005-11-17,331.0,334.8,328.15,329.5,329.8,399724.0,1324.67
2005-11-18,330.0,338.5,325.55,325.55,326.85,857018.0,2842.99
2005-11-21,328.0,332.9,327.0,327.25,328.05,613388.0,2021.96
2005-11-22,328.0,330.8,322.4,324.9,325.2,643361.0,2103.92
2005-11-23,325.0,325.0,318.5,323.85,323.75,327355.0,1056.3
2005-11-24,324.4,327.85,317.2,322.7,320.05,1254777.0,4043.06
2005-11-25,323.0,326.5,321.15,326.15,324.25,304909.0,988.41
2005-11-26,326.5,329.4,323.0,325.0,324.6,371565.0,1209.35
2005-11-28,325.0,339.25,325.0,333.0,333.35,1452704.0,4855.81
2005-11-29,334.0,344.4,334.0,336.4,336.3,1527097.0,5188.76
2005-11-30,344.4,347.85,334.1,341.45,339.75,1913146.0,6543.93
2005-12-01,339.0,344.7,334.1,340.7,342.05,968542.0,3295.43
2005-12-02,340.0,345.5,332.0,334.0,333.55,320016.0,1082.22
2005-12-05,333.45,333.45,324.0,324.65,325.25,229186.0,751.58
2005-12-06,325.0,325.9,318.05,319.3,319.8,228378.0,734.05
2005-12-07,320.0,320.6,315.2,315.25,316.1,320487.0,1017.99
2005-12-08,315.5,320.6,315.0,319.1,319.05,348348.0,1107.08
2005-12-09,318.0,318.0,314.55,315.1,315.35,247242.0,780.79
2005-12-12,315.5,325.4,315.0,322.0,321.3,845561.0,2720.37
2005-12-13,321.0,323.95,318.1,321.0,321.2,546710.0,1755.3
2005-12-14,322.0,324.0,315.5,317.9,319.7,528378.0,1698.52
2005-12-15,320.95,321.9,315.6,317.0,316.5,134527.0,428.19
2005-12-16,317.0,321.9,315.1,316.4,316.2,467191.0,1480.87
2005-12-19,318.5,326.4,318.5,324.5,324.1,325919.0,1055.81
2005-12-20,325.0,330.9,325.0,327.35,326.95,669421.0,2202.0
2005-12-21,330.9,332.4,325.2,326.25,327.55,666693.0,2196.38
2005-12-22,326.0,327.0,320.0,322.0,321.1,226773.0,730.19
2005-12-23,325.0,326.0,316.05,316.5,317.05,188560.0,603.77
2005-12-26,317.05,318.0,310.0,310.05,310.55,283796.0,887.12
2005-12-27,310.0,321.0,310.0,320.5,319.4,321880.0,1019.32
2005-12-28,321.0,328.4,321.0,327.5,326.75,655142.0,2132.62
2005-12-29,327.0,329.0,320.0,326.45,326.75,781826.0,2547.11
2005-12-30,326.0,330.0,322.1,329.95,328.7,298492.0,976.99
2006-01-02,329.0,331.4,324.0,325.55,326.3,174833.0,571.96
2006-01-03,325.0,336.0,325.0,336.0,334.75,500521.0,1657.93
2006-01-04,334.0,345.95,330.0,345.9,344.6,1097161.0,3742.3
2006-01-05,345.95,346.0,338.5,341.0,339.9,399294.0,1361.95
2006-01-06,340.0,345.0,336.25,342.0,342.5,298540.0,1019.39
2006-01-09,343.0,344.0,336.25,341.85,341.95,248921.0,848.94
2006-01-10,341.0,348.95,332.9,338.05,337.5,614248.0,2068.82
2006-01-12,339.0,339.0,325.05,330.0,331.25,187131.0,622.38
2006-01-13,331.0,333.85,328.0,328.25,329.5,287099.0,950.66
2006-01-16,329.5,337.1,325.3,325.5,326.4,118992.0,390.89
2006-01-17,326.0,331.0,320.5,321.5,321.4,120828.0,391.64
2006-01-18,320.0,322.0,313.5,316.25,316.35,152619.0,482.15
2006-01-19,316.0,321.0,315.9,318.0,318.25,159691.0,508.28
2006-01-20,319.0,320.0,316.0,316.95,317.0,197991.0,628.16
2006-01-23,317.0,317.0,309.5,310.5,310.55,257174.0,801.34
2006-01-24,367.0,367.0,311.0,313.9,314.35,90549.0,284.39
2006-01-25,314.9,316.9,303.4,304.0,305.55,442235.0,1368.37
2006-01-27,306.0,313.5,305.9,310.25,309.1,201303.0,623.02
2006-01-30,312.3,313.5,301.9,309.0,309.8,288707.0,890.58
2006-01-31,311.0,311.0,303.6,309.0,309.05,151150.0,464.93
2006-02-01,308.3,309.0,303.55,305.0,304.5,297946.0,912.83
2006-02-02,304.05,311.6,304.05,308.0,307.9,186057.0,574.12
2006-02-03,308.0,319.0,308.0,314.6,313.95,456857.0,1434.62
2006-02-06,313.0,315.0,310.0,310.5,310.95,199189.0,620.72
2006-02-07,311.0,316.0,306.6,307.2,307.45,156329.0,483.89
2006-02-08,308.1,313.9,307.05,308.0,308.95,270242.0,838.45
2006-02-10,309.0,311.95,308.0,310.0,309.5,210565.0,651.97
2006-02-13,311.0,324.1,310.1,323.2,320.85,574044.0,1812.84
2006-02-14,323.0,328.9,320.1,320.5,321.25,387412.0,1259.57
2006-02-15,324.2,334.4,322.05,324.0,324.35,340198.0,1105.43
2006-02-16,325.0,336.9,325.0,328.65,329.3,640547.0,2128.64
2006-02-17,330.0,332.5,321.0,323.65,322.15,427857.0,1392.08
2006-02-20,316.0,325.4,315.0,324.0,324.3,390444.0,1255.68
2006-02-21,323.9,325.9,318.2,325.9,324.15,191776.0,619.78
2006-02-22,325.5,331.4,323.1,329.0,328.75,296327.0,973.62
2006-02-23,329.0,335.0,328.05,332.7,330.65,416214.0,1382.49
2006-02-24,331.0,336.45,329.75,333.0,331.15,392262.0,1307.24
2006-02-27,332.0,337.5,332.0,337.5,336.55,339305.0,1138.54
2006-02-28,337.5,344.8,316.0,325.0,323.7,1140564.0,3766.83
2006-03-01,316.0,325.0,292.25,324.25,323.3,577728.0,1856.79
2006-03-02,323.0,327.0,320.0,321.0,320.75,326555.0,1049.68
2006-03-03,320.0,333.0,315.1,325.05,325.65,470432.0,1540.03
2006-03-06,324.8,330.5,324.8,329.0,329.35,240083.0,788.96
2006-03-07,328.0,333.8,325.0,325.0,326.4,137803.0,454.03
2006-03-08,325.0,329.9,320.0,321.5,322.05,229958.0,743.2
2006-03-09,321.1,327.7,319.0,322.5,322.5,98650.0,317.81
2006-03-10,321.0,329.8,319.0,323.0,322.25,201595.0,651.49
2006-03-13,322.25,326.9,321.35,322.2,322.1,138282.0,446.7
2006-03-14,322.0,325.2,319.0,319.5,319.65,230686.0,741.34
2006-03-16,319.0,322.5,318.05,321.0,321.0,142135.0,455.41
2006-03-17,320.0,321.25,316.25,320.0,319.95,179032.0,571.29
2006-03-20,320.0,324.0,317.0,317.0,318.75,123119.0,394.12
2006-03-21,319.1,322.9,314.3,316.0,316.85,219246.0,698.69
2006-03-22,316.6,326.95,315.65,324.1,325.25,360624.0,1163.58
2006-03-23,326.95,329.9,323.2,328.45,327.3,253162.0,828.59
2006-03-24,326.0,333.5,319.5,330.5,330.3,410903.0,1358.99
2006-03-27,330.0,332.0,324.0,324.0,324.75,132246.0,432.43
2006-03-28,324.0,327.0,320.25,322.0,322.75,88785.0,288.01
2006-03-29,321.0,322.95,316.0,317.0,318.75,290313.0,930.57
2006-03-30,318.0,322.3,315.05,316.8,318.8,127647.0,407.84
2006-03-31,318.0,324.0,317.0,320.0,319.85,82697.0,265.43
2006-04-03,319.85,329.5,319.85,327.0,325.8,117245.0,382.3
2006-04-04,326.0,359.9,324.5,347.7,351.0,2150898.0,7517.92
2006-04-05,351.0,354.25,341.5,344.15,344.9,484694.0,1677.45
2006-04-07,349.7,349.7,325.0,326.0,326.15,358798.0,1203.08
2006-04-10,326.0,331.0,321.6,324.5,323.9,215868.0,701.93
2006-04-12,325.0,328.8,319.5,320.0,321.6,172629.0,558.73
2006-04-13,320.0,325.5,317.3,317.5,318.7,121704.0,389.91
