Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2007-07-19,199.0,199.75,194.65,198.5,197.8,2066807.0,4073.72
2007-07-20,198.0,199.9,192.55,194.2,194.15,2678230.0,5204.27
2007-07-23,199.5,205.8,198.0,203.8,204.85,6892251.0,13974.06
2007-07-24,205.9,205.9,197.85,200.25,199.75,1938559.0,3906.08
2007-07-25,202.8,204.0,198.75,201.5,201.95,2531149.0,5110.28
2007-07-26,204.0,208.0,198.1,205.5,205.7,3151821.0,6422.44
2007-07-27,205.0,205.0,194.6,196.1,195.9,5105904.0,10050.32
2007-07-30,205.0,212.3,202.0,208.5,208.95,6297238.0,13148.23
2007-07-31,211.9,211.9,204.55,206.35,206.75,2423496.0,5009.8
2007-08-01,220.0,220.0,199.0,202.0,201.85,3485059.0,7009.79
2007-08-02,203.8,205.95,200.15,201.7,201.6,1126039.0,2273.5
2007-08-03,204.0,206.0,202.25,205.75,205.4,1067215.0,2181.05
2007-08-06,202.0,203.0,198.8,200.25,200.1,1815789.0,3635.7
2007-08-07,199.85,200.7,198.05,200.0,200.1,2141604.0,4280.79
2007-08-08,210.0,210.0,200.2,202.8,203.25,1674651.0,3397.04
2007-08-09,204.7,205.4,200.2,201.2,201.0,1188491.0,2397.01
2007-08-10,194.0,198.95,192.8,198.0,196.1,2587792.0,5092.58
2007-08-13,196.6,204.5,196.6,204.0,204.05,1276525.0,2577.95
2007-08-14,204.7,204.7,200.1,200.75,200.6,731298.0,1471.76
2007-08-16,195.0,198.2,191.5,196.5,196.35,5135861.0,10059.42
2007-08-17,194.0,195.75,190.1,192.5,192.5,1912253.0,3689.7
2007-08-20,196.7,200.5,195.75,197.35,198.3,1597993.0,3155.25
2007-08-21,199.0,199.0,192.0,194.0,193.25,1303292.0,2540.71
2007-08-22,193.0,198.2,192.0,197.05,196.15,1159172.0,2273.37
2007-08-23,196.0,199.8,196.0,198.0,197.9,2008677.0,3978.94
2007-08-24,198.0,200.75,196.6,199.55,199.4,719903.0,1431.13
2007-08-27,201.0,202.8,199.6,200.4,200.75,1002366.0,2010.22
2007-08-28,200.0,203.0,200.0,202.6,202.1,1103658.0,2226.21
2007-08-29,198.45,203.5,198.0,200.4,201.95,1390972.0,2797.91
2007-08-30,201.2,205.5,200.3,202.75,203.2,3272581.0,6614.9
2007-08-31,203.8,210.4,203.7,208.45,208.3,1950710.0,4055.5
2007-09-03,207.0,210.5,206.65,210.0,209.8,1561295.0,3265.77
2007-09-04,209.05,211.9,207.15,211.2,211.0,1047596.0,2201.2
2007-09-05,211.0,214.9,208.65,212.15,212.35,2106856.0,4473.41
2007-09-06,210.75,218.4,210.0,215.75,216.35,2254083.0,4866.1
2007-09-07,217.25,218.9,213.35,213.75,213.95,1000657.0,2166.87
2007-09-10,211.15,215.0,210.45,213.15,213.35,756512.0,1606.97
2007-09-11,214.5,218.45,212.85,218.0,217.1,930405.0,2006.34
2007-09-12,217.1,219.9,215.5,217.0,217.55,2445980.0,5310.34
2007-09-13,217.5,217.5,214.0,215.05,215.0,1313402.0,2829.98
2007-09-14,216.4,217.05,211.1,212.4,212.05,835576.0,1781.12
2007-09-17,214.0,216.9,212.0,212.0,215.9,5135397.0,11074.09
2007-09-18,214.8,215.75,212.4,213.45,214.55,1623725.0,3482.81
2007-09-19,216.0,218.9,215.6,216.0,217.0,2954126.0,6424.87
2007-09-20,213.25,219.8,213.0,214.25,214.2,1760987.0,3805.37
2007-09-21,213.0,221.8,213.0,220.75,219.4,2960931.0,6478.68
2007-09-24,221.55,224.9,219.4,222.55,223.5,3566699.0,7951.19
2007-09-25,223.0,228.0,218.6,227.35,227.35,3176671.0,7109.93
2007-09-26,228.5,229.9,224.05,226.75,225.45,2884558.0,6530.59
2007-09-27,226.0,228.0,216.2,219.1,218.9,9602414.0,21274.39
2007-09-28,222.2,222.2,215.6,220.5,220.6,3510232.0,7701.18
2007-10-01,219.65,226.1,214.0,222.95,224.1,3471105.0,7718.92
2007-10-03,225.0,225.9,219.35,221.0,220.5,4682668.0,10480.49
2007-10-04,220.0,225.0,218.25,222.85,223.9,1927530.0,4279.02
2007-10-05,222.0,224.7,221.05,222.85,221.9,2453751.0,5459.7
2007-10-08,221.55,223.4,219.55,221.0,220.75,3324405.0,7341.1
2007-10-09,221.0,226.0,220.5,224.0,224.3,2826248.0,6269.85
2007-10-10,225.2,226.7,220.5,224.25,224.05,4642478.0,10413.26
2007-10-11,221.8,226.95,221.8,226.0,225.85,7660994.0,17224.45
2007-10-12,224.1,225.75,220.05,220.2,221.25,3121938.0,6928.91
2007-10-15,221.25,221.25,217.75,219.5,219.3,3378000.0,7399.73
2007-10-16,220.0,221.4,211.0,213.2,212.95,3949233.0,8440.94
2007-10-17,212.5,214.0,199.0,209.05,209.4,1693130.0,3544.75
2007-10-18,207.0,214.2,207.0,209.5,210.4,3300558.0,6961.02
2007-10-19,206.35,210.25,204.8,205.5,205.75,5163054.0,10657.24
2007-10-22,200.3,208.4,195.0,208.35,207.5,1937373.0,3975.67
2007-10-23,208.1,216.9,208.1,215.5,215.75,1800024.0,3858.74
2007-10-24,216.2,218.5,212.5,216.0,215.95,3095428.0,6671.7
2007-10-25,214.1,225.9,212.0,219.05,220.75,4543630.0,9818.34
2007-10-26,218.55,220.85,214.7,217.95,217.8,10196527.0,22257.72
2007-10-29,217.8,222.5,217.5,219.6,219.6,3772895.0,8268.99
2007-10-30,220.0,221.0,216.1,220.0,219.45,1796186.0,3914.78
2007-10-31,220.0,220.85,202.05,207.05,207.05,6448781.0,13443.77
2007-11-01,208.0,209.1,192.7,194.0,193.7,3931331.0,7793.89
2007-11-02,190.0,196.65,190.0,195.65,195.8,2642332.0,5157.2
2007-11-05,196.0,197.0,192.25,194.0,193.3,2315334.0,4501.91
2007-11-06,195.5,196.4,193.3,194.4,195.75,1678958.0,3271.87
2007-11-07,194.85,194.85,191.05,193.0,192.9,1695363.0,3262.33
2007-11-08,190.0,196.25,190.0,195.05,195.25,1292668.0,2513.78
2007-11-09,195.0,197.2,192.65,193.05,193.2,66938.0,129.52
2007-11-12,193.25,199.85,191.0,198.5,199.0,1298801.0,2566.45
2007-11-13,195.0,201.5,195.0,201.0,199.95,1291987.0,2569.09
2007-11-14,200.85,201.8,198.9,201.3,200.95,2058779.0,4119.68
2007-11-15,200.3,201.0,196.35,198.5,199.1,2619091.0,5206.4
2007-11-16,199.0,203.0,196.65,201.5,201.35,2750295.0,5491.72
2007-11-19,212.1,212.1,202.0,205.7,205.05,2368233.0,4852.12
2007-11-20,207.0,208.25,202.2,206.8,205.45,1843881.0,3782.54
2007-11-21,204.25,207.5,200.6,202.05,201.95,2404135.0,4863.12
2007-11-22,200.0,202.9,198.35,202.1,201.9,1721755.0,3467.7
2007-11-23,202.3,207.5,200.15,206.75,206.8,1141972.0,2341.49
2007-11-26,207.9,211.45,207.15,210.7,210.3,1983858.0,4165.58
2007-11-27,210.3,211.6,207.7,210.9,210.45,764490.0,1606.81
2007-11-28,210.45,212.9,207.6,208.05,209.2,1860215.0,3909.96
2007-11-29,209.2,213.25,208.1,210.0,210.05,1859307.0,3921.84
