Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2013-07-23,290.0,290.0,275.5,288.9,285.25,703001.0,1951.66
2013-07-24,285.0,285.0,271.0,271.0,271.0,193768.0,526.13
2013-07-25,265.0,265.0,257.45,257.45,257.45,35086.0,90.38
2013-07-26,244.6,244.6,244.6,244.6,244.6,56142.0,137.32
2013-07-29,233.0,234.15,232.4,232.4,232.4,396037.0,920.43
2013-07-30,220.8,220.8,220.8,220.8,220.8,14543.0,32.11
2013-07-31,209.8,209.8,209.8,209.8,209.8,39171.0,82.18
2013-08-01,193.65,213.95,193.65,202.1,204.65,1474002.0,2957.12
2013-08-02,201.0,209.3,194.45,205.25,205.25,424512.0,856.55
2013-08-05,212.0,212.0,199.0,207.0,205.95,242571.0,495.85
2013-08-06,204.0,204.0,186.1,202.5,198.55,395623.0,775.14
2013-08-07,198.0,204.65,190.75,195.7,196.35,782070.0,1539.18
2013-08-08,193.1,198.9,193.1,196.05,195.1,882982.0,1724.82
2013-08-12,203.5,203.5,191.0,191.0,192.4,367325.0,721.45
2013-08-13,193.3,197.0,188.1,190.45,191.2,929674.0,1782.88
2013-08-14,190.2,207.0,188.0,202.6,201.75,604375.0,1169.79
2013-08-16,204.0,204.0,184.15,190.5,189.1,469024.0,892.41
2013-08-19,182.2,193.6,182.2,191.25,191.6,177591.0,338.31
2013-08-20,189.95,192.7,180.5,191.9,189.95,725839.0,1364.83
2013-08-21,191.0,196.7,186.3,192.0,191.6,134334.0,256.54
2013-08-22,190.5,196.0,186.25,195.0,193.15,186715.0,357.2
2013-08-23,196.9,213.7,192.25,210.55,209.75,275549.0,571.54
2013-08-26,203.0,212.9,201.2,202.0,203.7,209082.0,430.47
2013-08-27,204.0,204.0,186.3,189.0,192.3,513030.0,980.07
2013-08-28,190.85,190.85,177.15,183.8,186.05,578741.0,1066.19
2013-08-29,187.0,197.0,177.0,192.1,193.9,540903.0,1012.67
2013-08-30,190.0,204.9,183.2,199.0,197.05,851574.0,1622.16
2013-09-02,197.0,201.15,190.45,192.25,192.8,147231.0,288.53
2013-09-03,193.5,200.8,183.0,190.7,189.25,453528.0,863.3
2013-09-04,188.3,193.5,184.05,190.0,189.95,90070.0,171.39
2013-09-05,197.95,204.7,191.0,202.9,203.2,213263.0,423.47
2013-09-06,201.7,211.9,200.5,206.0,209.35,149259.0,308.55
2013-09-10,204.55,218.85,204.55,213.5,211.15,227146.0,481.84
2013-09-11,216.5,216.5,210.25,213.3,212.9,91692.0,195.1
2013-09-12,217.0,217.0,205.3,205.95,207.05,102150.0,214.84
2013-09-13,207.8,210.95,200.4,209.3,209.35,155509.0,324.31
2013-09-16,211.0,212.05,203.1,211.8,210.75,119883.0,250.65
2013-09-17,204.25,210.0,204.25,207.0,208.2,31773.0,66.05
2013-09-18,209.75,210.85,200.25,201.95,203.55,143043.0,290.34
2013-09-19,208.0,231.9,206.1,224.0,225.45,694866.0,1542.52
2013-09-20,224.95,224.95,201.0,215.0,214.1,1332786.0,2820.46
2013-09-23,210.0,213.35,190.35,190.5,192.25,868156.0,1706.17
2013-09-24,193.75,195.8,178.35,180.5,180.85,862283.0,1592.86
2013-09-25,180.0,185.0,165.25,179.1,180.55,1517711.0,2710.31
2013-09-26,180.0,187.35,180.0,182.3,183.05,519650.0,950.36
2013-09-27,184.8,184.9,180.35,181.75,181.65,192264.0,349.47
2013-09-30,180.0,184.0,175.4,181.0,182.85,280838.0,507.78
2013-10-01,180.1,187.95,180.1,186.0,186.85,447744.0,824.13
2013-10-03,186.0,203.7,185.25,197.65,198.9,310106.0,606.33
2013-10-04,198.9,199.0,194.15,194.7,195.15,115050.0,225.57
2013-10-07,195.45,201.4,188.5,198.0,198.6,342360.0,660.07
2013-10-08,199.7,203.4,192.55,193.35,194.15,226287.0,445.87
2013-10-09,193.4,198.55,189.3,195.0,196.5,900576.0,1721.45
2013-10-10,196.8,198.9,192.5,192.55,194.15,131599.0,258.14
2013-10-11,194.8,198.95,194.2,195.5,195.7,1274096.0,2496.17
2013-10-14,196.0,200.0,194.25,197.0,197.0,221542.0,436.25
2013-10-15,197.0,201.0,187.05,187.45,188.55,360440.0,696.29
2013-10-17,188.5,194.3,188.5,194.3,192.35,295532.0,564.61
2013-10-18,193.75,195.4,188.6,190.95,190.3,665999.0,1277.43
2013-10-21,190.95,194.9,189.1,189.5,189.7,313845.0,601.94
2013-10-22,191.4,195.8,189.05,192.0,193.2,1709860.0,3283.42
2013-10-23,194.0,199.7,187.2,189.0,190.9,2298436.0,4431.31
2013-10-24,191.85,208.65,189.1,199.5,198.6,4722170.0,9386.77
2013-10-25,199.65,208.4,199.0,206.9,206.75,1123254.0,2297.44
2013-10-28,207.1,208.6,201.7,202.9,202.85,549169.0,1128.33
2013-10-29,203.0,219.9,202.1,217.0,218.25,1405705.0,2988.04
2013-10-30,217.6,224.0,212.0,222.7,222.15,643391.0,1414.92
2013-10-31,216.0,217.95,210.1,212.9,213.8,714208.0,1533.57
2013-11-01,215.9,218.4,208.65,213.0,213.55,869870.0,1860.7
2013-11-03,215.0,219.3,214.0,215.8,217.65,230297.0,499.77
2013-11-05,217.85,229.0,212.0,227.0,225.7,837432.0,1859.68
2013-11-06,226.05,230.0,223.0,226.8,226.65,554943.0,1259.38
2013-11-07,227.0,227.0,212.35,216.0,217.35,1043955.0,2288.67
2013-11-08,217.0,220.0,212.05,217.3,217.1,386972.0,842.91
2013-11-11,217.0,220.0,208.0,213.9,214.4,635550.0,1358.73
2013-11-12,215.0,218.3,208.35,209.7,210.8,271925.0,583.83
2013-11-13,209.25,214.0,207.2,213.0,212.3,389276.0,821.37
2013-11-14,213.05,219.7,213.0,216.0,215.6,280922.0,609.11
2013-11-18,216.65,219.9,215.35,218.5,217.8,285260.0,622.19
2013-11-19,218.0,226.2,216.3,226.0,223.85,666381.0,1473.74
2013-11-20,226.5,229.5,217.55,223.0,220.5,428182.0,957.38
2013-11-21,222.3,238.05,215.1,224.5,223.4,963290.0,2196.22
2013-11-22,224.0,231.3,221.6,226.0,224.9,324205.0,733.91
2013-11-25,226.75,231.65,223.2,225.5,225.65,373021.0,845.73
2013-11-26,227.1,227.1,221.05,221.8,222.5,329848.0,737.96
2013-11-27,222.85,224.3,218.0,219.8,219.2,156796.0,344.81
2013-11-28,220.75,227.9,218.55,219.35,219.8,371123.0,823.84
2013-11-29,220.75,224.75,219.8,223.25,223.45,432443.0,965.54
2013-12-02,224.65,237.7,223.5,234.0,234.4,657160.0,1521.92
2013-12-03,233.5,236.5,227.5,230.85,231.0,464869.0,1077.07
2013-12-04,229.9,232.3,221.9,222.2,223.6,284208.0,642.79
2013-12-05,227.7,227.7,218.5,219.5,220.65,1002831.0,2234.98
2013-12-06,218.1,222.4,215.0,215.75,216.45,367200.0,799.93
2013-12-09,220.0,223.9,215.6,219.1,221.2,305997.0,674.54
2013-12-10,221.95,236.7,218.05,236.0,234.55,1370929.0,3169.69
2013-12-11,236.0,236.0,226.1,227.0,227.75,274030.0,629.49
2013-12-12,225.75,234.95,223.5,232.3,232.25,406719.0,938.17
2013-12-13,226.1,232.5,223.0,224.7,223.9,159790.0,362.21
2013-12-16,221.25,227.5,221.0,225.3,225.35,91377.0,205.68
