Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,71.7,71.9,69.7,70.2,70.5,785831.0,557.77
2005-10-07,70.5,71.25,68.75,69.75,69.75,538620.0,377.13
2005-10-10,71.9,71.9,67.3,67.3,67.55,852491.0,581.46
2005-10-11,68.0,70.0,65.45,70.0,69.0,717219.0,484.61
2005-10-13,69.05,69.8,67.0,67.6,67.55,455215.0,312.48
2005-10-14,67.9,68.2,65.0,65.1,65.2,792605.0,524.65
2005-10-17,65.3,66.0,62.1,62.5,62.55,852193.0,540.33
2005-10-18,62.95,63.65,60.0,60.0,60.65,726000.0,452.75
2005-10-19,60.5,60.7,55.8,56.7,56.2,1091791.0,631.59
2005-10-20,57.5,58.75,52.15,52.2,53.35,1696119.0,939.23
2005-10-21,52.5,55.9,51.6,55.7,55.45,1401751.0,751.14
2005-10-24,56.0,56.35,53.5,53.5,53.75,904592.0,493.86
2005-10-25,54.0,55.0,51.9,52.6,52.8,1125681.0,599.5
2005-10-26,53.0,53.5,50.5,50.65,50.7,1629037.0,845.35
2005-10-27,50.7,50.9,48.25,50.0,49.2,3185393.0,1567.09
2005-10-28,49.6,50.85,49.15,49.8,50.0,926617.0,465.7
2005-10-31,50.0,52.1,49.1,51.8,51.75,773086.0,392.01
2005-11-01,52.0,52.75,51.5,51.75,51.9,199805.0,103.69
2005-11-02,51.9,52.9,50.15,52.8,52.75,547145.0,283.7
2005-11-07,52.0,54.2,51.2,53.5,53.4,1251138.0,664.22
2005-11-08,53.95,55.1,53.5,54.6,54.25,1660931.0,899.51
2005-11-09,54.8,54.8,52.0,52.7,52.35,1453515.0,771.85
2005-11-10,53.2,53.5,52.5,52.85,52.8,467073.0,247.26
2005-11-11,53.0,54.75,53.0,54.6,54.5,534482.0,287.97
2005-11-14,55.0,57.45,54.6,57.4,56.75,1524604.0,849.67
2005-11-16,57.0,58.3,56.75,57.85,57.75,940633.0,541.67
2005-11-17,58.0,60.0,57.2,58.9,58.9,1410361.0,824.85
2005-11-18,59.5,59.7,57.6,57.8,58.05,822583.0,482.63
2005-11-21,58.2,58.5,55.6,55.9,55.95,443424.0,251.19
2005-11-22,56.0,56.1,54.6,54.75,54.85,771943.0,426.72
2005-11-23,55.9,55.9,53.25,54.2,53.9,950106.0,514.47
2005-11-24,55.0,56.95,54.35,56.75,56.3,818087.0,453.93
2005-11-25,56.3,57.5,56.0,56.8,56.85,840508.0,477.98
2005-11-26,57.6,57.6,57.0,57.25,57.2,427464.0,244.91
2005-11-28,57.95,57.95,56.2,56.4,56.4,1005896.0,574.54
2005-11-29,56.4,56.4,55.25,55.7,55.55,648798.0,360.25
2005-11-30,56.0,56.8,53.5,54.0,54.35,856456.0,476.91
2005-12-01,54.85,57.8,53.2,57.0,56.75,1268502.0,700.49
2005-12-02,57.0,59.55,56.9,57.0,57.1,3717958.0,2164.14
2005-12-05,57.05,59.2,56.5,57.3,57.4,939720.0,544.36
2005-12-06,57.4,57.85,56.5,57.3,57.2,568536.0,324.88
2005-12-07,57.4,57.6,56.7,57.0,56.9,323257.0,184.51
2005-12-08,56.9,57.45,56.5,56.8,57.0,276190.0,157.12
2005-12-09,57.65,58.1,56.75,57.0,57.0,815804.0,467.05
2005-12-12,57.1,57.5,56.25,56.3,56.6,351411.0,199.61
2005-12-13,56.4,57.85,56.1,57.25,57.3,1018280.0,583.31
2005-12-14,58.0,58.75,57.25,57.9,58.15,1315573.0,763.22
2005-12-15,58.5,59.65,57.3,58.25,58.1,1494160.0,876.03
2005-12-16,58.1,58.5,57.55,57.95,58.1,520560.0,302.34
2005-12-19,58.25,59.2,58.1,58.45,58.5,609016.0,356.81
2005-12-20,58.95,60.75,57.15,60.45,60.45,1650563.0,983.31
2005-12-21,61.0,62.1,59.75,60.4,60.55,3013443.0,1844.79
2005-12-22,60.5,61.65,60.3,60.75,60.7,983830.0,599.19
2005-12-23,61.0,61.35,58.35,58.35,59.0,510613.0,306.45
2005-12-26,58.15,58.75,55.85,56.05,56.0,583374.0,331.76
2005-12-27,56.3,57.75,55.5,57.4,57.4,374281.0,212.76
2005-12-28,57.6,58.25,56.7,57.0,57.1,485357.0,278.77
2005-12-29,57.65,57.7,56.65,57.1,57.0,452349.0,258.33
2005-12-30,57.5,59.0,57.1,58.5,58.35,544092.0,317.4
2006-01-02,59.35,59.9,58.5,59.35,59.3,519633.0,308.7
2006-01-03,59.9,61.7,59.35,60.9,60.9,1329290.0,808.19
2006-01-04,61.45,61.45,57.2,58.85,58.8,1823792.0,1073.47
2006-01-05,59.5,61.25,57.05,60.0,60.1,3677034.0,2195.85
2006-01-06,60.5,61.3,58.6,59.05,59.05,1834759.0,1098.27
2006-01-09,59.5,60.0,58.25,58.4,58.45,988392.0,581.84
2006-01-10,59.0,59.95,58.2,58.25,58.3,804771.0,473.65
2006-01-12,58.4,58.9,57.5,58.2,58.2,369353.0,215.28
2006-01-13,58.2,58.8,56.9,57.05,57.2,486228.0,281.27
2006-01-16,57.3,57.6,55.65,56.4,56.55,1736527.0,983.73
2006-01-17,56.5,57.0,53.8,54.1,54.1,723874.0,400.03
2006-01-18,54.65,54.65,52.35,54.0,53.9,401588.0,215.11
2006-01-19,54.5,54.85,54.1,54.35,54.45,377158.0,205.38
2006-01-20,54.25,55.5,54.25,54.75,54.95,534416.0,293.8
2006-01-23,50.25,55.0,50.25,53.75,53.85,504455.0,273.97
2006-01-24,53.8,54.9,53.8,54.0,54.15,435263.0,236.73
2006-01-25,54.8,54.85,51.0,51.7,52.1,1731859.0,909.8
2006-01-27,51.5,53.9,51.5,53.85,53.65,872906.0,466.74
2006-01-30,54.0,54.95,52.5,52.8,52.65,477945.0,253.57
2006-01-31,52.5,53.35,52.2,52.5,52.45,374879.0,196.79
2006-02-01,53.45,53.45,51.1,51.5,51.4,319007.0,166.12
2006-02-02,51.0,52.0,49.5,49.75,49.9,554206.0,278.84
2006-02-03,53.0,54.45,52.0,52.8,52.45,1532968.0,812.91
