Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,259.05,259.05,256.5,257.5,257.5,69570.0,179.18
2012-11-23,259.8,259.8,256.35,258.6,259.05,108265.0,279.65
2012-11-26,259.05,260.75,258.05,259.6,259.45,140650.0,364.73
2012-11-27,264.0,264.0,258.85,262.5,260.35,413120.0,1074.63
2012-11-29,269.0,274.9,259.55,263.15,261.8,830841.0,2171.22
2012-11-30,264.0,265.0,261.75,264.85,263.75,248939.0,655.33
2012-12-03,263.55,264.8,260.1,262.4,261.85,273937.0,718.03
2012-12-04,261.15,264.4,261.15,262.0,262.4,318059.0,834.49
2012-12-05,262.75,263.7,260.6,262.5,262.7,256821.0,672.58
2012-12-06,264.0,265.0,260.65,265.0,264.15,308752.0,810.9
2012-12-07,264.9,267.9,263.0,263.05,264.25,374111.0,992.64
2012-12-10,267.0,267.0,261.6,263.95,264.85,315619.0,835.67
2012-12-11,265.0,265.8,261.0,263.9,263.6,237691.0,625.7
2012-12-12,262.35,263.0,260.1,260.7,260.7,96623.0,252.31
2012-12-13,260.95,265.55,259.5,260.1,260.6,1014157.0,2650.74
2012-12-14,261.9,261.9,259.0,261.4,261.0,152607.0,397.63
2012-12-17,261.4,263.4,260.05,261.0,261.3,99032.0,258.56
2012-12-18,261.65,262.4,259.8,261.55,261.15,142477.0,371.72
2012-12-19,260.15,263.0,259.5,261.9,261.8,233655.0,610.58
2012-12-20,261.1,261.9,258.1,259.9,259.85,139970.0,364.06
2012-12-21,258.1,261.0,257.0,259.2,259.7,574802.0,1486.81
2012-12-24,259.75,260.7,256.55,257.95,257.4,403166.0,1037.03
2012-12-26,257.4,260.0,257.05,259.5,259.2,223510.0,578.54
2012-12-27,257.15,262.4,257.1,259.8,261.0,606144.0,1581.01
2012-12-28,262.8,269.9,261.5,269.85,268.85,833950.0,2230.79
2012-12-31,269.9,271.8,266.0,269.7,269.9,344615.0,926.63
2013-01-01,270.95,270.95,264.7,266.5,266.65,229193.0,611.2
2013-01-02,267.0,272.5,266.95,271.85,272.0,322732.0,871.68
2013-01-03,273.95,273.95,269.3,272.4,271.55,191051.0,517.63
2013-01-04,272.1,288.8,271.55,280.0,281.15,1668420.0,4735.23
2013-01-07,272.25,289.85,272.25,282.8,281.25,1813573.0,5176.96
2013-01-08,285.05,286.3,278.85,281.5,281.35,545350.0,1535.18
2013-01-09,285.6,294.5,280.6,283.65,286.35,1339629.0,3823.27
2013-01-10,290.0,297.9,282.75,286.0,286.15,1956605.0,5692.92
2013-01-11,287.1,288.2,281.8,285.15,284.75,297482.0,847.1
2013-01-14,282.4,289.1,281.0,287.3,288.1,531447.0,1511.53
2013-01-15,289.05,299.4,285.85,298.95,297.55,1488679.0,4394.19
2013-01-16,302.0,305.9,295.0,295.9,296.95,620940.0,1844.32
2013-01-17,298.05,322.2,294.75,316.25,315.9,5272186.0,16364.82
2013-01-18,320.0,374.0,319.2,350.0,349.3,9826663.0,34692.29
2013-01-21,349.95,357.45,338.5,345.7,344.6,3766520.0,13057.14
2013-01-22,344.0,348.4,329.5,333.5,333.4,1937283.0,6537.03
2013-01-23,331.0,335.5,320.35,325.0,325.95,1683751.0,5531.58
2013-01-24,326.9,330.35,312.6,314.45,313.85,1159305.0,3699.75
2013-01-25,314.0,324.9,312.5,324.45,323.55,1299605.0,4178.13
2013-01-28,323.5,326.25,315.2,317.7,318.6,954775.0,3044.38
2013-01-29,318.6,323.4,309.2,310.65,310.45,1278422.0,4038.12
2013-01-30,315.85,318.95,310.05,315.25,313.65,1542677.0,4845.56
2013-01-31,316.9,330.0,312.2,326.3,327.3,2367317.0,7666.63
2013-02-01,329.0,338.9,325.6,337.3,336.85,1648281.0,5505.38
2013-02-04,336.85,341.45,326.7,329.05,328.6,877366.0,2936.89
2013-02-05,328.6,333.9,324.85,332.8,332.45,798288.0,2627.93
2013-02-06,332.4,335.45,330.5,333.8,332.8,1177737.0,3920.59
2013-02-07,335.6,335.6,322.0,326.1,326.2,1310113.0,4312.26
2013-02-08,325.7,327.35,313.4,316.0,315.2,933170.0,2975.57
2013-02-11,314.85,317.75,311.0,311.25,312.4,861818.0,2704.29
2013-02-12,313.0,319.0,312.95,316.55,317.05,844416.0,2665.76
2013-02-13,317.05,323.8,317.05,319.7,320.2,1000261.0,3205.69
2013-02-14,325.9,339.8,313.5,315.3,316.55,1481624.0,4763.42
2013-02-15,318.05,320.75,308.1,314.1,314.8,1343602.0,4217.48
2013-02-18,323.65,324.5,311.4,311.4,312.55,669562.0,2117.34
2013-02-19,314.6,315.5,309.7,314.05,314.45,414562.0,1295.97
2013-02-20,317.45,320.9,313.65,317.95,317.9,764208.0,2429.88
2013-02-21,317.85,320.3,313.25,314.0,314.2,841999.0,2666.28
2013-02-22,315.5,317.5,310.55,311.95,312.35,714399.0,2237.77
2013-02-25,312.35,313.65,305.0,307.1,306.6,408919.0,1261.22
2013-02-26,305.95,308.45,292.8,294.5,293.95,686601.0,2049.49
2013-02-27,294.7,313.0,293.1,306.0,306.4,1165231.0,3547.59
2013-02-28,307.0,314.5,288.6,290.0,292.7,1591398.0,4825.76
2013-03-01,293.0,302.4,291.0,297.9,298.85,578798.0,1730.67
2013-03-04,303.9,305.0,299.25,304.2,303.8,670688.0,2031.75
2013-03-05,304.0,309.0,298.1,306.5,308.1,645986.0,1964.24
2013-03-06,308.95,309.9,305.35,306.5,307.05,304842.0,936.23
2013-03-07,310.0,315.0,304.15,306.9,307.2,286011.0,878.33
2013-03-08,308.55,314.7,307.35,312.0,311.95,580708.0,1812.79
2013-03-11,310.95,316.75,310.05,312.5,313.8,366042.0,1149.43
2013-03-12,314.2,315.0,306.65,309.2,310.5,329591.0,1024.24
2013-03-13,312.0,312.5,306.3,308.5,308.7,415148.0,1284.62
2013-03-14,308.5,313.4,305.2,312.15,309.8,571978.0,1774.73
2013-03-15,310.2,320.05,310.2,316.4,317.55,1456385.0,4605.06
2013-03-18,314.25,317.55,306.3,311.2,310.7,488746.0,1528.82
2013-03-19,310.25,313.2,302.65,306.0,305.2,556538.0,1705.77
2013-03-20,305.2,308.85,297.0,300.35,300.0,991767.0,2996.53
2013-03-21,298.15,306.9,297.25,299.0,299.2,520101.0,1575.49
2013-03-22,296.15,298.9,285.15,291.4,290.05,561516.0,1630.0
2013-03-25,301.0,302.95,277.25,279.6,279.45,1052815.0,3028.27
2013-03-26,284.0,284.0,271.8,272.15,273.3,240342.0,663.87
2013-03-28,273.35,283.9,269.95,281.8,281.6,465444.0,1293.7
2013-04-01,281.45,283.25,278.95,280.7,281.4,280421.0,788.68
2013-04-02,278.95,286.85,278.1,284.3,284.75,290726.0,824.93
2013-04-03,282.0,293.0,282.0,288.95,289.8,732450.0,2119.28
2013-04-04,290.2,292.15,280.25,282.2,282.85,363846.0,1039.57
2013-04-05,284.0,290.5,282.8,288.4,288.4,667868.0,1915.39
2013-04-08,290.5,292.0,287.4,290.8,290.25,322070.0,934.32
2013-04-09,287.35,294.25,285.4,285.4,286.95,355984.0,1034.02
2013-04-10,285.0,289.75,285.0,289.4,287.55,286054.0,823.42
