Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,131.75,131.9,127.25,127.35,127.7,16364510.0,21139.22
2005-10-07,130.9,130.9,125.05,126.5,126.4,14245033.0,18129.92
2005-10-10,127.0,130.15,126.4,128.8,128.8,10841014.0,13942.42
2005-10-11,129.5,129.7,126.9,127.65,127.65,7409103.0,9470.27
2005-10-13,127.8,131.3,127.1,128.5,128.35,9168828.0,11889.64
2005-10-14,128.8,129.25,125.0,125.1,125.2,9271100.0,11685.09
2005-10-17,127.0,127.0,122.75,123.9,124.05,6840717.0,8517.84
2005-10-18,124.9,126.6,123.55,123.55,124.55,6875030.0,8634.85
2005-10-19,123.6,124.0,120.0,120.35,120.25,8207967.0,9981.92
2005-10-20,131.5,133.5,114.6,116.4,116.5,14914508.0,17683.45
2005-10-21,115.0,121.9,115.0,121.25,121.3,11878791.0,14131.53
2005-10-24,121.9,122.95,116.7,117.05,117.15,9146388.0,10905.17
2005-10-25,118.95,120.9,117.55,117.9,118.15,7647186.0,9111.09
2005-10-26,118.0,119.1,115.5,116.5,116.45,9237190.0,10802.79
2005-10-27,117.0,118.5,115.0,115.75,115.7,12741812.0,14910.22
2005-10-28,116.0,116.2,114.4,115.5,115.45,10063307.0,11611.68
2005-10-31,115.8,120.95,115.8,120.55,120.2,7186680.0,8498.32
2005-11-01,122.4,124.5,120.6,120.9,121.35,3261825.0,3976.85
2005-11-02,121.5,125.55,120.0,125.25,125.2,12654990.0,15536.12
2005-11-07,121.5,126.75,121.5,126.3,126.15,6460880.0,8127.64
2005-11-08,126.75,127.5,125.0,126.8,126.65,5832668.0,7395.18
2005-11-09,127.2,129.3,124.0,128.5,128.75,11134864.0,14271.43
2005-11-10,129.1,129.1,127.2,127.5,127.6,4950565.0,6327.17
2005-11-11,128.2,130.9,128.0,130.15,130.1,8413365.0,10937.18
2005-11-14,130.9,131.85,127.3,128.2,128.3,8340235.0,10756.85
2005-11-16,128.3,131.4,128.3,130.75,130.55,7674878.0,9993.24
2005-11-17,130.8,131.45,129.15,130.3,130.2,5615090.0,7298.07
2005-11-18,130.6,131.5,130.05,130.5,130.8,4292668.0,5619.57
2005-11-21,131.0,131.0,126.15,126.5,126.75,9279903.0,11896.81
2005-11-22,128.4,129.8,124.75,125.05,125.1,8280229.0,10426.52
2005-11-23,125.0,129.95,125.0,129.85,129.4,7872491.0,10066.08
2005-11-24,129.5,136.7,129.5,135.0,134.95,19218128.0,25675.44
2005-11-25,135.1,138.2,133.55,136.6,136.7,13115831.0,17873.03
2005-11-26,137.0,137.9,135.8,136.0,136.2,2429077.0,3319.8
2005-11-28,137.0,140.15,137.0,139.25,139.25,14762395.0,20527.83
2005-11-29,139.2,139.5,136.1,136.3,136.9,7837426.0,10751.23
2005-11-30,137.0,138.5,134.0,134.65,134.5,5874515.0,8006.47
2005-12-01,135.0,136.45,132.55,136.35,135.8,5329618.0,7189.05
2005-12-02,136.45,138.9,136.45,137.5,137.5,5687600.0,7834.98
2005-12-05,137.5,138.4,133.85,134.0,134.2,8900259.0,12031.75
2005-12-06,134.8,135.5,132.5,133.2,133.55,5368962.0,7224.89
2005-12-07,134.0,137.4,133.75,135.55,135.55,8573417.0,11665.84
2005-12-08,136.3,136.35,134.3,135.2,135.3,4612462.0,6239.67
2005-12-09,135.5,137.65,135.0,137.5,136.85,6506662.0,8847.04
2005-12-12,137.65,140.0,137.55,138.15,138.45,9890720.0,13741.28
2005-12-13,138.5,142.15,138.0,141.9,141.7,12828441.0,18115.69
2005-12-14,142.35,144.9,140.25,144.05,144.1,14202489.0,20336.3
2005-12-15,144.5,145.0,137.9,141.4,140.35,7071963.0,10069.56
2005-12-16,141.4,141.9,139.1,141.3,141.1,5220068.0,7355.11
2005-12-19,141.5,145.4,141.5,145.05,144.8,5442249.0,7822.95
2005-12-20,145.5,146.0,141.8,143.6,143.45,5316615.0,7622.96
2005-12-21,143.5,144.55,140.4,141.8,141.65,6272615.0,8924.95
2005-12-22,142.0,143.6,141.0,142.0,142.05,5745627.0,8160.39
2005-12-23,142.5,142.9,138.75,138.8,139.35,5980737.0,8412.7
2005-12-26,139.3,140.0,136.2,137.7,137.55,5569557.0,7671.67
2005-12-27,138.0,141.95,136.45,141.9,141.2,4427140.0,6175.65
2005-12-28,141.5,142.25,137.65,138.2,138.45,7802683.0,10872.19
2005-12-29,139.0,140.45,138.7,139.6,139.4,5277331.0,7363.87
2005-12-30,140.0,142.8,139.1,142.0,142.1,5846909.0,8285.91
2006-01-02,142.0,142.75,132.0,140.3,140.1,3724644.0,5244.0
2006-01-03,140.95,144.25,140.3,142.55,143.1,6264778.0,8943.11
2006-01-04,144.0,148.7,144.0,146.2,146.95,12511367.0,18406.27
2006-01-05,147.05,148.7,144.5,145.1,145.4,4651288.0,6770.31
2006-01-06,146.0,146.25,141.9,145.25,145.45,9578029.0,13790.41
2006-01-09,146.25,147.0,143.4,145.4,145.35,6484044.0,9409.9
2006-01-10,145.7,146.5,142.5,142.85,142.85,5029410.0,7242.19
2006-01-12,143.0,146.0,140.25,144.55,144.6,5189938.0,7458.43
2006-01-13,145.0,146.75,143.65,145.3,145.5,8199048.0,11908.55
2006-01-16,145.0,146.0,143.5,143.95,144.2,3807264.0,5496.91
2006-01-17,144.2,145.1,142.0,142.1,142.45,2978950.0,4276.13
2006-01-18,142.0,142.4,136.05,140.8,141.35,3716199.0,5229.09
2006-01-19,142.0,144.25,141.65,143.5,143.1,4035867.0,5778.1
2006-01-20,144.25,147.5,143.8,146.9,147.05,6092602.0,8874.56
2006-01-23,146.95,152.5,145.5,152.1,151.9,11304235.0,17041.64
2006-01-24,152.5,158.8,151.6,155.0,154.7,9053022.0,13913.07
2006-01-25,155.15,158.2,152.75,157.25,157.75,8038291.0,12552.38
2006-01-27,157.75,158.8,154.7,155.6,155.45,6465945.0,10088.1
2006-01-30,155.45,157.4,151.85,155.25,155.25,4659163.0,7210.32
2006-01-31,156.0,156.65,154.05,154.9,154.8,2608393.0,4048.09
2006-02-01,155.0,156.35,153.5,154.6,155.05,5640238.0,8743.83
2006-02-02,155.0,156.8,154.5,155.45,155.7,6157135.0,9578.34
2006-02-03,155.45,155.7,151.9,152.0,152.45,3686669.0,5649.49
2006-02-06,152.45,157.2,150.95,156.0,156.7,6493259.0,10058.2
2006-02-07,157.5,162.0,156.7,161.5,160.9,7377851.0,11825.65
2006-02-08,161.0,161.45,156.8,159.7,159.2,4056602.0,6422.57
2006-02-10,159.25,164.05,159.25,163.35,163.1,5915504.0,9568.36
2006-02-13,163.0,164.85,155.1,162.7,163.0,3481678.0,5686.14
2006-02-14,163.0,164.7,161.05,163.6,163.55,5420612.0,8817.73
2006-02-15,164.1,171.7,164.1,170.4,170.85,14277839.0,24036.78
2006-02-16,171.1,172.5,165.65,166.3,166.3,6818091.0,11465.41
2006-02-17,168.0,168.0,161.1,162.0,161.8,7384190.0,12064.02
2006-02-20,161.5,163.3,157.6,162.85,162.85,8138077.0,13111.74
2006-02-21,163.25,165.85,163.0,163.95,164.25,4927956.0,8109.58
2006-02-22,164.0,164.75,162.3,163.2,163.6,4098315.0,6703.19
2006-02-23,164.0,168.0,163.6,167.0,166.0,6694274.0,11120.28
2006-02-24,166.0,166.0,162.25,164.0,163.5,4741559.0,7760.64
2006-02-27,164.85,167.5,163.55,167.5,166.1,3703758.0,6132.87
2006-02-28,167.5,175.65,162.65,172.25,172.45,19469748.0,33172.1
