Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,706.8,722.4,704.5,715.1,716.55,648515.0,4643.33
2012-11-23,720.0,725.0,706.0,718.0,718.65,535430.0,3822.94
2012-11-26,718.0,728.0,705.0,720.15,721.7,373830.0,2702.24
2012-11-27,722.95,739.8,722.3,734.35,736.7,571344.0,4198.53
2012-11-29,740.0,751.0,726.25,731.35,729.95,1232330.0,9084.76
2012-11-30,734.9,748.0,733.7,742.45,742.85,641402.0,4759.57
2012-12-03,744.95,759.0,743.5,753.0,752.55,613779.0,4619.85
2012-12-04,753.2,789.4,745.0,754.0,755.15,707933.0,5348.72
2012-12-05,755.0,775.9,755.0,774.65,773.05,1143597.0,8807.7
2012-12-06,774.95,781.45,762.6,777.0,776.65,1084041.0,8359.91
2012-12-07,777.1,783.8,759.9,765.0,766.3,563911.0,4341.44
2012-12-10,766.0,766.25,755.1,761.2,763.0,439979.0,3351.73
2012-12-11,765.8,772.4,748.45,755.1,757.1,786810.0,5987.26
2012-12-12,756.95,760.0,744.1,748.0,750.2,765309.0,5735.7
2012-12-13,753.65,754.45,726.0,726.7,732.5,650144.0,4826.57
2012-12-14,730.1,749.0,724.8,748.95,744.9,534344.0,3953.22
2012-12-17,745.35,769.7,743.7,767.0,766.7,670868.0,5102.36
2012-12-18,766.0,814.0,756.0,803.0,804.95,2514623.0,19960.88
2012-12-19,806.15,817.6,802.3,805.0,807.55,1290323.0,10436.79
2012-12-20,807.85,831.4,795.7,821.2,824.05,1462019.0,11948.15
2012-12-21,820.1,828.8,801.0,802.0,804.9,1302581.0,10623.09
2012-12-24,805.05,819.7,805.05,805.5,808.95,642186.0,5213.92
2012-12-26,808.9,821.05,804.6,811.65,812.9,677545.0,5518.48
2012-12-27,814.8,822.15,803.55,808.25,806.1,1200195.0,9741.53
2012-12-28,810.0,822.5,808.1,812.6,813.8,768048.0,6259.12
2012-12-31,818.85,821.5,810.0,810.35,812.1,609910.0,4971.83
2013-01-01,817.95,834.35,817.05,828.85,831.1,951362.0,7859.02
2013-01-02,837.7,844.0,823.25,825.0,827.3,990957.0,8274.32
2013-01-03,831.7,837.4,825.1,828.2,831.1,743545.0,6182.11
2013-01-04,831.1,831.1,819.2,827.5,827.55,563188.0,4650.18
2013-01-07,830.85,866.4,823.0,844.4,854.8,2191794.0,18608.87
2013-01-08,852.75,852.75,837.65,845.25,845.45,1048775.0,8855.09
2013-01-09,845.45,854.6,838.0,847.6,843.7,1051037.0,8895.85
2013-01-10,848.0,857.75,842.3,846.0,849.05,965233.0,8204.54
2013-01-11,852.2,863.4,826.0,826.0,831.25,1370330.0,11625.83
2013-01-14,831.25,851.5,825.0,851.0,848.2,625739.0,5263.69
2013-01-15,847.45,865.65,846.4,861.5,861.1,971300.0,8324.35
