Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,631.5,632.75,622.7,628.25,627.95,264917.0,1663.03
2012-11-23,628.5,631.95,621.5,624.0,624.35,207885.0,1300.25
2012-11-26,625.5,630.0,621.15,625.0,627.35,178057.0,1115.8
2012-11-27,628.9,637.0,622.75,635.5,635.05,630002.0,3984.67
2012-11-29,635.5,657.9,635.5,655.0,651.25,868651.0,5616.46
2012-11-30,657.0,675.0,649.2,669.1,670.45,2029340.0,13470.81
2012-12-03,670.0,670.0,658.0,668.0,666.15,469368.0,3118.56
2012-12-04,667.5,674.5,661.25,666.35,671.05,589945.0,3942.39
2012-12-05,671.95,673.85,660.05,663.9,663.3,580587.0,3860.79
2012-12-06,666.7,670.0,652.15,668.7,665.3,557842.0,3686.73
2012-12-07,668.9,670.95,661.55,663.7,664.05,362250.0,2411.15
2012-12-10,665.1,676.5,661.85,673.8,673.6,411855.0,2763.1
2012-12-11,674.5,677.0,658.6,668.75,667.0,747405.0,4993.41
2012-12-12,668.95,672.9,657.15,659.9,660.3,760203.0,5031.15
2012-12-13,662.1,663.2,646.15,655.0,652.45,687388.0,4504.81
2012-12-14,654.25,667.5,652.95,663.5,664.75,331028.0,2188.12
2012-12-17,664.0,666.3,653.35,662.0,661.35,404300.0,2666.04
2012-12-18,662.9,666.6,651.8,662.9,663.75,414368.0,2734.97
2012-12-19,668.0,669.0,658.25,664.5,667.75,627889.0,4180.37
2012-12-20,664.0,668.0,658.1,660.7,662.05,363230.0,2405.06
2012-12-21,658.0,661.3,647.0,648.25,649.55,383017.0,2497.3
2012-12-24,653.4,654.35,641.95,644.55,646.65,320579.0,2074.83
2012-12-26,646.1,653.6,640.1,647.55,648.9,444541.0,2885.07
2012-12-27,650.6,654.5,647.45,649.8,649.8,909916.0,5916.5
2012-12-28,651.95,656.1,646.75,650.0,650.95,354162.0,2305.75
2012-12-31,649.15,653.55,646.5,650.0,650.05,618992.0,4023.74
2013-01-01,652.95,656.9,648.75,649.25,649.95,666697.0,4337.11
2013-01-02,654.0,664.5,652.2,657.0,656.9,1219290.0,8015.81
2013-01-03,659.95,663.4,652.65,654.0,654.9,564955.0,3714.57
2013-01-04,657.85,657.85,646.65,649.65,650.2,490939.0,3190.63
2013-01-07,651.1,653.85,645.4,645.65,648.45,657874.0,4277.19
2013-01-08,647.45,654.85,643.0,652.0,652.75,605087.0,3919.28
2013-01-09,650.35,656.15,647.5,650.55,649.1,782421.0,5109.87
2013-01-10,653.1,661.7,649.35,652.9,653.85,750441.0,4918.24
2013-01-11,653.25,658.0,627.9,629.0,630.0,578269.0,3699.06
2013-01-14,631.95,633.0,622.9,631.1,628.55,777412.0,4869.53
2013-01-15,628.0,636.5,617.45,631.0,629.65,1109001.0,6955.57
2013-01-16,630.7,633.0,622.1,623.0,624.6,605601.0,3788.55
2013-01-17,624.0,630.0,620.35,624.85,627.9,623305.0,3895.16
2013-01-18,626.25,630.5,619.2,630.0,629.75,2379997.0,14941.72
2013-01-21,627.5,634.8,626.2,630.5,630.95,968996.0,6112.73
2013-01-22,630.95,647.55,627.25,640.85,640.75,2869669.0,18367.62
2013-01-23,654.3,654.3,638.45,644.7,645.05,838269.0,5396.84
2013-01-24,643.0,654.95,642.0,653.0,653.05,1011256.0,6561.39
2013-01-25,652.65,667.8,648.7,665.95,665.2,956361.0,6328.02
2013-01-28,668.0,673.0,665.1,669.0,668.05,619932.0,4148.03
2013-01-29,668.0,678.85,662.35,673.55,674.7,2405571.0,16185.09
2013-01-30,676.0,684.8,670.3,677.5,678.8,2910800.0,19656.38
2013-01-31,677.0,683.5,677.0,680.65,680.35,1311234.0,8924.44
2013-02-01,680.45,685.05,666.9,672.3,672.3,648084.0,4380.73
2013-02-04,672.25,681.0,668.7,676.5,676.7,991111.0,6698.51
2013-02-05,672.0,683.0,671.0,682.5,680.45,516641.0,3500.05
2013-02-06,681.25,697.2,681.1,696.0,695.15,1227031.0,8470.51
2013-02-07,689.2,695.5,685.05,687.75,687.6,507592.0,3506.88
2013-02-08,685.0,688.95,674.65,679.5,678.35,574211.0,3898.75
2013-02-11,681.5,681.5,668.25,672.8,671.8,575221.0,3869.55
2013-02-12,672.0,674.8,668.1,670.2,671.35,302912.0,2032.9
2013-02-13,674.0,678.4,665.0,669.0,667.75,384646.0,2587.48
2013-02-14,668.95,672.95,661.2,668.0,665.4,278401.0,1853.81
2013-02-15,664.5,674.0,664.1,672.75,670.35,137313.0,918.13
2013-02-18,671.8,672.0,662.7,667.9,665.8,134275.0,893.66
2013-02-19,665.8,677.0,665.5,674.6,674.8,127938.0,859.06
2013-02-20,676.5,679.55,666.25,668.0,668.05,299858.0,2008.44
2013-02-21,665.8,669.0,658.0,661.5,660.3,566397.0,3754.73
2013-02-22,659.0,670.45,657.45,665.75,665.25,469934.0,3120.76
2013-02-25,667.1,667.1,654.0,661.25,660.65,454585.0,2992.73
2013-02-26,656.1,664.7,656.1,662.25,661.35,431978.0,2856.92
2013-02-27,663.0,664.5,649.35,650.5,653.5,637866.0,4201.87
2013-02-28,654.9,664.7,649.0,658.0,659.6,2086208.0,13748.57
2013-03-01,654.55,659.45,650.55,658.0,654.85,1215225.0,7944.55
2013-03-04,654.1,657.5,649.05,654.5,655.05,1323821.0,8670.89
2013-03-05,654.1,661.85,652.4,655.0,655.95,1025819.0,6738.18
2013-03-06,657.95,657.95,651.3,653.0,654.65,1007623.0,6596.63
2013-03-07,652.65,657.5,642.9,655.0,655.25,380082.0,2468.42
2013-03-08,658.95,678.85,650.7,674.35,675.3,1100684.0,7339.11
2013-03-11,675.0,677.15,665.95,667.6,668.9,992541.0,6649.01
2013-03-12,668.95,675.0,664.35,666.0,668.3,514536.0,3445.44
