Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,1538.0,1538.0,1503.0,1513.0,1514.2,150650.0,2290.51
2005-10-07,1512.0,1521.0,1474.0,1495.0,1497.0,230895.0,3452.81
2005-10-10,1514.0,1515.0,1477.05,1491.8,1485.95,140747.0,2094.92
2005-10-11,1492.0,1499.8,1475.0,1495.15,1493.2,88555.0,1320.6
2005-10-13,1490.0,1493.1,1472.0,1477.0,1478.15,129320.0,1918.37
2005-10-14,1480.0,1480.0,1405.0,1408.3,1416.4,304758.0,4342.45
2005-10-17,1412.0,1430.0,1388.1,1410.0,1408.4,228232.0,3224.35
2005-10-18,1416.0,1458.0,1406.05,1433.2,1431.65,272149.0,3902.31
2005-10-19,1429.0,1430.0,1376.15,1386.2,1381.4,183380.0,2563.55
2005-10-20,1413.0,1419.0,1298.0,1350.0,1350.7,342183.0,4659.71
2005-10-21,1345.0,1367.0,1305.0,1329.95,1326.45,258112.0,3437.08
2005-10-24,1345.0,1350.0,1285.8,1309.95,1299.65,211473.0,2766.73
2005-10-25,1310.0,1360.0,1310.0,1358.0,1346.45,249753.0,3348.37
2005-10-26,1354.0,1369.0,1340.5,1362.0,1357.9,113830.0,1538.52
2005-10-27,1357.0,1388.0,1336.0,1351.6,1348.9,319128.0,4328.07
2005-10-28,1360.0,1369.95,1324.0,1338.05,1344.4,462316.0,6213.44
2005-10-31,1349.7,1430.0,1325.0,1430.0,1398.75,269078.0,3700.48
2005-11-01,1400.0,1429.0,1400.0,1420.0,1417.95,30229.0,428.83
2005-11-02,1429.7,1515.0,1410.0,1515.0,1507.75,364454.0,5354.86
2005-11-07,1420.0,1520.0,1420.0,1517.0,1518.3,273843.0,4123.12
2005-11-08,1515.0,1550.0,1505.05,1545.0,1546.05,495999.0,7607.72
2005-11-09,1549.0,1564.9,1511.15,1542.0,1540.9,288328.0,4457.49
2005-11-10,1526.0,1545.0,1520.0,1525.0,1534.05,194417.0,2987.42
2005-11-11,1535.0,1598.75,1522.55,1577.05,1575.35,530601.0,8214.96
2005-11-14,1584.0,1588.0,1537.0,1551.1,1551.4,172782.0,2687.95
2005-11-16,1557.0,1575.0,1544.0,1560.0,1563.55,124191.0,1942.89
2005-11-17,1566.4,1581.0,1551.0,1570.1,1571.0,130564.0,2039.31
2005-11-18,1571.0,1589.7,1548.05,1560.0,1559.65,137831.0,2166.3
2005-11-21,1569.0,1570.0,1521.0,1549.0,1549.7,136870.0,2115.15
2005-11-22,1560.0,1598.9,1541.0,1566.4,1570.7,289569.0,4571.72
2005-11-23,1574.5,1589.25,1562.0,1581.55,1585.65,219755.0,3470.76
2005-11-24,1586.0,1608.4,1583.0,1601.15,1598.9,276955.0,4426.26
2005-11-25,1601.2,1650.0,1589.0,1645.25,1639.2,332268.0,5376.61
2005-11-26,1650.0,1715.0,1641.15,1700.0,1693.75,179845.0,3032.03
2005-11-28,1695.0,1748.8,1695.0,1710.0,1713.2,399059.0,6856.47
2005-11-29,1714.0,1730.0,1653.15,1726.0,1712.8,341977.0,5770.27
2005-11-30,1725.0,1772.8,1675.0,1687.5,1685.15,458657.0,7929.9
2005-12-01,1699.8,1788.45,1696.0,1760.5,1765.25,734666.0,12909.61
2005-12-02,1770.0,1810.0,1750.0,1768.0,1764.2,521960.0,9255.38
2005-12-05,1778.0,1780.0,1710.15,1718.45,1719.6,186243.0,3256.16
2005-12-06,1736.85,1759.0,1718.0,1734.0,1730.1,213056.0,3707.46
