Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,583.0,583.0,561.25,574.9,573.4,777754.0,4476.76
2005-10-07,575.0,578.6,559.1,574.55,572.05,1336465.0,7633.27
2005-10-10,577.1,577.1,556.5,559.9,559.75,1209472.0,6810.93
2005-10-11,561.0,575.0,550.0,574.9,573.0,1066433.0,6003.73
2005-10-13,574.0,575.0,555.0,555.0,557.8,954969.0,5413.1
2005-10-14,557.8,557.8,530.6,531.0,533.85,1700017.0,9222.43
2005-10-17,536.0,547.05,525.75,543.6,544.45,1593572.0,8581.57
2005-10-18,540.0,557.25,539.0,546.9,551.7,1118020.0,6158.73
2005-10-19,549.0,549.0,533.15,536.0,538.55,825000.0,4470.29
2005-10-20,544.5,551.0,526.2,541.0,536.5,782324.0,4215.08
2005-10-21,539.0,563.0,531.45,562.0,559.1,824429.0,4516.54
2005-10-24,556.25,581.0,556.25,571.0,572.0,1745374.0,9998.28
2005-10-25,572.0,576.25,547.9,562.0,558.6,1980144.0,11043.19
2005-10-26,562.0,565.0,547.15,547.5,550.05,794070.0,4400.37
2005-10-27,553.8,553.8,528.1,532.2,532.6,1198634.0,6453.34
2005-10-28,532.5,537.95,503.1,514.7,513.9,2396154.0,12326.98
2005-10-31,519.0,556.4,515.45,551.05,549.2,982502.0,5253.39
2005-11-01,554.0,558.85,499.8,544.0,549.3,210734.0,1163.71
2005-11-02,544.0,548.0,535.1,542.0,542.2,948006.0,5130.8
2005-11-07,545.0,564.5,541.05,555.65,555.9,1521417.0,8472.1
2005-11-08,561.0,577.3,556.55,574.9,572.5,1197534.0,6803.54
2005-11-09,576.0,583.45,567.85,578.0,575.4,1097804.0,6314.01
2005-11-10,578.0,581.95,569.3,581.3,579.4,688974.0,3958.97
2005-11-11,580.0,586.0,575.15,578.3,580.95,1187476.0,6906.26
2005-11-14,585.0,591.2,567.25,575.0,574.2,1325387.0,7657.71
2005-11-16,575.35,584.75,571.0,581.85,581.9,904737.0,5243.35
2005-11-17,581.0,592.0,579.9,586.55,588.8,1021274.0,6005.62
2005-11-18,589.0,612.95,589.0,603.5,608.95,2567962.0,15518.34
2005-11-21,608.0,611.75,591.25,592.05,595.6,1913600.0,11553.9
2005-11-22,591.25,594.5,576.3,579.0,579.1,2032981.0,11918.15
2005-11-23,585.0,602.8,578.0,599.55,598.15,2290322.0,13535.17
2005-11-24,598.0,609.85,597.05,598.65,599.5,2461572.0,14873.61
2005-11-25,602.0,621.45,601.3,619.9,619.5,2223594.0,13602.74
2005-11-26,620.0,624.5,606.0,617.4,618.45,721990.0,4472.86
2005-11-28,621.9,634.2,619.05,633.1,632.35,1688909.0,10598.28
2005-11-29,630.0,632.35,615.05,616.0,617.6,1059455.0,6574.79
2005-11-30,623.0,628.5,610.05,614.0,613.4,2082839.0,12904.62
2005-12-01,615.0,625.9,605.4,619.7,622.85,1908770.0,11742.37
2005-12-02,625.0,627.9,613.0,619.0,617.6,1189758.0,7388.21
2005-12-05,619.4,628.4,613.55,615.05,619.3,1263973.0,7859.7
2005-12-06,621.0,630.0,609.4,626.0,619.1,908407.0,5599.08
2005-12-07,622.0,627.75,616.6,617.2,619.05,666922.0,4146.3
2005-12-08,619.85,632.0,617.15,623.25,624.5,1336869.0,8351.65
