Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,946.1,959.0,939.7,954.9,955.35,1230032.0,11702.54
2012-11-23,955.25,957.55,947.4,952.75,954.05,630591.0,6009.37
2012-11-26,957.7,960.65,920.05,921.5,922.05,2063644.0,19227.2
2012-11-27,928.25,937.0,922.5,927.0,928.35,1591855.0,14811.31
2012-11-29,929.0,942.95,922.15,931.8,933.9,2394531.0,22371.15
2012-11-30,934.0,951.0,925.0,949.35,947.0,1483203.0,13940.12
2012-12-03,949.9,965.5,948.95,955.25,957.65,1253871.0,12027.38
2012-12-04,954.0,957.0,936.7,938.0,938.7,700846.0,6607.0
2012-12-05,941.25,946.9,928.3,932.05,930.1,1029022.0,9612.29
2012-12-06,934.5,938.0,913.9,931.5,928.85,1583754.0,14632.39
2012-12-07,930.5,949.4,930.5,938.0,939.2,1317299.0,12416.17
2012-12-10,942.0,942.0,923.7,927.95,929.3,711227.0,6610.02
2012-12-11,930.05,934.8,923.6,928.25,929.75,936787.0,8706.01
2012-12-12,932.35,954.3,932.35,950.0,949.5,2944617.0,27888.72
2012-12-13,950.05,956.8,937.1,941.0,942.35,1083107.0,10282.58
2012-12-14,940.0,954.9,940.0,952.55,952.1,1197663.0,11366.3
2012-12-17,940.0,967.55,940.0,959.5,960.25,1467945.0,14112.07
2012-12-18,966.5,973.5,963.1,964.95,967.2,1392892.0,13499.97
2012-12-19,975.0,976.0,964.0,968.0,968.0,835806.0,8101.57
2012-12-20,971.0,971.0,948.1,950.05,953.15,678579.0,6489.5
2012-12-21,951.0,952.0,934.35,937.0,937.55,622306.0,5857.02
2012-12-24,946.0,948.1,935.0,935.9,937.65,626621.0,5907.18
2012-12-26,937.7,950.0,937.7,944.5,944.65,428154.0,4047.5
2012-12-27,944.7,951.7,925.1,931.65,930.35,1206964.0,11274.5
2012-12-28,935.0,938.0,920.1,924.8,924.6,643237.0,5967.87
2012-12-31,924.0,934.35,924.0,932.3,931.65,427311.0,3970.92
2013-01-01,937.0,944.0,934.9,942.1,941.8,385110.0,3622.41
2013-01-02,945.0,947.85,933.5,936.75,938.6,1030136.0,9664.42
2013-01-03,943.0,943.0,932.1,933.0,936.4,951452.0,8908.8
2013-01-04,932.65,943.7,929.35,943.0,941.25,957108.0,8971.15
2013-01-07,947.8,957.75,939.95,953.0,954.15,1261956.0,12026.26
2013-01-08,957.0,963.45,952.3,957.25,958.3,884601.0,8479.13
2013-01-09,958.0,974.8,956.95,963.35,964.45,1177010.0,11393.55
2013-01-10,969.8,974.0,953.9,959.0,961.3,759468.0,7313.99
2013-01-11,963.3,965.0,929.85,931.65,937.9,974769.0,9207.75
2013-01-14,935.55,948.5,931.05,934.3,935.0,626416.0,5868.44
2013-01-15,942.4,946.25,927.4,927.95,929.3,1292411.0,12092.26
2013-01-16,930.1,931.0,898.0,900.0,900.7,1174661.0,10678.33
2013-01-17,900.25,909.0,892.0,903.25,900.95,1200121.0,10825.51
2013-01-18,904.25,905.0,866.65,884.9,886.0,2964557.0,26138.6
2013-01-21,886.1,890.1,871.2,882.05,882.1,863338.0,7585.5
2013-01-22,880.0,895.75,880.0,885.25,883.65,732310.0,6503.14
2013-01-23,884.05,894.3,875.45,880.05,881.95,926678.0,8195.77
2013-01-24,881.85,884.9,851.0,877.0,877.3,1136048.0,9882.01
2013-01-25,880.0,904.4,867.5,899.1,901.5,1313393.0,11722.44
2013-01-28,903.05,918.8,899.0,900.0,904.9,1327370.0,12098.04
2013-01-29,905.0,910.0,895.0,898.0,898.6,1503832.0,13554.96
2013-01-30,902.25,903.85,886.0,895.4,894.5,709330.0,6341.15
2013-01-31,894.0,900.05,885.15,891.85,889.25,1139362.0,10166.97
2013-02-01,887.05,899.6,881.2,888.4,886.1,699338.0,6214.69
2013-02-04,888.25,890.0,879.0,885.0,883.9,955508.0,8444.67
2013-02-05,876.35,891.9,875.3,886.1,887.1,699317.0,6190.6
2013-02-06,889.25,893.5,879.35,887.05,885.15,1101810.0,9754.7
2013-02-07,882.25,899.0,882.25,897.3,896.6,885119.0,7890.29
2013-02-08,900.0,906.5,876.45,883.25,884.6,3187279.0,28465.03
2013-02-11,890.0,891.95,877.05,883.0,882.5,1070484.0,9453.75
2013-02-12,881.25,887.05,877.5,887.0,884.5,595673.0,5249.35
2013-02-13,885.9,901.9,883.25,899.8,897.0,901009.0,8069.8
2013-02-14,898.9,905.0,892.55,899.05,900.8,1646977.0,14815.76
2013-02-15,897.2,903.75,887.05,893.0,897.95,1635794.0,14692.9
2013-02-18,895.05,900.0,890.0,895.0,892.35,799300.0,7142.63
2013-02-19,892.0,900.0,892.0,899.0,899.2,657982.0,5905.6
2013-02-20,905.05,910.85,895.8,899.4,898.5,1502836.0,13529.74
2013-02-21,894.0,898.0,883.1,892.0,885.7,1902256.0,16946.73
2013-02-22,885.25,899.0,874.5,891.0,895.25,1463185.0,13010.18
2013-02-25,897.0,899.0,887.4,896.55,894.8,1157766.0,10368.41
2013-02-26,893.0,893.0,859.25,867.0,865.75,1051249.0,9226.44
2013-02-27,867.0,899.0,850.0,895.0,892.8,1853353.0,16292.62
2013-02-28,895.25,903.0,866.0,875.5,873.7,4250709.0,37535.82
2013-03-01,873.0,892.25,862.25,886.95,887.1,2885915.0,25545.81
2013-03-04,883.2,890.0,874.0,887.85,885.5,2985276.0,26388.5
2013-03-05,885.2,909.1,880.45,897.0,897.55,1893918.0,16949.04
2013-03-06,896.5,898.6,873.55,880.0,878.0,1788487.0,15820.37
2013-03-07,871.0,892.6,869.3,891.0,885.6,1920684.0,16837.68
2013-03-08,894.7,906.85,890.0,906.55,904.2,1233142.0,11070.36
2013-03-11,905.9,921.9,895.15,915.5,912.85,1469585.0,13448.0
2013-03-12,915.0,929.95,913.4,915.15,916.85,1989554.0,18307.4
2013-03-13,913.55,916.0,906.2,912.0,910.55,519718.0,4731.95
2013-03-14,909.1,922.85,893.0,915.9,914.3,997064.0,9080.45
2013-03-15,915.55,932.3,915.55,926.55,927.75,2032384.0,18746.76
2013-03-18,919.9,926.6,909.0,917.9,913.55,797190.0,7298.21
2013-03-19,920.0,920.0,874.4,885.45,878.35,1788916.0,16041.57
2013-03-20,877.2,883.25,862.25,876.5,873.4,1096021.0,9573.23
2013-03-21,875.0,896.4,857.3,886.05,880.65,1550113.0,13622.52
2013-03-22,891.0,894.75,866.15,866.3,873.35,845955.0,7444.04
2013-03-25,877.5,880.0,860.5,865.0,864.45,862306.0,7485.62
2013-03-26,860.25,873.0,853.55,861.0,863.25,1113281.0,9580.72
2013-03-28,866.25,869.9,840.1,861.55,861.3,1828035.0,15561.43
2013-04-01,863.0,866.8,847.6,855.5,857.1,567510.0,4859.24
2013-04-02,862.0,865.4,850.0,861.9,862.0,681351.0,5847.29
2013-04-03,861.0,862.25,841.25,847.0,843.9,1047633.0,8881.65
2013-04-04,839.1,857.0,838.0,847.0,848.35,1182138.0,10041.94
2013-04-05,845.3,854.05,831.5,837.0,837.9,1163710.0,9755.39
2013-04-08,842.0,849.2,835.25,840.0,839.95,397927.0,3346.01
2013-04-09,844.0,851.85,835.0,838.1,839.3,781849.0,6578.62
