Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2012-11-22,5628.6,5643.35,5608.0,5627.75,94058612.0,3867.76
2012-11-23,5635.45,5637.75,5593.55,5626.6,85082220.0,3213.06
2012-11-26,5648.65,5649.2,5623.45,5635.9,79291426.0,3246.23
2012-11-27,5658.5,5733.2,5658.0,5727.45,134407735.0,5380.95
2012-11-29,5736.7,5833.5,5736.1,5825.0,207295475.0,9110.93
2012-11-30,5836.0,5885.25,5827.85,5879.85,257047977.0,10777.34
2012-12-03,5878.25,5899.15,5854.6,5870.95,113423350.0,4726.68
2012-12-04,5866.8,5894.95,5859.0,5889.25,131020191.0,4816.7
2012-12-05,5906.6,5917.8,5891.35,5900.5,139653957.0,5583.78
2012-12-06,5926.3,5942.55,5838.9,5930.9,140267080.0,5667.65
2012-12-07,5934.0,5949.85,5888.65,5907.4,127607078.0,5722.45
2012-12-10,5916.05,5919.95,5888.1,5908.9,95975757.0,4339.84
2012-12-11,5923.8,5965.15,5865.45,5898.8,137415161.0,6403.06
2012-12-12,5917.8,5924.6,5874.25,5888.0,132665649.0,6117.63
2012-12-13,5900.35,5907.45,5841.35,5851.5,136616335.0,5976.15
2012-12-14,5846.9,5886.1,5839.15,5879.6,115159830.0,5012.83
2012-12-17,5860.5,5886.05,5850.15,5857.9,109547002.0,4998.19
2012-12-18,5873.6,5905.8,5823.15,5896.8,148907334.0,6740.66
2012-12-19,5917.3,5939.4,5910.8,5929.6,149439204.0,6731.27
2012-12-20,5934.45,5937.6,5881.45,5916.4,123911218.0,5390.76
2012-12-21,5888.0,5888.0,5841.65,5847.7,141152911.0,5603.96
2012-12-24,5869.0,5871.9,5844.7,5855.75,85336999.0,3433.98
2012-12-26,5864.95,5917.3,5859.55,5905.6,83871326.0,3447.53
2012-12-27,5930.2,5930.8,5864.7,5870.1,139613235.0,5955.51
2012-12-28,5887.15,5915.75,5879.5,5908.35,89669021.0,3863.47
2012-12-31,5901.2,5919.0,5897.15,5905.1,64809641.0,3021.71
2013-01-01,5937.65,5963.9,5935.2,5950.85,77902745.0,3298.74
2013-01-02,5982.6,6006.05,5982.0,5993.25,116057389.0,4992.9
2013-01-03,6015.8,6017.0,5986.55,6009.5,99989933.0,4883.13
2013-01-04,6011.95,6020.75,5981.55,6016.15,113232990.0,5191.38
2013-01-07,6042.15,6042.15,5977.15,5988.4,110248018.0,5093.62
2013-01-08,5983.45,6007.05,5964.4,6001.7,109937502.0,5247.74
2013-01-09,6006.2,6020.1,5958.45,5971.5,129635568.0,6462.35
2013-01-10,5998.8,6005.15,5947.3,5968.65,129767384.0,6191.88
2013-01-11,6012.4,6018.85,5940.6,5951.3,128022002.0,8228.71
2013-01-14,5967.2,6036.9,5962.15,6024.05,134711348.0,7279.83
2013-01-15,6037.85,6068.5,6018.6,6056.6,138364003.0,6978.26
2013-01-16,6049.0,6055.95,5992.05,6001.85,128985952.0,6172.67
2013-01-17,6001.25,6053.2,5988.1,6039.2,178954867.0,7569.17
2013-01-18,6059.85,6083.4,6048.3,6064.4,186460701.0,8321.15
