Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,1066.0,1066.0,1023.65,1040.25,1040.15,1547458.0,16070.75
2005-10-07,1040.0,1059.0,1033.0,1045.0,1046.2,949455.0,9938.16
2005-10-10,1048.0,1056.45,1025.05,1026.05,1029.2,612105.0,6332.6
2005-10-11,1033.0,1062.0,1023.0,1053.9,1054.8,760090.0,7883.07
2005-10-13,1029.3,1054.8,1024.15,1026.0,1031.4,684983.0,7091.18
2005-10-14,1031.4,1032.0,981.0,994.0,992.6,2055508.0,20629.59
2005-10-17,995.0,1003.0,980.35,989.0,989.3,866435.0,8567.81
2005-10-18,990.0,1004.0,973.35,974.5,981.95,928459.0,9190.63
2005-10-19,973.35,975.0,810.0,950.0,948.8,2769172.0,26094.95
2005-10-20,955.1,969.8,923.25,936.5,938.7,2130608.0,20175.65
2005-10-21,925.35,960.0,925.35,951.5,956.9,1410221.0,13312.48
2005-10-24,946.3,962.0,920.0,920.2,926.2,1004928.0,9402.35
2005-10-25,945.0,951.7,920.15,931.0,930.5,1652432.0,15482.71
2005-10-26,935.0,946.7,925.0,931.0,930.9,2133796.0,19915.53
2005-10-27,933.0,955.0,915.1,941.05,935.6,3588296.0,33676.48
2005-10-28,935.6,939.9,909.0,920.0,918.65,1729062.0,15976.63
2005-10-31,925.0,935.25,918.5,926.8,929.05,1058977.0,9826.2
2005-11-01,965.0,965.0,927.25,929.0,931.6,213606.0,1995.71
2005-11-02,939.0,939.0,920.0,930.9,930.15,1182748.0,10986.7
2005-11-07,935.0,951.0,927.15,950.0,945.55,1295905.0,12224.68
2005-11-08,951.0,978.7,946.25,963.0,963.1,1925520.0,18445.73
2005-11-09,968.0,973.8,947.15,953.15,953.6,1354381.0,13002.67
2005-11-10,957.0,979.0,949.5,971.15,973.9,926183.0,8906.72
2005-11-11,975.5,989.5,970.0,983.0,980.6,992779.0,9732.88
2005-11-14,987.6,996.0,978.75,993.1,992.8,691423.0,6824.31
2005-11-16,993.0,1000.0,982.2,983.0,988.65,1077402.0,10701.46
2005-11-17,988.0,1016.1,976.1,1005.0,1008.15,1042681.0,10385.92
2005-11-18,1015.0,1027.0,1006.0,1016.0,1018.25,710075.0,7234.68
2005-11-21,1025.05,1030.0,1010.3,1016.55,1021.75,1022434.0,10451.09
2005-11-22,1010.3,1023.0,991.05,993.0,993.6,1038747.0,10411.22
2005-11-23,995.55,1026.05,995.55,1020.0,1020.65,1180605.0,12010.29
2005-11-24,1020.0,1032.5,1016.15,1023.0,1025.35,559124.0,5741.69
2005-11-25,1026.0,1033.0,1014.0,1024.45,1020.05,448729.0,4587.15
2005-11-26,1020.9,1039.0,1020.9,1038.0,1030.95,183248.0,1882.74
2005-11-28,1039.0,1052.0,1027.0,1046.9,1045.2,925792.0,9648.51
2005-11-29,1045.0,1053.0,1026.1,1051.9,1049.25,741151.0,7736.06
2005-11-30,1053.0,1085.0,1025.0,1030.0,1029.65,617057.0,6424.24
2005-12-01,1035.2,1049.85,1015.0,1046.0,1041.95,1040619.0,10733.76
2005-12-02,1044.0,1053.9,1027.5,1032.0,1033.1,1295493.0,13409.29
2005-12-05,1037.15,1039.7,1015.0,1015.1,1022.05,824311.0,8479.6
2005-12-06,1021.05,1061.0,1016.0,1049.8,1052.8,1473569.0,15399.67
2005-12-07,1052.8,1092.9,1050.0,1078.0,1081.0,2127336.0,22899.49
2005-12-08,1070.0,1109.0,1059.0,1105.2,1095.9,1330331.0,14368.85
2005-12-09,1101.3,1136.8,1086.0,1123.0,1127.7,1244344.0,13821.61
2005-12-12,1117.15,1181.0,1117.15,1156.95,1165.3,1359621.0,15691.45
2005-12-13,1157.0,1189.85,1141.0,1185.0,1181.55,1394338.0,16329.7
2005-12-14,1185.0,1185.0,1138.0,1156.0,1147.5,1207552.0,13958.92
2005-12-15,1157.0,1159.9,1142.55,1147.0,1147.15,1182981.0,13598.07
2005-12-16,1152.0,1165.0,1121.0,1162.0,1149.85,1392307.0,15872.98
