Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,800.0,800.0,786.9,792.2,790.85,5972187.0,47333.6
2005-10-07,794.95,794.95,775.7,787.0,788.4,7983593.0,62887.46
2005-10-10,789.0,792.9,780.3,781.9,782.95,3714985.0,29195.9
2005-10-11,787.0,790.8,772.0,787.65,788.8,3792221.0,29691.98
2005-10-13,785.7,792.9,773.1,774.15,775.25,6041247.0,47287.02
2005-10-14,775.0,777.4,761.5,762.5,763.85,7304047.0,56147.91
2005-10-17,777.4,779.8,759.05,771.25,771.0,6224636.0,47844.31
2005-10-18,777.35,781.4,748.5,750.9,756.45,6281160.0,48266.76
2005-10-19,750.15,757.8,735.0,747.55,747.3,8752227.0,65473.87
2005-10-20,755.0,765.9,737.05,753.0,748.15,7606407.0,56988.95
2005-10-21,754.0,773.0,743.25,770.2,771.2,9503506.0,72131.77
2005-10-24,770.2,775.45,754.0,760.0,757.1,4880214.0,37238.57
2005-10-25,761.05,779.4,760.05,766.0,767.6,5018390.0,38641.42
2005-10-26,769.9,774.9,761.35,763.5,763.55,4221317.0,32403.75
2005-10-27,766.0,769.8,745.15,748.0,750.3,10620859.0,80573.52
2005-10-28,755.0,758.65,737.5,742.5,741.6,6151358.0,45999.07
2005-10-31,737.5,764.9,737.5,764.5,762.5,4756595.0,35759.52
2005-11-01,777.0,779.9,762.25,763.0,766.2,1681989.0,12917.4
2005-11-02,763.75,779.4,756.75,778.95,777.7,5151546.0,39562.66
2005-11-07,764.9,790.7,764.9,787.15,788.0,5107087.0,40027.88
2005-11-08,795.0,795.0,782.5,794.25,790.45,4346779.0,34318.51
2005-11-09,792.0,800.9,787.1,792.95,791.15,4251918.0,33738.33
2005-11-10,793.4,795.35,783.1,785.0,785.7,3218286.0,25340.62
2005-11-11,787.0,804.25,787.0,795.8,795.4,5028746.0,40059.85
2005-11-14,795.0,803.0,786.1,800.0,798.45,3211746.0,25556.43
2005-11-16,801.0,819.0,801.0,817.2,817.45,5774378.0,46815.31
