Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,2067.6,2114.55,2067.6,2098.0,2098.45,1818093.0,38115.1
2012-11-23,2110.0,2111.45,2075.3,2085.45,2089.5,1375725.0,28771.85
2012-11-26,2096.5,2109.65,2080.0,2087.0,2091.9,1353914.0,28352.26
2012-11-27,2101.7,2123.05,2095.0,2111.0,2115.15,1564784.0,33037.15
2012-11-29,2128.15,2142.0,2105.65,2138.5,2131.85,2099117.0,44674.11
2012-11-30,2149.0,2187.0,2145.6,2171.5,2170.3,2159068.0,46788.4
2012-12-03,2180.0,2210.0,2173.5,2210.0,2204.05,1862853.0,40911.94
2012-12-04,2208.0,2249.2,2202.4,2231.5,2239.55,2233907.0,49849.71
2012-12-05,2248.0,2283.0,2245.2,2274.9,2271.8,2355825.0,53426.55
2012-12-06,2281.0,2317.95,2240.0,2317.0,2307.2,2349905.0,53512.11
2012-12-07,2316.4,2339.6,2300.05,2306.95,2316.2,2583116.0,59972.18
2012-12-10,2322.4,2326.8,2301.1,2316.15,2320.25,1361469.0,31527.16
2012-12-11,2329.7,2338.55,2282.7,2304.2,2308.8,2055771.0,47556.01
2012-12-12,2310.0,2317.95,2286.4,2291.0,2294.9,1842319.0,42403.37
2012-12-13,2302.5,2325.0,2255.1,2262.55,2262.6,1825411.0,41912.55
2012-12-14,2266.15,2327.0,2253.85,2325.2,2320.25,2018184.0,46355.07
2012-12-17,2318.75,2349.0,2311.95,2341.5,2344.3,1896776.0,44326.98
2012-12-18,2350.0,2382.0,2279.0,2366.35,2372.7,4103617.0,96035.8
2012-12-19,2385.0,2408.15,2362.75,2365.3,2372.3,2127839.0,50729.86
2012-12-20,2368.45,2398.8,2342.55,2374.0,2381.25,1831437.0,43436.16
2012-12-21,2355.1,2376.65,2327.5,2331.25,2334.45,1568594.0,36925.89
2012-12-24,2340.0,2359.0,2325.0,2333.0,2331.3,1054975.0,24672.1
2012-12-26,2336.7,2380.0,2323.0,2372.4,2370.85,1535308.0,36219.41
2012-12-27,2370.85,2397.5,2362.7,2390.0,2388.35,1972306.0,47031.92
2012-12-28,2394.0,2397.35,2369.1,2372.9,2379.5,1103623.0,26262.26
2012-12-31,2370.0,2396.7,2368.65,2385.7,2385.5,1000687.0,23881.42
2013-01-01,2404.9,2434.05,2397.55,2425.3,2426.45,1720230.0,41694.03
2013-01-02,2450.0,2464.0,2438.15,2451.9,2450.55,1466012.0,35969.0
2013-01-03,2460.0,2482.4,2436.2,2470.7,2471.6,2010309.0,49556.53
2013-01-04,2460.0,2492.95,2450.65,2490.0,2486.7,1370595.0,33931.64
2013-01-07,2490.0,2499.0,2461.75,2465.0,2467.6,1026449.0,25468.66
2013-01-08,2468.0,2500.0,2463.0,2499.65,2493.35,1612387.0,40035.02
2013-01-09,2494.0,2540.0,2494.0,2522.0,2522.8,2247411.0,56606.74
2013-01-10,2539.95,2551.7,2522.5,2532.9,2539.1,2150465.0,54627.38
2013-01-11,2549.0,2550.0,2483.25,2484.85,2491.05,1415672.0,35512.53
2013-01-14,2491.0,2519.95,2475.2,2506.0,2499.75,1772158.0,44310.85
2013-01-15,2505.0,2517.4,2470.2,2484.35,2489.85,1221933.0,30444.55
2013-01-16,2480.0,2493.5,2424.0,2425.9,2432.4,1439008.0,35421.89
2013-01-17,2425.5,2482.45,2423.0,2480.55,2469.85,1409124.0,34563.78
2013-01-18,2485.0,2517.65,2478.1,2488.1,2492.05,1607373.0,40198.3
2013-01-21,2495.0,2511.4,2490.1,2493.0,2499.45,1184906.0,29641.08
2013-01-22,2490.0,2509.0,2454.4,2465.5,2464.45,1295400.0,32189.03
2013-01-23,2471.0,2492.05,2452.15,2480.0,2480.4,1504275.0,37206.84
2013-01-24,2480.0,2484.35,2440.55,2465.0,2459.15,1765027.0,43400.94
2013-01-25,2459.7,2524.8,2448.0,2517.35,2513.7,1246093.0,31021.28
2013-01-28,2525.0,2533.8,2483.0,2490.0,2491.55,1834986.0,46078.85
2013-01-29,2490.55,2535.0,2455.05,2462.0,2462.45,4633124.0,115367.11
2013-01-30,2477.0,2487.0,2426.6,2434.0,2436.1,2371529.0,58143.85
