Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,700.0,703.0,688.3,694.0,699.2,531383.0,3702.42
2012-11-23,695.2,708.0,691.4,705.95,705.3,735145.0,5179.01
2012-11-26,709.25,709.25,692.9,693.5,696.8,312488.0,2186.03
2012-11-27,697.05,702.5,694.0,702.5,699.95,550338.0,3845.52
2012-11-29,697.0,714.8,697.0,709.7,709.95,976024.0,6924.74
2012-11-30,710.1,714.95,705.25,710.0,709.85,796652.0,5650.17
2012-12-03,707.55,711.65,699.55,705.45,705.05,508931.0,3591.8
2012-12-04,702.6,710.0,701.5,705.0,703.8,455740.0,3213.9
2012-12-05,705.75,711.0,698.1,704.9,702.55,599429.0,4226.66
2012-12-06,701.1,708.95,692.9,700.0,703.15,1016471.0,7119.91
2012-12-07,700.1,706.0,694.5,697.0,699.9,688875.0,4812.84
2012-12-10,700.0,710.7,695.0,706.7,704.6,816923.0,5717.55
2012-12-11,709.85,736.95,706.55,714.95,715.6,1675239.0,12042.81
2012-12-12,717.6,729.5,717.1,724.0,725.85,911500.0,6603.19
2012-12-13,728.05,729.0,713.5,720.0,718.55,728649.0,5246.36
2012-12-14,720.1,725.95,716.2,720.0,718.95,484899.0,3488.74
2012-12-17,714.1,724.8,714.1,722.0,721.05,1023831.0,7386.17
2012-12-18,726.75,739.2,725.15,736.4,736.95,1524043.0,11216.74
2012-12-19,741.0,769.9,740.5,769.9,764.8,975820.0,7358.16
2012-12-20,769.8,775.9,744.25,744.3,747.0,846759.0,6417.73
2012-12-21,747.0,752.0,728.1,730.5,729.45,703753.0,5179.1
2012-12-24,732.9,745.3,725.4,742.75,740.85,600444.0,4446.22
2012-12-26,743.8,759.9,742.45,753.6,753.7,529843.0,3992.6
2012-12-27,758.0,763.1,742.5,743.6,745.5,714807.0,5363.57
2012-12-28,747.7,752.9,731.05,741.5,739.5,493193.0,3653.69
2012-12-31,739.6,741.0,733.1,736.4,736.25,195019.0,1435.26
2013-01-01,739.1,749.8,736.7,739.9,739.5,295994.0,2195.0
2013-01-02,740.1,747.0,739.6,741.0,740.9,521816.0,3869.4
2013-01-03,747.95,747.95,730.1,732.0,733.85,520439.0,3823.94
2013-01-04,737.5,737.5,726.45,735.0,735.15,515868.0,3778.81
2013-01-07,740.8,748.85,737.1,746.0,744.15,984321.0,7323.56
