Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-17,380.0,386.3,374.6,384.2,384.35,4618966.0,17639.41
2005-10-18,386.85,388.55,364.1,365.1,374.85,3408087.0,13024.16
2005-10-19,371.6,373.55,352.0,362.7,361.55,4549667.0,16641.13
2005-10-20,365.3,371.85,351.5,359.55,358.6,4132203.0,14995.74
2005-10-21,360.35,368.5,357.65,367.5,367.4,4355886.0,15852.25
2005-10-24,368.5,379.9,350.8,352.25,352.3,3894076.0,14012.75
2005-10-25,355.0,357.5,348.0,349.7,350.5,4574872.0,16112.43
2005-10-26,351.0,355.9,344.3,345.95,346.9,4196216.0,14697.31
2005-10-27,347.6,348.85,335.1,336.7,337.6,5109854.0,17399.88
2005-10-28,348.85,348.9,329.0,332.0,330.8,2394522.0,7985.88
2005-10-31,335.0,340.5,331.2,340.1,339.4,2029967.0,6828.37
2005-11-01,345.0,345.0,339.15,340.0,340.15,893405.0,3047.74
2005-11-02,341.4,351.0,331.0,349.5,348.95,4253299.0,14561.27
2005-11-07,340.5,366.5,340.5,362.1,363.65,7146401.0,25622.7
2005-11-08,365.9,368.95,357.25,363.5,362.1,5476390.0,19899.15
2005-11-09,364.1,368.8,360.0,361.05,362.75,5944366.0,21656.81
2005-11-10,362.8,365.7,360.25,363.5,363.35,2842920.0,10319.92
2005-11-11,365.7,373.3,365.0,372.1,371.3,3446474.0,12734.37
2005-11-14,374.3,374.4,360.2,365.3,365.6,3304676.0,12101.94
2005-11-16,369.0,370.0,363.05,366.2,367.55,1848823.0,6799.58
2005-11-17,369.9,374.0,359.0,366.0,367.05,4075733.0,14844.45
2005-11-18,369.0,375.0,368.2,369.0,370.2,3801307.0,14146.91
2005-11-21,371.5,371.9,359.1,359.5,360.8,2658137.0,9687.15
2005-11-22,360.45,362.0,349.15,349.9,351.1,3731824.0,13297.61
2005-11-23,350.0,351.1,339.25,342.6,342.65,5888523.0,20281.06
2005-11-24,343.0,348.7,340.6,343.25,342.4,6028302.0,20697.66
2005-11-25,344.2,348.0,338.0,342.0,342.25,4814894.0,16514.47
2005-11-26,342.4,346.0,342.4,344.6,344.2,928792.0,3197.31
2005-11-28,345.85,352.0,342.0,343.65,344.75,7795891.0,27053.41
2005-11-29,343.5,351.6,341.75,349.7,347.9,4502443.0,15634.38
2005-11-30,349.55,356.9,348.1,350.2,349.7,5545838.0,19556.8
2005-12-01,356.9,356.9,346.25,350.15,350.3,3626155.0,12729.88
2005-12-02,354.0,361.4,353.0,356.9,357.05,5256560.0,18788.23
2005-12-05,358.0,360.0,352.6,353.65,354.1,2820750.0,10053.7
2005-12-06,353.7,356.8,348.15,349.2,351.15,1786739.0,6321.41
2005-12-07,351.15,353.15,348.2,350.5,349.7,2013862.0,7062.08
2005-12-08,352.0,352.0,345.85,346.5,347.7,1926180.0,6717.91
2005-12-09,348.8,357.0,348.0,357.0,356.05,2981821.0,10545.3
2005-12-12,357.0,365.0,357.0,362.8,363.05,2965474.0,10733.25
2005-12-13,364.0,372.3,362.1,371.0,369.55,3690948.0,13534.78
2005-12-14,371.35,381.0,370.55,376.9,378.15,6028697.0,22692.12
2005-12-15,381.0,384.35,365.4,368.25,368.85,7117421.0,26826.49
2005-12-16,371.3,371.85,365.15,367.75,367.9,3549729.0,13073.31
2005-12-19,369.9,381.0,369.05,380.6,380.05,2896776.0,10863.11
2005-12-20,381.0,382.05,371.8,373.6,374.45,3691616.0,13899.76
2005-12-21,374.2,377.2,368.85,375.4,375.35,3806768.0,14209.44
2005-12-22,376.25,383.0,375.5,382.6,381.5,3647554.0,13839.79
2005-12-23,382.55,384.7,366.55,366.9,368.5,4313008.0,16171.27
2005-12-26,369.0,371.5,364.6,368.7,368.6,3707845.0,13666.92
2005-12-27,368.5,375.9,367.0,375.25,375.3,2037287.0,7601.95
2005-12-28,376.0,378.9,369.1,370.25,371.05,2657484.0,9938.81
2005-12-29,371.5,373.85,368.1,370.05,370.35,3368020.0,12494.59
2005-12-30,370.25,381.6,370.25,380.0,379.95,3992422.0,15047.8
2006-01-02,381.95,383.7,375.3,380.5,379.0,1927590.0,7330.85
2006-01-03,381.0,387.4,379.0,385.5,386.2,2035077.0,7796.14
2006-01-04,388.85,388.85,382.7,383.35,384.25,2277107.0,8778.23
2006-01-05,384.85,385.8,379.25,380.35,380.4,1393282.0,5329.48
2006-01-06,381.6,384.9,377.4,384.3,384.2,2408777.0,9203.97
2006-01-09,385.4,388.4,378.1,378.1,380.05,2411130.0,9239.34
2006-01-10,379.85,380.75,371.0,371.5,372.25,1615455.0,6064.69
2006-01-12,370.0,374.5,365.15,369.7,369.3,2375032.0,8781.67
2006-01-13,378.0,378.0,366.0,366.3,367.15,1605482.0,5923.55
2006-01-16,367.0,367.0,354.7,355.0,356.25,2678074.0,9623.6
2006-01-17,356.8,358.8,347.15,348.0,348.6,2775984.0,9787.3
2006-01-18,400.0,400.0,343.6,350.7,351.15,2304380.0,8025.02
2006-01-19,352.9,361.5,352.55,360.6,360.45,2508658.0,8988.31
2006-01-20,363.0,368.75,360.5,361.6,362.15,4443070.0,16202.42
2006-01-23,360.5,361.95,348.9,355.8,357.1,5278857.0,18808.02
2006-01-24,358.1,366.7,354.1,363.75,364.45,2938094.0,10648.4
2006-01-25,365.85,368.0,360.1,360.25,363.25,1719067.0,6263.47
2006-01-27,365.0,402.8,364.9,399.0,395.35,9099294.0,34993.61
2006-01-30,390.55,402.8,376.85,395.0,396.95,8493368.0,33253.32
2006-01-31,394.7,407.5,394.7,404.3,404.45,6885286.0,27707.98
2006-02-01,406.0,406.0,394.7,399.0,397.5,7024370.0,28030.81
2006-02-02,399.0,406.75,398.25,402.25,402.05,5078888.0,20443.48
2006-02-03,400.2,404.0,396.05,401.25,400.85,3013566.0,12081.81
2006-02-06,400.0,411.8,395.0,407.1,406.9,3447241.0,14015.87
2006-02-07,406.9,414.2,406.15,408.1,408.75,2375175.0,9742.04
2006-02-08,408.75,408.75,390.5,391.5,392.25,3686024.0,14623.74
2006-02-10,394.95,398.8,387.05,388.3,389.25,3460096.0,13521.92
2006-02-13,390.0,396.1,388.8,390.6,392.15,2045570.0,8027.6
2006-02-14,392.3,393.4,381.2,383.4,383.5,1747274.0,6768.6
2006-02-15,385.0,389.2,379.1,385.1,387.85,2472242.0,9503.11
2006-02-16,390.2,394.0,385.3,390.25,391.8,2349623.0,9199.02
2006-02-17,393.0,397.9,384.7,385.65,386.8,2864344.0,11260.51
2006-02-20,386.25,397.0,385.0,396.5,395.15,2831223.0,11075.81
2006-02-21,397.0,407.0,396.8,403.55,402.95,3803351.0,15336.12
2006-02-22,405.0,412.9,403.0,412.2,411.5,3243827.0,13269.78
2006-02-23,412.05,425.0,412.05,418.75,418.65,4727914.0,19848.38
2006-02-24,420.0,428.95,418.1,423.65,423.3,4545348.0,19279.01
2006-02-27,427.8,428.6,421.3,421.9,422.1,1406861.0,5976.05
2006-02-28,424.45,437.85,412.0,431.25,431.0,5336332.0,22741.51
2006-03-01,431.3,447.0,425.2,445.6,442.3,4599775.0,20077.67
2006-03-02,447.0,459.0,446.65,449.9,449.95,4521573.0,20495.25
2006-03-03,451.0,457.55,447.15,457.5,454.25,3902168.0,17660.97
2006-03-06,455.35,475.0,455.35,474.0,473.3,3710160.0,17330.4
2006-03-07,473.3,474.8,450.15,469.0,468.3,3519777.0,16508.2
2006-03-08,466.0,467.9,441.55,442.0,443.75,3850112.0,17492.69
2006-03-09,445.05,454.45,433.25,454.0,451.6,4712128.0,20915.09
2006-03-10,454.0,464.8,454.0,455.25,455.65,2384057.0,10941.63
2006-03-13,458.85,464.9,454.7,459.85,460.25,2428331.0,11183.63
2006-03-14,461.9,468.4,455.7,457.75,458.85,3101948.0,14332.01
2006-03-16,461.45,473.0,461.0,472.0,469.85,2998936.0,13972.46
2006-03-17,470.5,473.4,461.05,461.5,462.3,1804819.0,8421.89
2006-03-20,463.0,468.4,463.0,467.4,467.1,1306918.0,6095.72
2006-03-21,468.4,477.0,465.15,469.95,468.2,2978054.0,14057.63
2006-03-22,468.35,475.0,464.1,470.15,469.3,2955830.0,13883.96
2006-03-23,470.1,488.8,461.0,484.4,485.3,5233491.0,25007.07
2006-03-24,485.1,494.8,484.5,494.1,493.4,3670933.0,18006.26
2006-03-27,494.8,520.4,494.8,517.9,517.85,4745007.0,24301.17
2006-03-28,520.0,525.0,510.15,522.25,522.2,3804631.0,19691.98
2006-03-29,523.2,525.85,516.45,521.5,522.25,2453337.0,12795.32
