Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,904.9,915.4,889.3,910.0,910.1,285231.0,2576.11
2012-11-23,918.55,918.55,898.5,903.0,903.65,196069.0,1778.27
2012-11-26,907.75,913.9,904.3,908.0,907.9,196619.0,1786.2
2012-11-27,907.9,913.5,882.05,890.9,894.1,471210.0,4216.65
2012-11-29,885.0,895.25,875.5,877.9,880.7,593562.0,5247.05
2012-11-30,876.05,897.65,867.6,878.5,880.1,693893.0,6120.12
2012-12-03,882.15,902.2,878.4,889.7,891.9,456610.0,4090.91
2012-12-04,893.05,900.5,885.0,888.75,889.05,221586.0,1976.52
2012-12-05,897.75,897.75,878.1,886.15,887.85,225002.0,1994.58
2012-12-06,888.0,890.95,877.15,879.0,882.35,216167.0,1906.68
2012-12-07,874.0,893.3,865.5,878.65,880.35,575874.0,5072.76
2012-12-10,880.0,886.0,869.0,869.25,874.15,279607.0,2454.48
2012-12-11,870.05,889.8,870.0,877.2,879.5,420793.0,3705.45
2012-12-12,877.0,931.55,875.0,912.5,914.1,4117334.0,37510.88
2012-12-13,915.0,924.75,908.5,916.0,918.35,895200.0,8215.63
2012-12-14,903.0,951.85,903.0,946.0,948.2,896938.0,8383.78
2012-12-17,952.0,956.5,925.0,951.4,952.7,1043536.0,9806.03
2012-12-18,952.75,954.2,940.0,945.05,946.55,294782.0,2787.87
2012-12-19,949.95,966.9,941.05,944.0,944.45,559272.0,5340.64
2012-12-20,946.55,947.95,921.6,923.25,926.15,1202384.0,11183.32
2012-12-21,921.65,933.0,903.3,905.0,906.4,404458.0,3721.23
2012-12-24,914.85,923.0,898.35,903.0,903.65,270783.0,2468.5
2012-12-26,903.65,919.9,903.65,917.25,914.75,234815.0,2142.61
2012-12-27,915.1,936.75,909.5,920.65,919.65,1128749.0,10393.35
2012-12-28,929.4,929.4,912.8,920.05,920.75,225220.0,2070.89
2012-12-31,929.9,934.9,919.0,931.0,932.25,377408.0,3500.6
2013-01-01,938.65,938.65,929.25,931.4,933.65,135982.0,1269.85
2013-01-02,933.0,942.2,925.35,938.6,939.7,299961.0,2813.22
2013-01-03,929.15,957.05,929.15,941.4,941.35,284704.0,2690.92
2013-01-04,944.95,957.55,927.5,942.6,942.5,274905.0,2577.41
2013-01-07,949.4,949.4,921.25,921.5,927.05,247444.0,2309.94
2013-01-08,925.9,929.8,912.5,927.65,926.4,249130.0,2296.22
2013-01-09,931.6,944.85,926.55,941.35,939.4,314177.0,2945.21
2013-01-10,947.35,984.75,945.25,972.0,975.6,1215236.0,11790.02
2013-01-11,982.45,1011.95,979.0,988.1,989.35,868218.0,8650.69
2013-01-14,991.0,1009.0,980.0,1008.95,1002.0,777042.0,7753.79
2013-01-15,1008.35,1021.75,993.05,996.15,999.8,586325.0,5909.72
2013-01-16,995.25,1014.7,985.75,997.0,997.9,639505.0,6406.57
2013-01-17,1000.05,1027.95,997.0,1018.0,1018.4,1046927.0,10679.68
2013-01-18,1020.0,1026.9,992.7,995.9,998.95,457976.0,4621.16
2013-01-21,1002.05,1017.0,994.15,1001.0,1004.35,406940.0,4102.45
2013-01-22,998.15,1006.8,977.5,980.85,980.8,480153.0,4763.96
2013-01-23,981.05,982.0,964.25,965.6,967.0,341359.0,3312.18
2013-01-24,969.55,1015.5,966.0,988.0,990.55,765640.0,7623.26
2013-01-25,992.05,1010.0,984.0,1001.0,1006.5,434381.0,4356.98
2013-01-28,1009.65,1031.6,1001.5,1015.0,1016.05,579011.0,5915.63
2013-01-29,1017.9,1023.35,994.8,1005.0,1001.55,275227.0,2772.85
2013-01-30,1010.0,1020.9,1002.25,1008.0,1011.0,459150.0,4653.13
2013-01-31,1011.4,1023.0,992.25,1000.0,998.95,386523.0,3883.32
2013-02-01,998.95,1015.0,993.0,1005.0,1004.8,403923.0,4057.01
2013-02-04,1003.0,1013.9,985.0,990.2,990.35,103140.0,1026.99
2013-02-05,992.05,995.5,958.0,970.25,966.55,175079.0,1694.63
2013-02-06,968.05,991.6,968.05,980.4,979.55,367948.0,3613.73
2013-02-07,980.15,1004.85,975.0,989.85,989.9,728181.0,7240.33
2013-02-08,995.0,1019.5,961.6,1002.0,1001.95,709380.0,7131.67
2013-02-11,1004.95,1011.0,965.55,1000.0,999.3,367047.0,3670.36
2013-02-12,995.85,1004.9,971.95,990.0,990.05,338041.0,3350.99
2013-02-13,995.0,1005.0,986.95,999.65,1000.6,477646.0,4771.26
2013-02-14,999.95,1016.0,999.95,1001.7,1002.0,410358.0,4131.9
2013-02-15,1010.0,1010.0,968.4,993.75,998.65,510521.0,5024.78
2013-02-18,999.3,999.35,983.0,984.7,986.6,262786.0,2600.09
2013-02-19,989.75,1040.95,983.9,1035.5,1034.5,633876.0,6429.49
2013-02-20,1038.9,1069.45,1038.9,1052.05,1052.25,1342981.0,14136.19
2013-02-21,1044.95,1062.9,1034.45,1040.0,1038.1,768765.0,8084.71
2013-02-22,1034.0,1050.9,1031.05,1038.8,1039.45,415286.0,4335.16
2013-02-25,1039.5,1059.0,1030.7,1039.9,1038.0,420970.0,4404.23
2013-02-26,1036.7,1044.5,1022.15,1029.1,1026.7,206099.0,2131.89
2013-02-27,1030.0,1047.8,1024.15,1029.75,1028.7,447309.0,4650.16
2013-02-28,1029.95,1070.0,1029.95,1050.0,1051.05,922977.0,9742.2
2013-03-01,1052.0,1112.0,1052.0,1109.0,1103.0,1251111.0,13699.47
2013-03-04,1109.0,1119.0,1078.3,1087.0,1085.8,552907.0,6072.05
2013-03-05,1105.0,1107.4,1065.05,1068.5,1067.7,403784.0,4353.7
2013-03-06,1073.8,1096.8,1073.8,1080.35,1079.6,581739.0,6320.06
2013-03-07,1080.0,1112.65,1075.1,1096.9,1096.25,902105.0,9937.02
2013-03-08,1099.9,1123.1,1099.9,1111.0,1110.4,675752.0,7531.15
2013-03-11,1118.95,1122.8,1098.15,1106.15,1108.2,593860.0,6585.25
2013-03-12,1111.0,1114.95,1095.0,1098.15,1097.4,446477.0,4912.84
2013-03-13,1090.1,1099.25,1078.2,1087.05,1085.1,363012.0,3945.73
2013-03-14,1079.05,1108.0,1079.05,1105.95,1104.3,346131.0,3805.32
2013-03-15,1100.0,1117.6,1095.35,1100.95,1102.0,359560.0,3975.44
2013-03-18,1098.5,1104.5,1086.8,1089.55,1089.9,298550.0,3267.27
2013-03-19,1098.0,1110.0,1086.0,1091.15,1090.7,396754.0,4353.45
2013-03-20,1090.7,1095.3,1065.1,1067.0,1068.6,269401.0,2889.38
2013-03-21,1074.95,1082.7,1060.0,1070.0,1064.85,274875.0,2943.62
2013-03-22,1063.0,1068.35,1041.1,1045.15,1047.6,284267.0,2984.86
2013-03-25,1055.0,1063.05,1037.5,1046.5,1045.85,385581.0,4042.79
2013-03-26,1042.1,1047.8,1015.25,1037.55,1039.15,309251.0,3194.75
2013-03-28,1044.35,1077.0,1036.9,1058.0,1059.5,1000599.0,10620.88
2013-04-01,1056.25,1073.95,1052.05,1067.0,1061.15,186945.0,1983.91
2013-04-02,1068.75,1068.75,1019.5,1024.05,1026.2,505141.0,5213.64
2013-04-03,1017.3,1035.0,972.5,981.0,977.05,653099.0,6524.19
2013-04-04,976.0,992.9,962.65,978.7,977.0,861696.0,8424.28
2013-04-05,982.9,982.9,957.1,965.0,961.85,297161.0,2873.02
2013-04-08,965.8,991.4,963.5,985.0,983.95,446856.0,4387.52
2013-04-09,992.15,993.85,963.25,971.8,967.15,354369.0,3472.83
2013-04-10,976.1,1005.0,968.05,1000.6,998.55,263937.0,2605.22
2013-04-11,1005.0,1010.0,982.25,999.95,996.7,223051.0,2226.58
2013-04-12,970.0,988.5,953.15,982.0,980.0,382689.0,3739.04
2013-04-15,974.0,982.75,965.0,969.0,969.95,191632.0,1863.46
2013-04-16,969.0,980.0,961.0,972.8,972.65,194213.0,1887.62
2013-04-17,977.8,982.9,952.0,954.25,955.2,207624.0,2009.11
2013-04-18,955.05,955.05,936.5,953.0,950.3,181587.0,1715.61
2013-04-22,940.0,963.0,925.25,934.95,930.9,279713.0,2615.93
2013-04-23,928.7,949.5,906.8,920.05,924.1,340227.0,3148.33
2013-04-25,925.0,933.9,915.45,924.55,927.55,611835.0,5657.73
2013-04-26,929.0,946.5,921.0,928.0,926.3,308193.0,2876.51
2013-04-29,930.7,954.0,924.05,946.0,945.8,213693.0,2018.74
2013-04-30,945.0,963.75,928.2,963.75,953.25,304358.0,2875.64
2013-05-02,958.95,979.0,958.95,967.5,965.65,283552.0,2752.08
2013-05-03,966.5,993.8,958.1,987.0,986.65,361962.0,3543.43
2013-05-06,989.9,1012.8,986.65,1000.5,1001.65,519786.0,5200.88
2013-05-07,1006.85,1018.0,999.35,1007.0,1005.55,211072.0,2128.78
2013-05-08,1008.0,1014.75,978.0,981.5,983.8,302895.0,3020.0
2013-05-09,983.8,991.25,978.15,980.0,983.4,189634.0,1869.24
2013-05-10,985.0,989.9,968.0,973.0,976.05,141511.0,1381.1
2013-05-11,974.0,997.0,972.0,995.5,994.8,52368.0,519.6
2013-05-13,997.95,1003.65,950.35,954.85,954.85,247470.0,2404.39
2013-05-14,957.0,974.0,951.55,961.15,958.45,253343.0,2432.29
2013-05-15,962.25,967.95,941.5,955.8,954.0,549217.0,5235.19
2013-05-16,952.0,960.0,937.55,940.1,942.3,325330.0,3080.09
2013-05-17,950.0,955.0,921.15,925.0,927.85,408838.0,3815.58
2013-05-20,931.7,936.0,918.0,923.5,922.1,423658.0,3923.83
2013-05-21,925.1,934.9,895.05,909.0,909.85,1362543.0,12414.29
2013-05-22,962.0,979.45,933.3,945.5,943.3,2667530.0,25651.91
2013-05-23,946.95,960.8,937.7,953.0,952.5,636970.0,6055.0
2013-05-24,958.7,964.85,945.35,952.0,951.45,223326.0,2128.92
2013-05-27,951.0,959.15,945.0,950.05,953.65,218021.0,2080.19
2013-05-28,957.0,987.0,952.15,987.0,983.6,598125.0,5810.95
2013-05-29,987.0,997.5,972.3,982.0,983.35,347595.0,3431.08
2013-05-30,977.0,994.0,974.1,979.0,978.8,393538.0,3865.7
2013-05-31,979.0,987.0,961.1,966.1,967.5,119522.0,1164.58
2013-06-03,962.5,975.0,925.25,944.9,940.25,284427.0,2675.94
2013-06-04,941.0,950.0,940.0,943.1,942.5,519159.0,4896.64
2013-06-05,938.5,949.5,912.1,918.0,917.6,580704.0,5390.77
2013-06-06,911.0,942.9,909.1,926.0,925.0,551277.0,5125.13
2013-06-07,930.5,951.45,929.0,935.0,936.95,421210.0,3959.24
2013-06-10,948.9,950.0,933.1,940.0,940.35,499458.0,4699.27
2013-06-11,939.0,977.7,923.5,971.0,968.0,918449.0,8790.75
2013-06-12,977.8,992.0,963.0,976.05,978.8,807573.0,7905.66
2013-06-13,970.95,977.0,951.25,966.05,971.65,400881.0,3881.27
2013-06-14,981.05,989.0,962.2,963.75,965.75,350675.0,3417.69
2013-06-17,965.5,974.65,951.0,972.0,971.4,175269.0,1697.41
2013-06-18,967.0,984.7,967.0,978.0,977.85,228613.0,2238.95
2013-06-19,978.0,1021.7,975.95,1013.7,1012.3,667569.0,6697.45
2013-06-20,1013.0,1027.45,980.6,984.8,984.35,797299.0,8053.21
2013-06-21,984.1,1009.9,981.1,994.85,995.5,687497.0,6871.4
2013-06-24,984.0,1013.45,984.0,1005.0,1002.0,930829.0,9326.08
2013-06-25,1013.95,1024.4,1003.25,1011.05,1009.85,874936.0,8857.76
2013-06-26,1015.0,1048.9,1015.0,1039.0,1038.8,1065516.0,11048.43
2013-06-27,1051.95,1098.0,1040.25,1085.9,1080.8,1221152.0,13134.8
2013-06-28,1095.0,1095.0,1050.1,1054.5,1059.8,592159.0,6297.44
2013-07-01,1056.0,1069.4,1025.5,1039.0,1034.45,627810.0,6550.26
2013-07-02,1039.0,1042.25,976.3,1007.1,1002.2,1510283.0,15065.99
2013-07-03,1008.55,1027.0,965.0,1006.3,999.1,1865395.0,18679.06
2013-07-04,1026.0,1037.0,1011.9,1036.2,1031.45,1023392.0,10498.88
2013-07-05,1057.5,1057.5,1031.8,1035.55,1038.65,672025.0,6987.36
2013-07-08,1032.0,1050.75,1016.0,1045.35,1045.7,361379.0,3767.71
2013-07-09,1048.0,1058.0,1035.65,1041.0,1042.7,358296.0,3754.19
2013-07-10,1046.0,1091.5,1042.7,1074.3,1079.25,905634.0,9696.51
2013-07-11,1086.0,1088.25,1055.15,1067.75,1066.45,829693.0,8886.16
2013-07-12,1075.0,1127.85,1072.0,1120.1,1121.9,3390810.0,37326.44
2013-07-15,1122.1,1132.25,1101.95,1106.3,1111.9,1072107.0,11983.96
2013-07-16,1092.0,1109.9,1082.0,1092.15,1092.4,585032.0,6389.53
2013-07-17,1090.0,1129.9,1082.35,1096.5,1094.4,975948.0,10836.9
2013-07-18,1103.7,1116.3,1082.15,1089.0,1091.3,908625.0,9933.77
2013-07-19,1113.5,1141.45,1102.8,1132.0,1132.3,1874051.0,21109.84
2013-07-22,1132.0,1184.65,1130.0,1173.05,1171.7,1691078.0,19757.77
2013-07-23,1180.0,1194.0,1160.5,1179.55,1179.15,1410195.0,16652.15
2013-07-24,1173.95,1221.5,1170.05,1209.0,1207.65,1592852.0,19202.34
2013-07-25,1203.15,1219.0,1169.3,1182.85,1179.7,2462900.0,29253.64
2013-07-26,1182.8,1225.6,1181.0,1222.7,1217.75,1067937.0,12946.02
2013-07-29,1208.25,1251.0,1208.25,1248.5,1248.6,885510.0,10990.63
2013-07-30,1252.0,1262.0,1216.85,1226.5,1232.25,1232350.0,15371.02
2013-07-31,1235.0,1254.7,1224.0,1248.05,1246.3,843098.0,10482.92
2013-08-01,1248.6,1260.8,1230.8,1254.0,1251.6,706940.0,8813.37
2013-08-02,1256.5,1275.0,1200.5,1229.5,1233.2,1106512.0,13799.54
2013-08-05,1231.0,1277.0,1228.8,1269.0,1263.8,792481.0,10006.07
2013-08-06,1264.0,1265.2,1230.05,1236.0,1233.4,927666.0,11516.6
2013-08-07,1234.0,1259.95,1210.3,1224.0,1229.4,1100030.0,13675.29
2013-08-08,1229.0,1255.0,1219.8,1253.0,1244.65,1157416.0,14293.45
2013-08-12,1250.0,1292.0,1241.2,1279.8,1266.5,1853564.0,23424.11
2013-08-13,1280.7,1338.5,1278.2,1333.95,1331.05,1620777.0,21356.27
2013-08-14,1340.0,1346.85,1301.5,1319.9,1321.15,1006780.0,13398.73
2013-08-16,1315.0,1335.0,1297.5,1320.4,1324.45,1254399.0,16592.67
2013-08-19,1320.0,1333.75,1282.0,1293.95,1294.0,1305182.0,17006.95
2013-08-20,1288.9,1296.95,1241.3,1243.95,1249.8,1321442.0,16644.75
2013-08-21,1250.0,1280.0,1231.15,1241.65,1239.75,1373977.0,17215.68
2013-08-22,1239.0,1279.75,1226.6,1279.4,1270.9,1087598.0,13617.55
2013-08-23,1285.4,1372.8,1276.35,1371.95,1366.2,1870641.0,24972.58
2013-08-26,1370.0,1410.0,1360.7,1382.05,1379.65,1576192.0,21952.08
