Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,1921.0,1934.95,1881.6,1897.7,1899.45,187404.0,3563.35
2012-11-23,1900.0,1913.95,1882.5,1904.5,1896.05,179933.0,3404.37
2012-11-26,1900.0,1912.0,1857.0,1876.0,1868.6,228061.0,4258.32
2012-11-27,1879.8,1897.75,1862.35,1889.0,1878.65,231781.0,4347.08
2012-11-29,1881.65,1933.7,1881.65,1910.0,1914.8,419354.0,7979.66
2012-11-30,1895.7,2154.2,1873.1,2020.0,1941.4,2041947.0,39468.5
2012-12-03,1990.0,2016.75,1986.0,1999.85,1999.75,173745.0,3474.85
2012-12-04,1997.0,1997.0,1968.55,1975.25,1980.75,121777.0,2413.79
2012-12-05,1994.7,2005.8,1936.2,1954.15,1952.75,139546.0,2756.26
2012-12-06,1966.0,1990.0,1920.9,1972.0,1980.25,147763.0,2894.59
2012-12-07,1982.0,1991.5,1952.4,1957.0,1962.2,139448.0,2746.0
2012-12-10,1963.0,1965.1,1941.0,1946.0,1947.6,127419.0,2481.17
2012-12-11,1961.0,2000.0,1950.6,1974.05,1978.9,120525.0,2386.96
2012-12-12,1984.0,1996.0,1926.8,1944.3,1944.5,183915.0,3587.02
2012-12-13,1950.0,1965.0,1922.0,1950.0,1949.25,97830.0,1905.75
2012-12-14,1954.0,1997.9,1954.0,1993.0,1992.75,119553.0,2361.77
2012-12-17,1999.8,1999.8,1959.05,1981.25,1979.2,94070.0,1856.8
2012-12-18,1982.25,2024.9,1974.3,2013.2,2013.3,129606.0,2600.87
2012-12-19,2033.0,2033.0,2009.3,2015.5,2016.95,196911.0,3975.16
2012-12-20,2000.25,2029.9,2000.25,2007.0,2012.5,129878.0,2621.08
2012-12-21,2000.0,2016.65,1972.55,1977.0,1988.6,522262.0,10440.31
2012-12-24,1988.0,1993.95,1941.25,1944.1,1956.55,100104.0,1963.13
2012-12-26,1954.9,1981.5,1953.95,1974.0,1976.9,119760.0,2362.83
2012-12-27,1980.1,2008.35,1955.3,1970.0,1966.65,256165.0,5048.48
2012-12-28,1970.0,1975.9,1955.25,1967.0,1971.75,78933.0,1554.3
2012-12-31,1961.0,2000.0,1950.35,1987.5,1986.3,1059236.0,21170.11
2013-01-01,1995.0,2030.0,1990.7,2030.0,2022.8,49967.0,1004.22
2013-01-02,2032.25,2043.4,2027.0,2036.0,2035.25,67886.0,1381.41
2013-01-03,2040.0,2056.0,2016.3,2016.3,2024.85,66389.0,1348.29
2013-01-04,2019.0,2049.0,2002.0,2037.1,2041.9,55076.0,1116.65
2013-01-07,2045.25,2046.5,2016.0,2032.05,2040.7,47458.0,963.74
2013-01-08,2043.0,2043.0,2010.0,2013.15,2019.15,52801.0,1066.62
2013-01-09,2005.1,2021.0,1945.35,1974.85,1962.35,150457.0,2982.99
2013-01-10,1971.4,1992.3,1890.0,1900.0,1899.15,683216.0,13021.5
2013-01-11,1901.05,1901.05,1860.0,1883.75,1883.3,134174.0,2523.43
2013-01-14,1885.0,1885.0,1846.2,1872.85,1866.15,187086.0,3483.83
2013-01-15,1866.15,1935.0,1845.55,1919.95,1920.55,195235.0,3721.42
2013-01-16,1921.0,1929.95,1900.05,1920.0,1920.7,387028.0,7429.34
2013-01-17,1925.05,1928.4,1890.2,1904.9,1910.35,115719.0,2201.34
2013-01-18,1915.25,1924.8,1881.05,1900.2,1909.3,217897.0,4146.03
