Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2005-10-06,403.0,404.0,386.15,387.25,390.35,2029404.0,8001.83
2005-10-07,391.0,396.2,382.45,389.0,388.25,1534724.0,5982.93
2005-10-10,390.0,398.5,388.2,393.2,394.4,1197567.0,4721.01
2005-10-11,399.0,404.0,388.25,399.0,399.05,1302109.0,5168.76
2005-10-13,400.0,400.0,386.95,388.5,389.35,1127643.0,4425.63
2005-10-14,392.0,392.9,382.15,385.0,385.95,963251.0,3715.18
2005-10-17,385.95,389.0,378.3,381.4,382.55,578790.0,2214.97
2005-10-18,385.9,387.8,370.3,370.3,373.3,960055.0,3649.34
2005-10-19,373.3,376.8,364.25,367.65,368.3,1750824.0,6513.18
2005-10-20,376.8,383.0,365.0,369.5,368.7,1315246.0,4881.7
2005-10-21,370.0,387.0,369.0,385.0,385.45,1428072.0,5412.32
2005-10-24,392.0,392.0,372.0,372.0,372.75,807596.0,3043.47
2005-10-25,372.5,384.5,372.5,376.0,377.2,735439.0,2783.9
2005-10-26,377.2,379.9,372.5,377.05,376.7,568004.0,2139.19
2005-10-27,376.0,384.0,365.2,374.0,373.6,2070072.0,7769.94
2005-10-28,370.0,373.5,355.0,355.0,356.9,1022112.0,3683.1
2005-10-31,369.0,369.0,355.75,364.5,364.6,516678.0,1875.19
2005-11-01,369.0,372.5,363.05,363.15,364.5,185838.0,680.76
2005-11-02,364.5,371.5,357.5,371.0,369.65,814258.0,2966.89
2005-11-07,369.0,378.7,369.0,378.7,377.15,862838.0,3238.0
2005-11-08,380.0,395.0,375.25,394.0,390.85,1252997.0,4832.87
2005-11-09,391.0,394.7,381.05,384.0,384.5,853513.0,3301.59
2005-11-10,385.05,388.0,381.5,386.0,385.6,881604.0,3387.06
2005-11-11,388.0,405.0,387.25,404.0,404.15,2439575.0,9775.71
2005-11-14,411.0,411.0,396.3,404.6,404.35,1085197.0,4378.55
2005-11-16,407.7,410.0,404.85,408.5,409.05,789165.0,3222.28
2005-11-17,410.0,416.0,401.5,414.9,413.2,1032873.0,4222.2
2005-11-18,416.0,429.2,416.0,422.5,423.95,2386965.0,10117.47
2005-11-21,429.0,429.0,416.0,420.9,421.2,1209291.0,5084.01
2005-11-22,420.0,426.95,414.3,416.15,417.45,1171600.0,4936.48
2005-11-23,418.0,434.5,417.55,434.0,431.4,1483585.0,6321.91
2005-11-24,434.0,442.0,430.6,440.0,438.55,1576899.0,6879.76
2005-11-25,439.4,442.9,435.55,438.9,439.55,997488.0,4386.29
2005-11-26,442.9,444.0,435.65,436.55,437.55,315419.0,1381.97
2005-11-28,444.0,450.0,439.1,445.2,445.2,1134928.0,5072.65
2005-11-29,445.2,447.0,435.05,443.95,443.95,888459.0,3915.12
2005-11-30,434.0,447.6,420.0,421.5,423.25,1501811.0,6524.96
2005-12-01,424.8,435.0,419.0,434.0,432.9,2154461.0,9187.8
2005-12-02,435.0,440.65,428.1,432.15,431.7,959480.0,4177.18
2005-12-05,432.9,434.8,420.7,422.4,422.75,852859.0,3641.66
2005-12-06,424.0,433.45,419.2,428.0,427.8,1557624.0,6646.85
2005-12-07,428.5,439.9,427.0,438.0,436.4,1110157.0,4794.05
2005-12-08,437.05,439.85,425.1,436.55,435.4,1876337.0,8122.12
2005-12-09,436.0,442.9,433.9,442.9,441.45,837502.0,3672.9
2005-12-12,442.9,446.8,430.0,434.7,436.85,844025.0,3717.23
2005-12-13,437.0,450.0,433.7,449.5,448.85,1625711.0,7180.64
2005-12-14,449.0,454.7,442.0,442.5,445.15,1069410.0,4796.08
2005-12-15,445.15,449.0,435.65,438.0,438.4,1465631.0,6479.9
2005-12-16,440.0,443.6,435.1,441.55,441.75,1361471.0,5981.03
2005-12-19,443.6,457.4,443.6,455.5,456.0,1820447.0,8226.24
2005-12-20,460.0,466.75,458.0,464.5,464.75,2538007.0,11754.49
2005-12-21,466.0,468.0,453.45,459.0,458.4,1097145.0,5063.56
2005-12-22,462.0,468.0,456.35,464.0,462.45,800373.0,3680.84
2005-12-23,464.1,470.0,385.0,465.0,465.45,1470580.0,6865.95
2005-12-26,467.05,467.05,452.3,453.7,453.75,920494.0,4206.7
2005-12-27,452.3,463.95,448.5,463.95,462.25,665801.0,3044.14
2005-12-28,464.0,467.0,452.0,455.2,456.4,689164.0,3150.24
2005-12-29,458.8,464.95,451.15,461.0,463.3,1460743.0,6722.94
2005-12-30,462.9,467.0,457.0,464.0,463.35,1094741.0,5066.55
2006-01-02,462.0,464.5,455.3,463.0,461.7,645681.0,2972.88
2006-01-03,461.0,476.0,458.4,475.0,473.0,1150446.0,5371.82
2006-01-04,475.5,485.0,475.5,480.0,481.1,1151665.0,5520.02
2006-01-05,482.0,484.0,472.25,473.25,474.05,839636.0,3996.74
2006-01-06,475.0,475.0,451.0,471.0,472.7,994361.0,4671.15
2006-01-09,475.0,477.6,452.25,457.0,460.95,868457.0,4062.74
2006-01-10,461.5,465.9,456.15,459.3,459.65,1150838.0,5289.83
2006-01-12,454.0,465.0,448.05,458.15,461.35,958239.0,4414.47
2006-01-13,460.0,464.75,457.3,459.0,460.05,909574.0,4185.63
2006-01-16,465.0,468.7,458.1,460.0,460.0,489273.0,2251.86
2006-01-17,458.1,467.45,445.55,446.0,448.35,868017.0,3975.98
2006-01-18,385.0,479.0,385.0,461.5,461.05,1771813.0,8166.49
2006-01-19,465.0,507.0,465.0,496.0,498.05,3167635.0,15371.33
2006-01-20,498.0,548.0,495.65,496.65,498.75,2086192.0,10457.72
2006-01-23,495.65,496.0,482.6,492.0,492.3,1084385.0,5319.2
2006-01-24,493.0,500.8,491.4,493.1,493.85,755732.0,3753.39
2006-01-25,495.0,515.5,495.0,511.0,508.2,2026556.0,10224.37
2006-01-27,512.0,519.7,501.1,506.0,505.15,761063.0,3838.66
2006-01-30,506.0,526.6,500.0,520.8,522.4,1222470.0,6295.67
2006-01-31,522.0,533.5,521.0,529.0,529.7,1346585.0,7134.76
2006-02-01,530.0,532.95,518.0,524.75,522.25,609174.0,3188.05
2006-02-02,522.25,537.2,516.3,525.35,527.45,1773281.0,9350.66
2006-02-03,542.0,545.4,513.35,514.35,516.0,2365525.0,12452.27
2006-02-06,515.0,519.7,506.2,515.0,514.5,1073443.0,5532.44
2006-02-07,517.0,525.0,516.1,520.2,520.35,1121115.0,5829.9
2006-02-08,520.0,520.0,505.1,508.0,507.55,1168787.0,5960.09
2006-02-10,517.6,524.0,506.45,512.5,512.35,1288070.0,6594.97
2006-02-13,513.25,514.55,504.0,505.0,505.6,718127.0,3649.24
2006-02-14,505.0,510.9,490.0,491.5,491.2,1281224.0,6396.66
2006-02-15,503.75,505.0,490.1,494.0,495.5,774844.0,3835.33
2006-02-16,496.1,500.9,488.25,490.0,490.15,904767.0,4472.12
2006-02-17,494.9,506.0,492.0,497.0,499.1,1251223.0,6241.69
2006-02-20,500.0,513.0,494.25,510.0,510.9,1304042.0,6602.62
2006-02-21,519.7,524.9,511.05,512.05,512.85,1175285.0,6076.54
2006-02-22,515.0,519.7,500.4,515.15,516.35,780279.0,4012.89
2006-02-23,512.3,524.8,512.3,518.0,522.4,2003264.0,10436.28
2006-02-24,522.0,522.0,514.15,515.5,516.5,623358.0,3219.2
2006-02-27,519.8,521.5,515.0,519.75,520.2,610746.0,3170.86
2006-02-28,521.5,524.9,514.0,520.05,520.45,1492066.0,7765.49
2006-03-01,520.0,535.7,511.6,527.0,528.4,2044422.0,10727.06
2006-03-02,531.6,542.0,527.25,529.05,530.55,1294013.0,6938.82
2006-03-03,532.0,532.0,522.25,531.0,529.7,942714.0,4980.33
2006-03-06,531.0,534.8,525.05,527.3,528.65,489850.0,2592.05
2006-03-07,530.0,530.0,520.1,521.5,522.9,907771.0,4754.92
2006-03-08,523.0,523.0,505.0,510.0,507.4,1372267.0,7044.31
2006-03-09,510.0,514.0,497.25,511.0,511.45,1187375.0,6004.21
2006-03-10,513.0,522.9,508.25,518.0,520.4,1085297.0,5606.97
2006-03-13,521.0,534.0,483.65,533.0,532.4,1484706.0,7886.55
2006-03-14,540.0,540.0,518.5,521.0,521.65,785217.0,4128.16
2006-03-16,524.9,524.9,515.55,517.0,517.4,883078.0,4578.58
2006-03-17,524.9,524.9,519.0,521.0,520.4,586545.0,3062.99
2006-03-20,524.0,546.75,522.0,545.6,544.3,1842443.0,9875.38
2006-03-21,541.0,550.0,528.0,533.0,532.2,825754.0,4459.21
2006-03-22,530.0,541.1,518.6,519.1,522.4,1027217.0,5437.6
2006-03-23,527.7,528.7,520.05,522.65,522.85,790647.0,4147.26
2006-03-24,528.0,534.85,522.05,529.5,531.35,516345.0,2725.89
2006-03-27,535.0,535.0,518.1,520.0,520.15,923272.0,4858.98
2006-03-28,526.0,533.0,522.35,528.5,529.05,799829.0,4225.1
2006-03-29,530.25,544.9,530.25,541.7,542.7,904957.0,4879.41
2006-03-30,547.0,585.9,547.0,563.0,569.85,3115963.0,17492.93
2006-03-31,575.0,575.0,552.4,559.05,559.7,757596.0,4253.0
