Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,422.65,424.2,419.15,420.5,420.85,921519.0,3883.27
2012-11-23,421.5,422.1,416.3,420.0,420.6,856353.0,3586.78
2012-11-26,420.0,423.4,418.6,418.6,419.5,961529.0,4042.48
2012-11-27,421.35,435.5,420.25,435.0,434.35,2722848.0,11699.42
2012-11-29,434.5,447.75,433.05,439.9,443.35,3027696.0,13366.48
2012-11-30,444.0,447.9,440.2,441.8,442.25,2208192.0,9802.18
2012-12-03,443.2,449.0,441.1,447.55,447.4,1442930.0,6442.9
2012-12-04,442.5,452.6,442.5,451.35,450.65,1297461.0,5830.62
2012-12-05,451.05,453.9,447.65,450.8,450.4,1268389.0,5711.86
2012-12-06,452.1,470.0,448.1,470.0,467.7,2216403.0,10151.43
2012-12-07,473.0,473.0,453.4,456.05,455.45,3515601.0,16170.05
2012-12-10,456.0,460.45,455.35,457.5,457.55,1205012.0,5515.61
2012-12-11,458.1,466.0,452.1,456.5,456.5,1539870.0,7060.15
2012-12-12,456.0,458.8,451.1,453.7,454.1,1408829.0,6405.95
2012-12-13,455.0,455.9,446.05,448.35,448.05,1384709.0,6251.83
2012-12-14,448.45,462.65,446.55,461.55,460.6,1376024.0,6282.52
2012-12-17,460.6,467.15,460.0,465.5,466.05,1238381.0,5752.95
2012-12-18,466.55,471.8,455.0,467.45,468.45,1559932.0,7257.69
2012-12-19,468.95,474.75,467.0,468.0,469.75,1552921.0,7318.76
2012-12-20,470.8,474.9,463.1,472.35,473.0,1447664.0,6770.54
2012-12-21,472.7,473.0,457.25,459.2,459.3,2728887.0,12692.0
2012-12-24,459.0,463.4,457.25,462.25,461.65,697658.0,3215.91
2012-12-26,462.0,467.0,459.45,463.6,463.85,909433.0,4223.17
2012-12-27,462.6,468.2,460.25,465.6,466.25,1678863.0,7793.36
2012-12-28,468.1,468.1,459.3,463.2,463.05,1132708.0,5245.76
2012-12-31,463.0,469.65,461.95,462.7,464.05,776431.0,3617.88
2013-01-01,466.75,478.5,466.05,478.2,477.0,1076204.0,5108.89
2013-01-02,478.95,489.6,478.85,488.8,487.85,1956936.0,9501.32
2013-01-03,487.0,496.95,487.0,490.0,492.2,2235194.0,11010.24
2013-01-04,492.0,494.05,488.0,489.0,489.05,1298508.0,6367.63
2013-01-07,489.05,501.4,489.05,498.0,498.25,2484934.0,12343.38
2013-01-08,498.0,501.0,493.75,500.75,499.65,1647485.0,8207.01
2013-01-09,500.0,509.9,500.0,504.45,504.2,2654347.0,13414.3
2013-01-10,506.05,516.8,503.0,516.2,515.45,2345261.0,11977.53
2013-01-11,516.5,516.55,496.5,496.95,498.4,4149796.0,20923.22
2013-01-14,499.0,509.6,495.0,508.0,506.5,2485604.0,12566.67
2013-01-15,506.0,532.5,506.0,528.45,527.95,4866701.0,25432.52
2013-01-16,531.0,545.0,516.65,517.1,518.05,7194730.0,37789.34
2013-01-17,516.1,528.8,510.0,523.45,523.9,4749549.0,24886.71
2013-01-18,524.1,526.75,514.9,516.0,517.0,2929629.0,15250.78
2013-01-21,518.0,521.0,510.55,511.4,511.7,1951081.0,10019.95
2013-01-22,511.0,519.0,495.0,509.6,508.9,2094897.0,10744.29
2013-01-23,509.35,516.95,501.5,516.5,514.45,1917807.0,9750.66
2013-01-24,514.05,516.0,505.75,506.0,507.8,1763055.0,8993.93
2013-01-25,507.95,508.7,494.75,505.0,504.25,2622882.0,13224.38
2013-01-28,506.2,525.3,506.0,523.3,523.55,3009001.0,15592.4
2013-01-29,525.9,526.0,510.05,511.2,511.45,5134144.0,26587.63
2013-01-30,513.35,522.45,511.0,521.5,520.0,3054156.0,15853.65
2013-01-31,520.05,523.8,517.05,521.7,522.15,1559672.0,8124.86
2013-02-01,522.15,536.6,519.1,532.75,532.35,3568542.0,18969.89
2013-02-04,533.0,538.9,522.95,524.1,524.8,1668533.0,8878.59
