Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
2012-11-22,193.65,197.45,193.1,195.5,195.95,1487387.0,2905.98
2012-11-23,196.65,205.6,195.35,204.0,204.35,2474616.0,4969.23
2012-11-26,205.85,207.2,201.6,202.0,202.15,2766718.0,5655.36
2012-11-27,203.85,204.9,198.55,200.5,200.35,2681497.0,5402.35
2012-11-29,197.05,204.4,194.4,202.25,202.65,4886552.0,9749.32
2012-11-30,202.65,204.0,194.25,195.25,195.2,3281254.0,6475.92
2012-12-03,197.1,201.0,193.15,200.1,200.2,3431892.0,6779.19
2012-12-04,201.0,211.2,197.45,209.5,209.25,7355287.0,15274.81
2012-12-05,210.05,213.2,207.6,210.55,210.3,3816064.0,8040.92
2012-12-06,212.35,215.9,209.4,214.8,215.0,5768464.0,12281.19
2012-12-07,215.0,216.95,208.0,209.25,209.6,3010293.0,6381.44
2012-12-10,209.95,212.95,204.3,205.9,206.25,2005350.0,4163.25
2012-12-11,207.75,208.45,200.15,204.0,203.65,3301907.0,6739.99
2012-12-12,203.55,207.2,202.35,205.4,205.3,1651707.0,3389.89
2012-12-13,206.0,210.8,204.25,204.85,205.85,3215995.0,6705.05
2012-12-14,206.2,208.05,202.3,207.7,206.75,1702854.0,3487.88
2012-12-17,206.75,211.4,204.0,209.7,210.35,2012891.0,4198.14
2012-12-18,211.1,223.0,210.0,221.65,222.0,6378547.0,13893.41
2012-12-19,222.0,224.15,217.55,218.75,219.3,3399588.0,7478.94
2012-12-20,219.25,224.45,217.55,221.5,222.25,2742199.0,6075.06
2012-12-21,221.05,226.45,219.7,222.0,222.4,2150901.0,4807.87
2012-12-24,223.85,230.95,223.2,229.5,229.85,2943607.0,6716.56
2012-12-26,230.3,230.95,225.5,226.45,226.15,1738436.0,3947.73
2012-12-27,226.7,231.2,218.55,221.75,220.05,3861401.0,8615.17
2012-12-28,220.0,224.85,218.4,219.85,219.85,2194095.0,4850.61
2012-12-31,220.35,223.5,218.6,220.2,220.7,1591895.0,3513.09
2013-01-01,221.0,224.8,221.0,223.35,223.35,1140531.0,2547.73
2013-01-02,224.15,231.85,223.95,231.45,231.15,2538267.0,5814.35
2013-01-03,231.95,234.8,229.0,230.0,231.2,2197827.0,5106.93
2013-01-04,232.05,232.05,225.7,227.0,227.05,1751976.0,3987.38
2013-01-07,227.5,228.8,222.6,223.0,223.25,1719502.0,3870.08
2013-01-08,223.1,227.1,222.75,224.0,224.0,1964416.0,4405.58
2013-01-09,224.65,227.7,221.5,223.3,223.35,1832937.0,4131.55
2013-01-10,225.0,228.7,223.5,225.3,225.8,2162614.0,4892.39
